,timestamp,cpu_util,cpu_mem_used
0,1736358795.3925798,0.0,3376033792
1,1736358796.395817,19.4,4626108416
2,1736358797.3963554,6.3,4934799360
3,1736358798.3969395,6.3,5331103744
4,1736358799.3974414,23.0,5585743872
5,1736358800.3980155,5.9,5908082688
6,1736358801.3985884,12.5,6860894208
7,1736358802.3993037,6.2,7153557504
8,1736358803.3998375,6.7,7215300608
9,1736358804.4004314,6.3,7237083136
10,1736358805.4009285,6.7,7260221440
11,1736358806.4014127,6.7,7300186112
12,1736358807.4019277,6.8,7311052800
13,1736358808.4024093,6.8,7337934848
14,1736358809.4030354,6.9,7403483136
15,1736358810.4035912,6.6,7390904320
16,1736358811.4041097,6.3,7391277056
17,1736358812.4047122,6.8,7412744192
18,1736358813.4052415,7.3,7265427456
19,1736358814.406686,85.1,7493328896
20,1736358815.4106677,97.8,7903481856
21,1736358816.4112778,74.7,8154767360
22,1736358817.412671,76.6,8352542720
23,1736358818.415688,74.4,8546119680
24,1736358819.4162965,97.7,8808505344
25,1736358820.4169474,98.7,9186627584
26,1736358821.4176855,74.8,9285308416
27,1736358822.422665,98.5,9565016064
28,1736358823.4234207,98.9,9846870016
29,1736358824.424149,98.5,10151047168
30,1736358825.4249573,98.9,10453856256
31,1736358826.42568,98.8,10737889280
32,1736358827.4264107,97.9,10995437568
33,1736358828.427714,98.4,11273146368
34,1736358829.4306822,98.1,11556655104
35,1736358830.4313452,98.5,11840585728
36,1736358831.4320765,98.7,12130361344
37,1736358832.4328673,98.9,12408037376
38,1736358833.4346626,98.5,12684091392
39,1736358834.4352586,99.0,12954578944
40,1736358835.4386666,98.5,13203922944
41,1736358836.4392884,98.6,13483991040
42,1736358837.440053,98.0,13757267968
43,1736358838.4406705,98.5,14003126272
44,1736358839.441259,98.3,14274170880
45,1736358840.4446743,98.5,14542893056
46,1736358841.445503,62.9,14812631040
47,1736358842.4460442,36.1,15710142464
48,1736358843.446747,9.7,16820133888
49,1736358844.447266,5.9,17730220032
50,1736358845.447778,6.5,18326560768
51,1736358846.448285,6.3,18457927680
52,1736358847.4488504,6.6,18543378432
53,1736358848.4492977,6.5,18526969856
54,1736358849.44981,5.2,18538926080
55,1736358850.4503975,6.4,18587398144
56,1736358851.4509795,7.3,14205071360
57,1736358852.451668,6.6,29939478528
58,1736358853.4522521,6.3,141026160640
59,1736358854.45287,5.6,222874705920
60,1736358855.4534242,1.1,209527062528
61,1736358856.4540153,1.1,196187283456
62,1736358857.4545722,1.1,184161353728
63,1736358858.455401,1.1,170771472384
64,1736358859.4558077,1.1,157463359488
65,1736358860.4565582,1.0,145571233792
66,1736358861.4573863,1.1,132027584512
67,1736358862.458185,1.1,118564163584
68,1736358863.4587026,1.1,106841501696
69,1736358864.4592428,1.1,93499670528
70,1736358865.4597042,1.1,80163557376
71,1736358866.4601808,1.1,68420976640
72,1736358867.4607582,1.1,54774935552
73,1736358868.461308,1.1,41476091904
74,1736358869.4619267,1.0,29110595584
75,1736358870.4627044,1.1,15318237184
76,1736358871.4634387,1.0,3806887936
