,timestamp,gpu_util,gpu_mem_used
0,1736358795.3922923,"[0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
1,1736358796.3964393,"[0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
2,1736358797.3979352,"[0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
3,1736358798.399401,"[0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
4,1736358799.4009252,"[0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
5,1736358800.4024513,"[0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
6,1736358801.403921,"[0, 1, 0, 2, 0, 1]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
7,1736358802.4055896,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
8,1736358803.4070277,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
9,1736358804.4083812,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
10,1736358805.4097257,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
11,1736358806.4110255,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
12,1736358807.413049,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
13,1736358808.4146812,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
14,1736358809.416661,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
15,1736358810.6435313,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
16,1736358811.6449943,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
17,1736358812.8163743,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
18,1736358813.8183646,"[0, 0, 0, 0, 0, 0]","[314114048, 614006784, 614006784, 614006784, 614006784, 611909632]"
19,1736358814.8227015,"[0, 0, 0, 5, 22, 2]","[616103936, 804847616, 846790656, 846790656, 846790656, 846790656]"
20,1736358815.8246841,"[0, 0, 0, 0, 0, 0]","[848887808, 846790656, 1058603008, 848887808, 848887808, 848887808]"
21,1736358816.910443,"[0, 0, 0, 0, 0, 0]","[1060700160, 1060700160, 1060700160, 1060700160, 1060700160, 1060700160]"
22,1736358817.9216926,"[19, 3, 0, 17, 0, 0]","[1272512512, 1270415360, 1272512512, 1272512512, 1272512512, 1272512512]"
23,1736358818.9256623,"[0, 0, 0, 0, 0, 10]","[1274609664, 1272512512, 1484324864, 1274609664, 1274609664, 1484324864]"
24,1736358819.9336653,"[0, 0, 17, 1, 0, 1]","[1486422016, 1486422016, 1696137216, 1486422016, 1486422016, 1675165696]"
25,1736358820.936511,"[0, 0, 0, 0, 0, 0]","[1698234368, 1696137216, 1698234368, 1698234368, 1698234368, 1698234368]"
26,1736358821.9413445,"[1, 0, 0, 0, 0, 0]","[1910046720, 1910046720, 1912143872, 1910046720, 1910046720, 1912143872]"
27,1736358822.9460218,"[2, 1, 0, 5, 0, 1]","[2121859072, 1996029952, 2123956224, 2121859072, 2121859072, 2123956224]"
28,1736358823.9496665,"[17, 1, 0, 16, 0, 1]","[2335768576, 2123956224, 2337865728, 2335768576, 2335768576, 2335768576]"
29,1736358824.9560823,"[19, 0, 0, 21, 1, 0]","[2547580928, 2337865728, 2549678080, 2547580928, 2547580928, 2549678080]"
30,1736358825.9620554,"[2, 0, 1, 21, 19, 1]","[2696478720, 2549678080, 2761490432, 2761490432, 2761490432, 2761490432]"
31,1736358826.964669,"[0, 0, 1, 7, 22, 1]","[2763587584, 2761490432, 2973302784, 2973302784, 2973302784, 2973302784]"
32,1736358827.9726646,"[0, 0, 0, 0, 0, 1]","[2975399936, 2975399936, 3187212288, 3038314496, 2975399936, 3187212288]"
33,1736358828.9752781,"[0, 0, 0, 1, 0, 19]","[3187212288, 3187212288, 3399024640, 3189309440, 3189309440, 3399024640]"
34,1736358829.9826725,"[0, 0, 0, 0, 0, 0]","[3401121792, 3399024640, 3610836992, 3401121792, 3401121792, 3589865472]"
35,1736358830.9855707,"[0, 1, 11, 1, 0, 1]","[3612934144, 3612934144, 3824746496, 3612934144, 3612934144, 3612934144]"
36,1736358831.9908354,"[0, 0, 21, 1, 0, 1]","[3824746496, 3824746496, 4036558848, 3826843648, 3826843648, 3826843648]"
37,1736358832.9953077,"[0, 0, 6, 0, 0, 1]","[4038656000, 4036558848, 4206428160, 4038656000, 4038656000, 4038656000]"
38,1736358834.0027382,"[0, 0, 0, 0, 0, 0]","[4250468352, 4250468352, 4252565504, 4250468352, 4250468352, 4250468352]"
39,1736358835.0059254,"[0, 17, 0, 0, 0, 1]","[4462280704, 4462280704, 4464377856, 4462280704, 4462280704, 4464377856]"
40,1736358836.0107954,"[1, 21, 1, 0, 21, 1]","[4676190208, 4674093056, 4676190208, 4674093056, 4674093056, 4676190208]"
41,1736358837.0166695,"[0, 15, 0, 0, 0, 0]","[4888002560, 4888002560, 4890099712, 4676190208, 4676190208, 4890099712]"
42,1736358838.0226703,"[22, 6, 0, 0, 0, 0]","[5099814912, 5099814912, 5101912064, 4888002560, 4888002560, 5101912064]"
43,1736358839.026189,"[11, 0, 0, 5, 0, 0]","[5311627264, 5311627264, 5313724416, 5099814912, 5099814912, 5313724416]"
44,1736358840.0316744,"[0, 0, 0, 0, 22, 1]","[5462622208, 5441650688, 5525536768, 5185798144, 5313724416, 5527633920]"
45,1736358841.039677,"[1, 0, 37, 0, 0, 39]","[5590548480, 5527633920, 7100497920, 5313724416, 5315821568, 7375224832]"
46,1736358842.0416613,"[0, 0, 0, 0, 0, 14]","[7375224832, 7375224832, 7637368832, 5527633920, 5527633920, 10002956288]"
47,1736358843.0430946,"[7, 4, 0, 38, 0, 4]","[10055385088, 10055385088, 10055385088, 7079526400, 7375224832, 10055385088]"
48,1736358844.0447888,"[0, 0, 0, 7, 5, 0]","[10055385088, 10055385088, 10055385088, 10002956288, 10046996480, 10055385088]"
49,1736358845.0461986,"[83, 86, 66, 87, 82, 92]","[11168972800, 11143806976, 11030560768, 10990714880, 10967646208, 11007492096]"
50,1736358846.0475683,"[94, 95, 95, 94, 93, 94]","[12305629184, 12500664320, 13037535232, 12095913984, 12213354496, 11902976000]"
51,1736358847.0489464,"[90, 90, 93, 90, 90, 90]","[13125615616, 13865910272, 14081916928, 13188530176, 13477937152, 12834111488]"
52,1736358848.0506058,"[97, 94, 93, 94, 97, 94]","[13125615616, 13865910272, 14285340672, 13253541888, 13540851712, 12834111488]"
53,1736358849.0534737,"[81, 95, 71, 95, 80, 95]","[13125615616, 14033682432, 14427947008, 13490520064, 13744275456, 13205307392]"
54,1736358850.1584888,"[0, 0, 0, 0, 0, 0]","[12737642496, 13645709312, 14190968832, 13253541888, 13532463104, 12993495040]"
55,1736358851.1599545,"[0, 0, 0, 0, 0, 0]","[12737642496, 13645709312, 14190968832, 13253541888, 13532463104, 12993495040]"
56,1736358852.1614091,"[6, 25, 1, 0, 31, 0]","[12666339328, 13574406144, 14155317248, 13247250432, 13461159936, 12962037760]"
57,1736358853.1630986,"[0, 0, 0, 0, 0, 0]","[12666339328, 13574406144, 14119665664, 13182238720, 13461159936, 12922191872]"
58,1736358854.16449,"[0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
