,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1732625260.5615852,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",0.0,11923546112
1,1732625261.570185,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",13.1,11739426816
2,1732625262.5745232,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",6.6,11810340864
3,1732625263.5778883,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",1.3,11859619840
4,1732625264.5814555,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",1.6,11926339584
5,1732625265.5853097,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",10.6,11978428416
6,1732625266.5891783,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",7.5,12149112832
7,1732625267.59304,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",1.5,12206120960
8,1732625268.5967374,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",1.3,12262084608
9,1732625269.60059,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",1.3,12305129472
10,1732625270.6044152,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 314114048, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376]",11.4,12764774400
11,1732625271.6083288,"[0, 37, 0, 0, 0, 0, 0, 0]","[291045376, 4363714560, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376]",37.4,15564115968
12,1732625272.6124084,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5408096256, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376]",11.0,16471973888
13,1732625273.6162512,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5777195008, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376]",1.5,16583491584
14,1732625274.6200652,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5777195008, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376]",11.7,16648400896
15,1732625275.6235762,"[0, 0, 36, 0, 0, 0, 0, 0]","[291045376, 5777195008, 2706964480, 291045376, 291045376, 291045376, 291045376, 291045376]",16.8,18311548928
16,1732625276.6275663,"[0, 0, 25, 0, 0, 0, 0, 0]","[291045376, 5777195008, 5391319040, 291045376, 291045376, 291045376, 291045376, 291045376]",34.0,20455501824
17,1732625277.6315305,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5777195008, 5777195008, 291045376, 291045376, 291045376, 291045376, 291045376]",2.0,20585447424
18,1732625278.6354795,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5777195008, 5777195008, 291045376, 291045376, 291045376, 291045376, 291045376]",1.4,20650295296
19,1732625279.6393776,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5777195008, 5777195008, 291045376, 291045376, 291045376, 291045376, 291045376]",10.9,20715241472
20,1732625280.6549256,"[0, 0, 0, 38, 0, 0, 0, 0]","[291045376, 5777195008, 5777195008, 3545825280, 291045376, 291045376, 291045376, 291045376]",27.1,23141687296
21,1732625281.6592765,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5777195008, 5777195008, 5391319040, 291045376, 291045376, 291045376, 291045376]",20.5,24653217792
22,1732625282.6642907,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5777195008, 5777195008, 5777195008, 291045376, 291045376, 291045376, 291045376]",2.3,24788082688
23,1732625283.668277,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5777195008, 5777195008, 5777195008, 291045376, 291045376, 291045376, 291045376]",1.4,24860999680
24,1732625284.6723707,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5777195008, 5777195008, 5777195008, 303628288, 291045376, 291045376, 291045376]",10.3,25026465792
25,1732625285.7620113,"[0, 0, 0, 0, 21, 0, 0, 0]","[291045376, 5777195008, 5777195008, 5777195008, 3860398080, 291045376, 291045376, 291045376]",34.6,27542659072
26,1732625286.7656808,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5777195008, 5777195008, 5777195008, 5391319040, 291045376, 291045376, 291045376]",15.8,28830384128
27,1732625287.7694397,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5777195008, 5777195008, 5777195008, 5777195008, 291045376, 291045376, 291045376]",1.6,28953235456
28,1732625288.772793,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5777195008, 5777195008, 5777195008, 5777195008, 291045376, 291045376, 291045376]",1.8,29018476544
29,1732625289.776288,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5777195008, 5777195008, 5777195008, 5777195008, 777584640, 291045376, 291045376]",11.4,29279784960
30,1732625290.779787,"[0, 0, 0, 0, 0, 29, 0, 0]","[291045376, 5777195008, 5777195008, 5777195008, 5777195008, 4342743040, 291045376, 291045376]",38.5,32113483776
31,1732625291.783686,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5777195008, 5777195008, 5777195008, 5777195008, 5408096256, 291045376, 291045376]",12.1,33033101312
32,1732625292.787129,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5777195008, 5777195008, 5777195008, 5777195008, 5777195008, 291045376, 291045376]",2.0,33149341696
33,1732625293.790581,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5777195008, 5777195008, 5777195008, 5777195008, 5777195008, 291045376, 291045376]",1.3,33200889856
34,1732625294.7931333,"[0, 0, 0, 0, 0, 0, 8, 0]","[291045376, 5777195008, 5777195008, 5777195008, 5777195008, 5777195008, 1113128960, 291045376]",13.8,33719758848
35,1732625295.7967455,"[0, 0, 0, 0, 0, 0, 33, 0]","[291045376, 5777195008, 5777195008, 5777195008, 5777195008, 5777195008, 4741201920, 291045376]",38.7,36614721536
36,1732625296.8009768,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5777195008, 5777195008, 5777195008, 5777195008, 5777195008, 5391319040, 291045376]",7.6,37200031744
37,1732625297.804838,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5777195008, 5777195008, 5777195008, 5777195008, 5777195008, 5777195008, 291045376]",2.0,37346934784
38,1732625298.8086898,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5777195008, 5777195008, 5777195008, 5777195008, 5777195008, 5777195008, 291045376]",1.4,37382488064
39,1732625299.8125725,"[1, 0, 0, 0, 0, 0, 0, 16]","[819527680, 5777195008, 5777195008, 5777195008, 5777195008, 5777195008, 5777195008, 1322844160]",15.8,38113488896
40,1732625300.8163095,"[26, 0, 0, 0, 0, 0, 0, 24]","[4195942400, 5777195008, 5777195008, 5777195008, 5777195008, 5777195008, 5777195008, 4489543680]",63.6,43214860288
41,1732625301.8202236,"[0, 0, 0, 0, 0, 0, 0, 0]","[5391319040, 5777195008, 5777195008, 5777195008, 5777195008, 5777195008, 5777195008, 5391319040]",21.7,44826955776
42,1732625302.8241,"[0, 0, 0, 0, 0, 0, 0, 0]","[5991104512, 6035144704, 6030950400, 6064504832, 5997395968, 6035144704, 6030950400, 6068699136]",6.8,46307303424
43,1732625303.8329074,"[23, 34, 59, 56, 38, 36, 36, 46]","[6922240000, 7081623552, 6947405824, 6723010560, 6729302016, 7343767552, 6911754240, 6781730816]",11.7,46407249920
44,1732625304.8369079,"[0, 0, 0, 0, 0, 0, 0, 0]","[7010320384, 7083720704, 6949502976, 6723010560, 6731399168, 7343767552, 7115177984, 6781730816]",5.1,47019929600
45,1732625306.4154859,"[7, 0, 0, 0, 3, 0, 4, 3]","[9078112256, 7058554880, 6664290304, 6488129536, 6425214976, 6983057408, 6800605184, 6345523200]",3.7,47193067520
46,1732625307.500839,"[0, 0, 0, 0, 0, 0, 0, 0]","[8455258112, 6339231744, 6305677312, 6074990592, 6007881728, 6603472896, 6425214976, 6116933632]",9.5,47208636416
47,1732625308.5049133,"[7, 1, 38, 1, 1, 1, 25, 77]","[7169703936, 6339231744, 291045376, 6074990592, 291045376, 291045376, 291045376, 291045376]",7.8,12483788800
