Expert,Node
0,2
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,2
9,3
10,2
11,2
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,2
36,3
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,1
49,1
50,1
51,1
52,1
53,1
54,0
55,0
56,1
57,1
58,1
59,1
60,0
61,1
62,1
63,0
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,1
81,1
82,0
83,1
84,1
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,2
178,1
179,1
180,1
181,1
182,0
183,2
184,1
185,3
186,2
187,1
188,1
189,1
190,1
191,1
192,1
193,0
194,1
195,1
196,1
197,2
198,1
199,1
200,2
201,1
202,0
203,1
204,1
205,1
206,1
207,1
208,2
209,0
210,0
211,3
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,2
228,0
229,0
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,3
251,2
252,2
253,2
254,2
255,2
256,3
257,3
258,3
259,3
260,3
261,3
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,3
273,3
274,3
275,0
276,0
277,0
278,3
279,3
280,0
281,0
282,0
283,0
284,1
285,1
286,3
287,1
288,1
289,1
290,1
291,1
292,3
293,1
294,3
295,2
296,1
297,1
298,1
299,1
300,1
301,2
302,1
303,1
304,1
305,1
306,2
307,1
308,2
309,1
310,1
311,1
312,2
313,1
314,2
315,3
316,1
317,1
318,1
319,1
320,1
321,3
322,1
323,1
324,3
325,1
326,0
327,0
328,3
329,0
330,0
331,1
332,0
333,0
334,1
335,0
336,0
337,0
338,0
339,3
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,3
354,0
355,0
356,2
357,2
358,2
359,2
360,2
361,2
362,2
363,2
364,2
365,3
366,2
367,2
368,2
369,2
370,2
371,2
372,2
373,3
374,2
375,2
376,2
377,2
378,2
379,2
380,2
381,2
382,2
383,2
384,3
385,0
386,2
387,3
388,3
389,3
390,3
391,3
392,3
393,0
394,3
395,3
396,2
397,3
398,3
399,3
400,3
401,3
402,2
403,3
404,3
405,3
406,3
407,3
408,0
409,3
410,3
411,3
412,3
413,0
414,3
415,3
416,3
417,2
418,3
419,3
420,2
421,3
422,3
423,3
424,3
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,2
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,2
462,1
463,2
464,0
465,1
466,0
467,1
468,1
469,0
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,0
478,1
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,2
488,2
489,2
490,2
491,0
492,2
493,2
494,2
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,2
509,2
510,2
511,2
512,3
513,1
514,0
515,3
516,3
517,3
518,1
519,1
520,3
521,3
522,3
523,3
524,3
525,3
526,1
527,3
528,3
529,3
530,1
531,1
532,3
533,3
534,1
535,3
536,1
537,1
538,3
539,3
540,1
541,3
542,3
543,3
544,3
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,1
553,1
554,0
555,1
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,1
565,0
566,0
567,0
568,0
569,0
570,0
571,1
572,1
573,0
574,0
575,0
576,1
577,1
578,1
579,1
580,1
581,1
582,1
