iteration,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),total number of tokens sent,total number of tokens recv,expert distribution
0,77.02220916748047,1.2728320360183716,0.3402239978313446,6.057119846343994,37.465057373046875,24.357343673706055,16384,16577,"[0, 0, 69, 0, 0, 7, 0, 0, 4, 117, 0, 0, 2960, 0, 0, 0, 1, 45, 14, 823, 0, 0, 20, 2460, 1, 24, 0, 2, 2, 7, 3, 42, 6, 0, 4, 176, 1298, 0, 0, 5277, 1427, 2, 12, 2, 567, 3, 0, 0, 0, 0, 0, 0, 0, 15, 25, 0, 810, 10, 149, 0]"
1,84.73600006103516,3.4560000896453857,0.13606399297714233,6.61846399307251,51.416160583496094,14.7807035446167,16384,10323,"[0, 0, 0, 0, 0, 27, 0, 0, 644, 510, 0, 0, 3378, 0, 2, 8, 0, 5, 1, 215, 0, 0, 5, 779, 0, 4, 1, 1, 18, 29, 1, 50, 2, 2, 7, 1056, 415, 15, 0, 5994, 1606, 15, 277, 0, 167, 42, 2, 0, 1, 0, 2, 1, 0, 12, 36, 1, 1020, 0, 33, 0]"
2,69.85011291503906,0.9328640103340149,0.13177600502967834,5.326687812805176,30.242496490478516,25.834016799926758,16384,18558,"[0, 0, 0, 0, 0, 3, 0, 0, 0, 74, 0, 0, 4654, 0, 3, 0, 24, 3, 1, 120, 0, 0, 7, 2520, 0, 5, 0, 8, 45, 14, 152, 163, 0, 0, 6, 313, 2894, 0, 0, 2121, 2130, 70, 1, 0, 325, 2, 0, 14, 2, 0, 0, 0, 0, 0, 4, 0, 664, 0, 42, 0]"
3,73.69522857666016,0.9154559969902039,0.17504000663757324,5.006271839141846,36.227294921875,22.11814308166504,16384,16756,"[0, 0, 11, 0, 0, 5, 15, 0, 36, 210, 0, 0, 3654, 0, 0, 0, 2, 10, 0, 748, 0, 0, 78, 3345, 0, 5, 0, 12, 1, 27, 35, 132, 3, 1, 4, 179, 1125, 35, 0, 3109, 2468, 4, 0, 0, 536, 2, 0, 3, 3, 0, 3, 0, 0, 0, 22, 2, 477, 0, 82, 0]"
4,79.21868896484375,3.737600088119507,0.30716800689697266,5.7027201652526855,40.61859130859375,20.71174430847168,16384,15180,"[0, 0, 0, 0, 0, 5, 13, 2, 69, 510, 0, 0, 4380, 0, 0, 0, 1, 11, 189, 203, 0, 0, 436, 2694, 0, 31, 0, 6, 8, 5, 12, 115, 240, 1, 2, 90, 1745, 7, 0, 4176, 817, 21, 13, 0, 146, 20, 0, 11, 0, 0, 3, 0, 0, 40, 10, 0, 313, 1, 38, 0]"
5,73.2590103149414,3.764224052429199,0.14534400403499603,5.240608215332031,32.6530876159668,23.834335327148438,16384,17485,"[0, 0, 2, 0, 0, 13, 0, 0, 46, 154, 0, 0, 3464, 0, 0, 1, 21, 58, 14, 435, 0, 0, 1, 2877, 0, 28, 0, 3, 38, 49, 7, 114, 27, 0, 10, 613, 1353, 0, 60, 3425, 1357, 688, 49, 0, 36, 158, 0, 1, 1, 0, 0, 20, 0, 61, 123, 0, 981, 0, 95, 1]"
6,74.70591735839844,1.9425280094146729,0.1687680035829544,5.9212799072265625,38.44038391113281,19.69878387451172,16384,14055,"[0, 2, 0, 0, 0, 2, 0, 0, 11, 101, 0, 0, 2934, 0, 0, 0, 2, 1, 34, 79, 0, 0, 188, 2602, 0, 36, 0, 1, 0, 46, 1, 111, 21, 1, 59, 98, 1749, 0, 1, 5261, 1570, 29, 71, 2, 921, 0, 9, 0, 1, 0, 7, 0, 0, 0, 16, 0, 364, 19, 34, 0]"
7,72.521728515625,0.1157120019197464,0.20838400721549988,6.323264122009277,34.66371154785156,22.217824935913086,16384,16241,"[0, 0, 1, 0, 0, 23, 4, 0, 1, 40, 0, 0, 3567, 0, 0, 0, 1, 2, 0, 178, 0, 0, 7, 2246, 7, 4, 0, 1, 36, 7, 12, 21, 6, 1, 0, 703, 1552, 0, 0, 5454, 1088, 4, 0, 2, 617, 0, 0, 0, 1, 0, 0, 0, 0, 10, 395, 0, 292, 1, 88, 12]"
8,89.58566284179688,0.7444480061531067,0.18457600474357605,14.287008285522461,43.375553131103516,23.11996841430664,16384,17013,"[0, 0, 15, 0, 0, 8, 1, 0, 142, 21, 0, 0, 3895, 0, 0, 0, 0, 0, 0, 85, 0, 0, 39, 2088, 1, 18, 0, 7, 55, 13, 6, 41, 216, 0, 1, 634, 2580, 0, 0, 2984, 2172, 8, 12, 0, 109, 11, 0, 0, 2, 0, 0, 0, 0, 8, 14, 0, 1062, 0, 136, 0]"
9,78.08512115478516,3.283967971801758,0.15689599514007568,5.707551956176758,38.57984161376953,22.95180892944336,16384,17043,"[0, 0, 70, 0, 0, 10, 7, 3, 10, 61, 0, 0, 4874, 0, 0, 0, 0, 0, 9, 626, 0, 0, 253, 1342, 0, 7, 0, 2, 0, 29, 1, 66, 37, 0, 1, 72, 2239, 0, 2, 3395, 2087, 22, 34, 0, 363, 17, 0, 10, 7, 0, 0, 0, 0, 15, 13, 0, 585, 0, 108, 7]"
10,86.41331481933594,2.0541439056396484,0.1391039937734604,9.22755241394043,46.0970573425293,21.247968673706055,16384,14216,"[0, 0, 0, 0, 0, 2, 1, 0, 43, 103, 0, 0, 1604, 0, 0, 1, 0, 0, 3, 133, 0, 0, 25, 1698, 1, 45, 1, 40, 7, 30, 5, 240, 1, 2, 98, 77, 3045, 8, 2, 4509, 3460, 48, 14, 0, 425, 14, 1, 6, 0, 0, 0, 0, 0, 42, 18, 0, 570, 0, 62, 0]"
11,74.3004150390625,2.8272640705108643,0.21219199895858765,5.30460786819458,34.11724853515625,23.783199310302734,16384,16121,"[0, 0, 15, 0, 0, 9, 7, 0, 0, 142, 1, 0, 4437, 0, 0, 0, 21, 0, 332, 36, 0, 0, 21, 1660, 0, 20, 2, 48, 11, 63, 7, 112, 37, 0, 0, 15, 2376, 2, 0, 3107, 2014, 36, 1, 0, 910, 3, 0, 5, 1, 0, 24, 6, 0, 0, 8, 3, 790, 0, 98, 4]"
12,70.01599884033203,0.11776000261306763,0.2900480031967163,5.176576137542725,31.59110450744629,25.07379150390625,16384,17640,"[0, 3, 0, 0, 0, 8, 1, 2, 2, 472, 0, 0, 6095, 0, 0, 0, 1, 1, 1, 64, 0, 0, 1, 2610, 0, 61, 0, 9, 83, 38, 6, 187, 2, 0, 10, 460, 746, 54, 0, 1864, 2248, 17, 1, 0, 747, 2, 0, 20, 16, 0, 0, 0, 0, 53, 13, 0, 356, 0, 101, 29]"
13,79.09990692138672,4.072447776794434,0.14793600142002106,6.2769598960876465,41.06547164916992,20.050975799560547,16384,14431,"[0, 10, 79, 0, 0, 7, 5, 0, 63, 144, 0, 0, 1910, 0, 0, 0, 2, 6, 2, 264, 0, 0, 13, 3943, 1, 13, 0, 7, 5, 45, 3, 173, 7, 3, 0, 17, 3718, 1, 0, 3058, 1972, 12, 26, 0, 123, 8, 0, 0, 0, 0, 0, 1, 1, 0, 10, 0, 667, 0, 65, 0]"
14,75.1247329711914,3.1436800956726074,0.15193599462509155,5.240799903869629,35.57948684692383,23.588607788085938,16384,17297,"[0, 0, 0, 0, 0, 7, 16, 0, 7, 34, 1, 0, 3889, 0, 1, 1, 6, 8, 0, 46, 0, 0, 10, 3548, 0, 62, 0, 25, 96, 13, 3, 58, 22, 1, 16, 449, 976, 0, 1, 3811, 1906, 22, 24, 0, 344, 5, 0, 0, 1, 0, 1, 0, 0, 0, 4, 0, 876, 0, 94, 0]"
15,82.75353240966797,0.2959359884262085,0.14851200580596924,6.652095794677734,36.14854431152344,32.324222564697266,16384,22121,"[0, 0, 0, 0, 0, 4, 1, 0, 18, 41, 0, 0, 2416, 0, 0, 0, 30, 0, 0, 204, 0, 0, 0, 2334, 0, 0, 0, 32, 20, 24, 2, 93, 173, 0, 0, 373, 1373, 0, 0, 6372, 1753, 52, 11, 220, 261, 0, 0, 0, 1, 0, 139, 0, 0, 40, 5, 0, 338, 0, 53, 1]"
16,79.25043487548828,0.7331839799880981,0.12598399817943573,5.609792232513428,40.70723342895508,24.535232543945312,16384,18184,"[0, 0, 0, 1, 0, 5, 0, 2, 16, 57, 1, 0, 2845, 0, 0, 0, 8, 2, 1, 445, 0, 0, 78, 2864, 0, 6, 0, 20, 0, 23, 7, 22, 78, 2, 1, 11, 2530, 0, 201, 3344, 2614, 126, 31, 0, 351, 14, 0, 3, 9, 0, 37, 1, 0, 90, 54, 0, 395, 0, 89, 0]"
17,89.72083282470703,3.0545918941497803,0.13196800649166107,10.654335975646973,49.79721450805664,18.697696685791016,16384,13155,"[0, 1, 0, 0, 0, 9, 1, 0, 4, 0, 0, 0, 2015, 0, 0, 0, 0, 3, 6, 29, 0, 0, 3, 3856, 0, 5, 0, 1, 14, 7, 4, 130, 0, 0, 0, 1203, 1805, 2, 1, 5457, 1463, 7, 3, 0, 77, 6, 0, 0, 1, 0, 5, 0, 0, 17, 12, 4, 168, 0, 65, 0]"
18,73.1514892578125,1.8309119939804077,0.13312000036239624,4.514944076538086,23.555744171142578,35.50444793701172,16384,19352,"[0, 0, 0, 7, 0, 2, 1, 0, 94, 36, 0, 0, 2337, 0, 0, 0, 76, 1, 0, 372, 0, 0, 12, 5103, 284, 41, 0, 4, 5, 2, 1, 78, 50, 0, 5, 24, 222, 4, 1, 3221, 2768, 110, 13, 35, 402, 7, 0, 0, 17, 0, 0, 0, 0, 19, 45, 1, 924, 0, 60, 0]"
19,128.76800537109375,4.40831995010376,0.1592639982700348,7.030720233917236,90.97068786621094,18.309215545654297,16384,13331,"[0, 0, 9, 0, 0, 6, 3, 0, 26, 100, 0, 0, 3837, 0, 0, 0, 0, 2, 36, 45, 0, 0, 92, 1873, 19, 5, 0, 10, 1, 29, 3, 5, 5, 3, 4, 125, 2128, 0, 0, 5186, 1435, 7, 2, 0, 427, 23, 0, 48, 1, 0, 10, 0, 0, 20, 3, 0, 763, 0, 93, 0]"
