,timestamp,cpu_util,cpu_mem_used
0,1771303110.508707,44.4,12281544704
1,1771303111.5130107,35.5,13289099264
2,1771303112.5135982,7.3,13641449472
3,1771303113.514415,7.6,14055161856
4,1771303114.5152025,25.2,14261465088
5,1771303115.5159347,34.1,14613786624
6,1771303116.516777,9.2,15021420544
7,1771303117.5173087,4.5,15495663616
8,1771303118.5182648,7.7,15851311104
9,1771303119.5191863,3.3,15852822528
10,1771303120.520058,3.5,15843778560
11,1771303121.5209208,2.9,15841103872
12,1771303122.5217698,3.2,15842529280
13,1771303123.5224864,19.0,17736474624
14,1771303124.5231147,68.9,24205819904
15,1771303125.523865,68.2,30855204864
16,1771303126.5244813,68.8,37446377472
17,1771303127.525495,30.1,39784583168
18,1771303128.5264058,3.0,39788417024
19,1771303129.527105,4.1,39806484480
20,1771303130.5280225,30.6,42814824448
21,1771303131.5287614,69.7,49535008768
22,1771303132.5295634,67.3,55843725312
23,1771303133.5302134,69.5,62596698112
24,1771303134.5310986,19.0,63829946368
25,1771303135.5319018,2.8,63829508096
26,1771303136.5326815,3.0,63826382848
27,1771303137.5335536,0.2,63825977344
28,1771303138.5343518,1.5,63827439616
29,1771303139.5352132,0.3,63828459520
30,1771303140.5360155,1.6,63828115456
31,1771303141.5369031,0.7,63851515904
32,1771303142.537739,36.1,66998337536
33,1771303143.5385902,69.1,73423319040
34,1771303144.5394647,69.2,80030822400
35,1771303145.5403597,69.3,86539628544
36,1771303146.5412865,20.2,87836041216
37,1771303147.5421715,3.1,87837003776
38,1771303148.542987,3.7,87855210496
39,1771303149.5438657,35.7,91092209664
40,1771303150.5447268,69.1,97884610560
41,1771303151.545503,66.8,104602005504
42,1771303152.5462515,70.2,111260823552
43,1771303153.547027,12.2,111853113344
44,1771303154.547703,3.1,111853481984
45,1771303155.5484223,3.2,111854436352
46,1771303156.5491753,30.7,115210047488
47,1771303157.549953,69.1,121826430976
48,1771303158.5506816,69.0,128446033920
49,1771303159.5515919,69.0,135177633792
50,1771303160.5523486,13.7,135857082368
51,1771303161.553189,3.3,135858622464
52,1771303162.5539706,4.0,135883755520
53,1771303163.5547676,37.8,139012624384
54,1771303164.5555136,69.8,145581322240
55,1771303165.556263,69.2,151979626496
56,1771303166.5573955,69.4,158288592896
57,1771303167.55803,26.1,160184025088
58,1771303168.558746,60.5,160369205248
59,1771303169.5595522,56.7,160751112192
60,1771303170.5601838,59.2,160898560000
61,1771303171.56114,57.4,161032114176
62,1771303172.5619686,18.6,161082339328
63,1771303173.5629883,3.2,161083609088
64,1771303174.5640712,9.9,161102708736
65,1771303175.565195,2.6,161105489920
66,1771303176.5663493,10.4,161111973888
67,1771303177.5673342,27.3,161167691776
68,1771303178.567949,60.9,161152925696
69,1771303179.568994,58.9,154888859648
70,1771303180.5700126,61.8,152949997568
71,1771303181.5710344,60.8,148794138624
72,1771303182.5717509,61.0,142427869184
73,1771303183.5725877,63.8,140450734080
74,1771303184.5733395,61.3,135176105984
75,1771303185.5740905,60.0,129935261696
76,1771303186.5750287,63.1,127922823168
77,1771303187.5758405,59.4,122648825856
78,1771303188.5766149,61.0,118075944960
79,1771303189.5775657,61.7,114206400512
80,1771303190.5784354,60.4,110114156544
81,1771303191.5794282,59.4,104845680640
82,1771303192.580442,60.7,101267230720
83,1771303193.5814526,61.2,98179973120
84,1771303194.5823038,59.4,92344688640
85,1771303195.5831645,62.3,88805269504
86,1771303196.5839214,59.7,85046235136
87,1771303197.5848196,59.6,79829430272
88,1771303198.5858097,62.1,75648954368
89,1771303199.5868263,62.2,72623788032
90,1771303200.5879622,60.1,67475075072
91,1771303201.5888143,60.4,63461416960
92,1771303202.5900147,60.7,59432267776
93,1771303203.590754,59.9,55352467456
94,1771303204.5915465,62.1,52400361472
95,1771303205.5923917,59.6,46175801344
96,1771303206.593478,59.9,42794340352
97,1771303207.5943391,54.1,39768649728
98,1771303208.5954497,44.9,33649426432
99,1771303209.5962632,26.2,29425688576
100,1771303210.597324,14.2,27850752000
101,1771303211.5982556,6.3,28541652992
102,1771303212.598912,8.4,28944707584
103,1771303213.5999053,8.8,29661786112
104,1771303214.6011221,7.6,29780299776
105,1771303215.6020567,8.2,29787545600
106,1771303216.6029716,4.8,29792796672
107,1771303217.6038713,7.5,27595587584
108,1771303218.6047707,8.6,22453997568
109,1771303219.6056015,7.4,36520103936
110,1771303220.606538,8.5,141913747456
111,1771303221.6074877,7.4,220973142016
112,1771303222.6084392,3.2,212613099520
113,1771303223.6092744,1.5,199479078912
114,1771303224.6101677,1.3,185214316544
115,1771303225.6110888,1.3,169976229888
116,1771303226.6120393,1.9,157414084608
117,1771303227.612952,1.3,143559045120
118,1771303228.6138825,1.4,129939922944
119,1771303229.614805,1.4,118041448448
120,1771303230.6157146,1.3,103023804416
121,1771303231.6166086,1.3,88261439488
122,1771303232.6175818,1.4,75431821312
123,1771303233.6185076,1.4,61919043584
124,1771303234.6193774,1.4,50034458624
125,1771303235.620223,1.4,37795618816
126,1771303236.6208014,1.8,24246427648
127,1771303237.621376,1.4,12388438016
