,timestamp,gpu_util,gpu_mem_used
0,1736121936.5618603,"[0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
1,1736121937.5655756,"[0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
2,1736121938.5671327,"[0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
3,1736121939.568633,"[0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
4,1736121940.5701635,"[0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
5,1736121941.5717206,"[0, 0, 1, 2, 0, 1]","[291045376, 305725440, 611909632, 611909632, 303628288, 611909632]"
6,1736121942.575714,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
7,1736121943.577257,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
8,1736121944.578733,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
9,1736121945.5801244,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
10,1736121946.581532,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
11,1736121947.5829377,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
12,1736121948.584567,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
13,1736121949.5865765,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
14,1736121950.588107,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
15,1736121951.5901349,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
16,1736121952.5920305,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
17,1736121953.5936348,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
18,1736121954.5955176,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
19,1736121955.5971222,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
20,1736121956.5990486,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
21,1736121957.6009028,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
22,1736121958.602527,"[0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632]"
23,1736121959.6042895,"[0, 1, 0, 0, 0, 0]","[291045376, 614006784, 611909632, 611909632, 611909632, 611909632]"
24,1736121960.60581,"[0, 1, 1, 1, 1, 1]","[291045376, 618201088, 614006784, 614006784, 616103936, 616103936]"
25,1736121961.6081452,"[0, 0, 0, 0, 9, 1]","[614006784, 1018757120, 616103936, 616103936, 853082112, 1016659968]"
26,1736121962.6185448,"[0, 0, 0, 0, 1, 1]","[616103936, 1020854272, 1016659968, 1016659968, 1018757120, 1018757120]"
27,1736121963.6201046,"[1, 27, 0, 0, 1, 1]","[1016659968, 1400438784, 1020854272, 1018757120, 1022951424, 1022951424]"
28,1736121964.6255305,"[0, 1, 0, 0, 1, 1]","[1020854272, 1402535936, 1400438784, 1287192576, 1402535936, 1402535936]"
29,1736121965.6272936,"[27, 1, 0, 0, 1, 1]","[1400438784, 1696137216, 1404633088, 1402535936, 1404633088, 1404633088]"
30,1736121966.6362777,"[1, 1, 37, 1, 1, 1]","[1402535936, 1786314752, 1784217600, 1404633088, 1784217600, 1786314752]"
31,1736121967.6378446,"[4, 1, 0, 0, 1, 1]","[1721303040, 1788411904, 1786314752, 1784217600, 1788411904, 1788411904]"
32,1736121968.6425326,"[1, 0, 0, 0, 1, 0]","[1786314752, 2167996416, 1853423616, 1788411904, 2167996416, 2167996416]"
33,1736121969.6488748,"[0, 0, 0, 0, 0, 1]","[1788411904, 2172190720, 2170093568, 2167996416, 2172190720, 2172190720]"
34,1736121970.6545236,"[0, 0, 0, 0, 0, 1]","[2167996416, 2551775232, 2172190720, 2170093568, 2551775232, 2551775232]"
35,1736121971.6560411,"[0, 0, 0, 0, 0, 0]","[2172190720, 2553872384, 2551775232, 2551775232, 2553872384, 2553872384]"
