,timestamp,cpu_util,cpu_mem_used
0,1771302952.0556529,0.0,12231131136
1,1771302953.0608673,33.8,13550616576
2,1771302954.0616689,9.9,13985579008
3,1771302955.0624764,9.4,14545551360
4,1771302956.0633094,20.1,14787911680
5,1771302957.063847,42.0,15251193856
6,1771302958.0644748,11.1,15620886528
7,1771302959.0651708,6.1,16134402048
8,1771302960.0659366,3.9,16438693888
9,1771302961.0667675,0.7,16437219328
10,1771302962.0677671,2.1,16465358848
11,1771302963.0687516,0.3,16464822272
12,1771302964.0695965,4.7,16683487232
13,1771302965.0705616,7.8,16940261376
14,1771302966.0714855,29.4,18340675584
15,1771302967.0722322,73.5,25252474880
16,1771302968.072958,67.0,32970661888
17,1771302969.0737107,68.2,40568098816
18,1771302970.0744596,69.1,47835205632
19,1771302971.0752356,69.3,55613898752
20,1771302972.0758314,72.5,64504541184
21,1771302973.0764918,70.8,73284153344
22,1771302974.0772424,71.0,81426751488
23,1771302975.0778341,72.9,89168015360
24,1771302976.0785468,72.3,97305993216
25,1771302977.0803554,17.9,99776790528
26,1771302978.081291,71.9,105449418752
27,1771302979.0820725,68.0,111620280320
28,1771302980.082994,69.3,120895815680
29,1771302981.0837266,69.0,130252652544
30,1771302982.084421,70.0,139653750784
31,1771302983.0853171,68.7,148880097280
32,1771302984.0860686,68.8,157706878976
33,1771302985.0867763,76.9,173518565376
34,1771302986.0875237,30.2,175339483136
35,1771302987.0881984,37.6,175655555072
36,1771302988.0894208,45.3,175862366208
37,1771302989.0905726,46.1,176171360256
38,1771302990.0914588,44.7,176423636992
39,1771302991.0923777,48.0,176878399488
40,1771302992.0934722,46.7,177218461696
41,1771302993.0946457,47.0,177556029440
42,1771302994.0959332,47.8,178038624256
43,1771302995.0967512,46.6,178383491072
44,1771302996.097621,13.3,178487078912
45,1771302997.0986516,6.6,178522107904
46,1771302998.0993917,3.5,178550153216
47,1771302999.100381,8.9,178604728320
48,1771303000.1013927,1.7,178607865856
49,1771303001.1024518,31.6,178841063424
50,1771303002.1037529,48.3,179076538368
51,1771303003.1046515,46.9,179310481408
52,1771303004.1055882,43.4,179542294528
53,1771303005.1065438,43.1,179780706304
54,1771303006.1074119,42.7,179989286912
55,1771303007.1083345,49.1,180159565824
56,1771303008.10921,52.6,180480081920
57,1771303009.1101155,53.1,180731768832
58,1771303010.1113062,52.6,181041262592
59,1771303011.112134,47.8,166579417088
60,1771303012.1133225,51.0,162263674880
61,1771303013.1146784,52.7,162515574784
62,1771303014.1157517,52.3,162783956992
63,1771303015.116651,51.2,157620432896
64,1771303016.1174455,46.0,144026202112
65,1771303017.1183794,52.6,144245686272
66,1771303018.1192822,53.3,144507252736
67,1771303019.1204805,53.4,144772116480
68,1771303020.1215725,45.8,128128659456
69,1771303021.1224918,50.3,126057115648
70,1771303022.1233742,52.7,126278795264
71,1771303023.1241863,52.4,126400331776
72,1771303024.1251073,46.4,122166001664
73,1771303025.1263463,43.5,110027714560
74,1771303026.1273232,51.9,107830587392
75,1771303027.128625,52.6,108067110912
76,1771303028.1295562,52.9,108351475712
77,1771303029.130501,47.8,96665870336
78,1771303030.1317654,49.7,89681522688
79,1771303031.1331263,51.6,89922170880
80,1771303032.134472,46.6,90155827200
81,1771303033.1353788,39.3,88888283136
82,1771303034.1361911,47.5,77550579712
83,1771303035.1371078,51.5,71844429824
84,1771303036.1380749,51.2,72077799424
85,1771303037.1392686,50.6,72245764096
86,1771303038.1399956,48.1,66916945920
87,1771303039.1407795,47.5,58235318272
88,1771303040.1416986,48.0,53919064064
89,1771303041.1425776,48.0,54150725632
90,1771303042.1435366,48.3,49356935168
91,1771303043.144597,38.6,41375842304
92,1771303044.1454728,21.6,35375202304
93,1771303045.1464233,6.7,33791741952
94,1771303046.1471748,10.8,35742650368
95,1771303047.1482432,15.9,35922898944
96,1771303048.1490543,12.7,37165060096
97,1771303049.1500309,9.1,37198548992
98,1771303050.1507893,11.6,35882528768
99,1771303051.1516287,11.8,35829243904
100,1771303052.1522346,13.3,29899177984
101,1771303053.1530788,12.2,34321952768
102,1771303054.1537974,12.8,175093432320
103,1771303055.1545289,12.7,323847266304
104,1771303056.1551824,12.2,426802548736
105,1771303057.1558185,3.7,415765757952
106,1771303058.1563725,2.9,401650184192
107,1771303059.1569014,1.9,387002105856
108,1771303060.1574838,2.6,375680061440
109,1771303061.1583204,1.3,361639366656
110,1771303062.1587625,1.3,347706429440
111,1771303063.1592941,1.3,333618016256
112,1771303064.1598608,1.3,320416747520
113,1771303065.1603556,1.4,305377464320
114,1771303066.1607928,1.6,290411589632
115,1771303067.1613412,1.4,277745184768
116,1771303068.161994,3.0,265387442176
117,1771303069.1625764,1.5,250766254080
118,1771303070.1632645,1.7,236632403968
119,1771303071.1638384,1.5,223365619712
120,1771303072.164628,1.6,210613022720
121,1771303073.165174,1.4,196084449280
122,1771303074.1655896,1.3,181187272704
123,1771303075.1661632,1.4,168277573632
124,1771303076.1667526,2.2,154416762880
125,1771303077.1673088,1.5,139734597632
126,1771303078.1678648,1.6,124910706688
127,1771303079.1685271,1.6,111971860480
128,1771303080.1692333,1.4,97820651520
129,1771303081.1697543,1.4,83202727936
130,1771303082.1702588,1.4,68571435008
131,1771303083.1707826,1.5,56237666304
132,1771303084.1715505,1.4,42216296448
133,1771303085.1723475,1.4,28116426752
134,1771303086.1729531,1.4,14836768768
135,1771303087.173581,1.7,12285685760
