,timestamp,gpu_util,gpu_mem_used
0,1771302952.055575,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
1,1771302953.0640333,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
2,1771302954.0657513,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
3,1771302955.0729656,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
4,1771302956.075155,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
5,1771302957.077069,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
6,1771302958.079066,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 303628288, 303628288, 297336832, 303628288, 303628288, 303628288, 303628288]"
7,1771302960.1837788,"[0, 1, 0, 1, 1, 1, 1, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632]"
8,1771302961.185959,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632]"
9,1771302962.1881151,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632]"
10,1771302963.1902914,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632]"
11,1771302964.1934247,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632]"
12,1771302965.1955545,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632]"
13,1771302966.1977696,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632]"
14,1771302967.1996737,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632]"
15,1771302968.20129,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632]"
16,1771302969.2038145,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632]"
17,1771302970.2060485,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632]"
18,1771302971.2080483,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632]"
19,1771302972.209724,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632]"
20,1771302973.211388,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632]"
21,1771302974.2133136,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632]"
22,1771302975.215136,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632]"
23,1771302976.2170599,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632]"
24,1771302977.218961,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632, 611909632]"
