,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1732566734.6440294,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",0.0,40417120256
1,1732566735.7067516,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",12.9,40375955456
2,1732566736.7365277,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",7.4,40550486016
3,1732566737.740314,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",1.3,40615256064
4,1732566738.7438653,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",1.6,40667459584
5,1732566739.7476346,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",1.4,40726609920
6,1732566740.7517064,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",10.8,40790241280
7,1732566741.7611184,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",1.7,40941473792
8,1732566742.7649968,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",7.5,41021734912
9,1732566743.7686994,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",1.7,41072386048
10,1732566744.7727783,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",1.3,41132564480
11,1732566745.7767372,"[0, 0, 0, 0, 0, 0, 0, 0]","[287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288, 287244288]",10.6,41197932544
12,1732566746.781124,"[0, 38, 0, 0, 0, 0, 0, 0]","[291045376, 1301872640, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376]",7.0,42060722176
13,1732566747.785146,"[0, 33, 0, 0, 0, 0, 0, 0]","[291045376, 3401121792, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376]",35.1,43775942656
14,1732566748.7887228,"[0, 39, 0, 0, 0, 0, 0, 0]","[291045376, 5395513344, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376]",23.6,45342109696
15,1732566749.792604,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5395513344, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376]",1.6,45391912960
16,1732566750.7963903,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 5395513344, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376]",1.6,45461499904
