Expert,Node
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,1
12,1
13,0
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,3
27,3
28,3
29,0
30,0
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,2
44,2
45,0
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,0
57,2
58,2
59,2
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,1
75,0
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,2
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,2
104,3
105,3
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,0
118,2
119,2
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,0
145,1
146,1
147,1
148,0
149,2
150,3
151,3
152,3
153,3
154,2
155,3
156,2
157,3
158,3
159,3
160,2
161,3
162,3
163,3
164,3
165,3
166,3
167,2
168,2
169,3
170,2
171,2
172,0
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,0
181,0
182,0
183,0
184,0
185,0
186,2
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,1
197,1
198,1
199,1
200,2
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,2
209,1
210,2
211,1
212,2
213,1
214,2
215,2
216,1
217,3
218,3
219,3
220,3
221,3
222,3
223,2
224,3
225,3
226,3
227,3
228,2
229,2
230,3
231,3
232,3
233,3
234,3
235,2
236,2
237,2
238,2
239,2
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,0
264,1
265,0
266,1
267,1
268,1
269,1
270,2
271,3
272,3
273,3
274,2
275,3
276,3
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,3
285,3
286,3
287,2
288,2
289,2
290,2
291,2
292,2
293,2
294,2
295,2
296,2
297,2
298,2
299,2
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,1
308,1
309,0
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,3
323,1
324,3
325,3
326,3
327,3
328,0
329,3
330,3
331,3
332,0
333,3
334,3
335,3
336,3
337,3
338,3
339,2
340,2
341,2
342,2
343,2
344,2
345,2
346,0
347,2
348,2
349,3
350,2
351,2
352,2
353,0
354,0
355,2
356,0
357,2
358,0
359,2
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,1
372,1
373,0
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,3
386,3
387,1
388,3
389,3
390,3
391,3
392,0
393,2
394,1
395,3
396,3
397,2
398,3
399,3
400,0
401,3
402,3
403,3
404,3
405,3
406,2
407,2
408,2
409,2
410,2
411,2
412,0
413,2
414,2
415,2
416,2
417,2
418,2
419,2
420,3
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,3
431,0
432,3
433,1
434,1
435,0
436,0
437,1
438,0
439,1
440,1
441,1
442,1
443,0
444,1
445,1
446,1
447,1
448,1
449,1
450,0
451,1
452,3
453,1
454,3
455,3
456,3
457,3
458,3
459,3
460,3
461,3
462,3
463,3
464,3
465,2
466,2
467,2
468,2
469,2
470,2
471,2
472,2
473,2
474,2
475,2
476,2
477,2
478,2
479,2
480,0
481,0
482,2
483,0
484,0
485,0
486,2
487,0
488,0
489,0
490,0
491,0
492,2
493,0
494,0
495,0
496,0
497,1
498,2
499,1
500,3
501,1
502,3
503,1
504,3
505,1
506,1
507,1
508,1
509,1
510,3
511,3
512,1
513,3
514,0
515,1
516,1
517,1
518,1
519,3
520,3
521,1
522,3
523,3
524,3
525,3
526,3
527,3
528,2
529,3
530,2
531,2
