Expert,Node
0,2
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,2
9,0
10,2
11,2
12,1
13,1
14,1
15,1
16,1
17,1
18,0
19,0
20,1
21,1
22,1
23,1
24,0
25,0
26,1
27,1
28,1
29,1
30,0
31,0
32,0
33,1
34,1
35,2
36,0
37,4
38,4
39,4
40,4
41,4
42,4
43,5
44,5
45,5
46,5
47,3
48,5
49,3
50,7
51,7
52,7
53,3
54,3
55,2
56,7
57,7
58,7
59,7
60,2
61,4
62,7
63,2
64,7
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,5
75,3
76,5
77,5
78,2
79,5
80,5
81,5
82,3
83,7
84,5
85,5
86,3
87,5
88,5
89,2
90,2
91,5
92,3
93,3
94,3
95,3
96,3
97,7
98,7
99,7
100,7
101,7
102,6
103,7
104,2
105,3
106,6
107,6
108,6
109,2
110,6
111,2
112,6
113,6
114,6
115,6
116,6
117,3
118,2
119,6
120,2
121,6
122,6
123,3
124,6
125,6
126,6
127,3
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,0
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,4
158,4
159,4
160,4
161,4
162,2
163,4
164,4
165,4
166,5
167,6
168,5
169,5
170,7
171,7
172,3
173,7
174,7
175,7
176,7
177,3
178,7
179,4
180,4
181,2
182,0
183,2
184,4
185,2
186,2
187,4
188,4
189,4
190,4
191,4
192,5
193,3
194,5
195,5
196,5
197,2
198,5
199,5
200,2
201,6
202,3
203,5
204,5
205,6
206,5
207,5
208,2
209,5
210,5
211,2
212,5
213,3
214,3
215,3
216,3
217,3
218,7
219,3
220,7
221,7
222,2
223,7
224,7
225,3
226,7
227,2
228,7
229,7
230,7
231,6
232,6
233,6
234,2
235,2
236,6
237,6
238,6
239,2
240,6
241,6
242,6
243,6
244,6
245,0
246,2
247,2
248,6
249,6
250,0
251,3
252,3
253,3
254,3
255,3
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,1
268,1
269,1
270,3
271,1
272,3
273,1
274,1
275,4
276,4
277,4
278,3
279,3
280,4
281,4
282,4
283,4
284,5
285,5
286,3
287,4
288,7
289,7
290,4
291,4
292,0
293,1
294,1
295,2
296,2
297,2
298,2
299,2
300,4
301,2
302,4
303,4
304,4
305,4
306,2
307,3
308,2
309,7
310,5
311,5
312,2
313,5
314,2
315,2
316,5
317,5
318,2
319,5
320,5
321,2
322,5
323,4
324,3
325,5
326,5
327,5
328,3
329,5
330,3
331,3
332,5
333,5
334,3
335,7
336,2
337,7
338,7
339,2
340,7
341,7
342,3
343,3
344,7
345,7
346,7
347,1
348,1
349,7
350,7
351,7
352,7
353,0
354,7
355,6
356,0
357,6
358,6
359,6
360,0
361,6
362,6
363,2
364,6
365,1
366,6
367,1
368,1
369,1
370,1
371,6
372,6
373,1
374,0
375,6
376,6
377,6
378,6
379,6
380,6
381,3
382,3
383,3
384,0
385,2
386,3
387,0
388,0
389,0
390,0
391,0
392,0
393,2
394,0
395,1
396,3
397,1
398,1
399,0
400,1
401,0
402,3
403,0
404,1
405,1
406,0
407,1
408,3
409,1
410,1
411,1
412,0
413,3
414,1
415,0
416,1
417,3
418,0
419,1
420,3
421,1
422,1
423,1
424,0
425,4
426,3
427,4
428,3
429,7
430,3
431,4
432,4
433,3
434,2
435,4
436,4
437,4
438,4
439,4
440,5
441,7
442,4
443,7
444,4
445,4
446,4
447,4
448,3
449,4
450,5
451,5
452,2
453,5
454,7
455,7
456,7
457,5
458,5
459,5
460,5
461,2
462,7
463,2
464,2
465,7
466,3
467,5
468,7
469,3
470,5
471,7
472,5
473,5
474,5
475,5
476,4
477,2
478,5
479,7
480,5
481,7
482,7
483,2
484,2
485,6
486,2
487,6
488,7
489,6
490,6
491,2
492,6
493,2
494,6
495,2
496,7
497,6
498,6
499,2
500,7
501,6
502,6
503,6
504,2
505,6
506,6
507,6
508,6
509,6
510,3
511,3
512,0
513,3
514,3
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,1
526,1
527,1
528,1
529,1
530,3
531,3
532,1
533,1
534,0
535,1
536,3
537,1
538,1
539,1
540,2
541,1
542,5
543,5
544,5
545,4
546,4
547,4
548,4
549,4
550,4
551,7
552,2
553,2
554,4
555,2
556,4
557,4
558,4
559,2
560,4
561,5
562,4
563,2
564,2
565,4
566,4
567,2
568,5
569,5
570,5
571,3
572,5
573,5
574,5
575,2
576,3
577,5
578,7
579,2
580,4
581,4
582,5
583,5
584,5
585,2
586,5
587,5
588,6
589,2
590,2
591,7
592,3
593,7
594,2
595,6
596,7
597,6
598,7
599,2
600,7
601,7
602,6
603,1
604,6
605,1
606,6
607,7
608,7
609,6
610,0
611,6
612,6
613,7
614,6
615,7
616,1
617,7
618,0
619,7
620,6
621,6
622,1
623,6
624,0
625,0
626,6
627,7
628,2
629,7
630,6
631,6
632,3
633,3
634,3
635,3
636,3
637,3
638,3
639,3
640,0
641,0
642,0
643,0
644,0
645,1
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,1
654,0
655,0
656,0
657,0
658,1
659,5
660,4
661,1
662,5
663,7
664,4
665,7
666,1
667,1
668,1
669,3
670,4
671,3
672,3
673,7
674,5
675,5
676,5
677,3
678,3
679,5
680,3
681,7
682,3
683,3
684,3
685,3
686,5
687,5
688,4
689,5
690,3
691,2
692,5
693,4
694,7
695,7
696,4
697,2
698,2
699,7
700,5
701,5
702,4
703,4
704,2
705,2
706,2
707,2
708,4
709,2
710,5
711,2
712,7
713,2
714,2
715,7
716,2
717,7
718,2
719,7
720,7
721,2
722,5
723,2
724,2
725,3
726,4
727,7
728,5
729,3
730,4
731,4
732,7
733,7
734,4
735,3
736,4
737,1
738,1
739,1
740,4
741,5
742,1
743,6
744,6
745,1
746,6
747,6
748,1
749,6
750,6
751,7
752,6
753,6
754,1
755,6
756,1
757,6
758,6
759,6
760,6
761,6
762,6
763,6
764,1
765,4
766,3
767,3
768,5
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,1
777,1
778,1
779,1
780,1
781,0
782,0
783,1
784,1
785,0
786,0
787,0
788,0
789,0
790,1
791,1
792,0
793,3
794,3
795,3
796,3
797,3
798,3
799,3
800,3
801,3
802,3
803,3
804,3
805,3
806,1
807,3
808,2
809,2
810,2
811,2
812,2
813,2
814,2
815,2
816,2
817,2
818,2
819,2
820,2
821,2
822,2
823,2
824,1
825,4
826,5
827,5
828,5
829,5
830,5
831,4
832,5
833,5
834,5
835,5
836,5
837,5
838,4
839,4
840,4
841,4
842,7
843,7
844,7
845,7
846,7
847,6
848,6
849,6
850,6
851,6
852,6
853,6
854,6
855,6
856,6
857,7
858,7
859,7
860,6
861,7
862,7
863,7
864,7
865,7
866,7
867,7
868,6
869,6
870,6
871,6
872,6
873,7
874,4
875,4
876,5
877,4
878,4
879,4
880,5
881,4
882,4
883,4
884,5
885,4
886,4
887,5
888,3
889,3
890,1
891,1
892,1
893,1
894,1
895,0
896,5
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,1
905,0
906,1
907,0
908,0
909,0
910,0
911,0
912,0
913,1
914,1
915,1
916,1
917,0
918,1
919,1
920,3
921,3
922,3
923,3
924,3
925,3
926,3
927,3
928,3
929,3
930,3
931,2
932,3
933,3
934,3
935,2
936,3
937,3
938,2
939,2
940,2
941,2
942,2
943,2
944,2
945,2
946,2
947,2
948,2
949,2
950,2
951,2
952,1
953,1
954,4
955,5
956,5
957,5
958,5
959,5
960,5
961,5
962,5
963,5
964,5
965,5
966,1
967,5
968,5
969,4
970,5
971,4
972,7
973,5
974,7
975,7
976,7
977,7
978,7
979,7
980,7
981,7
982,7
983,7
984,7
985,6
986,7
987,7
988,6
989,6
990,6
991,6
992,6
993,7
994,6
995,6
996,7
997,6
998,6
999,6
1000,6
1001,6
1002,6
1003,6
1004,6
1005,4
1006,4
1007,4
1008,4
1009,4
1010,4
1011,4
1012,4
1013,4
1014,4
1015,4
1016,4
1017,0
1018,1
1019,4
1020,1
1021,1
1022,1
1023,1
1024,5
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,1
1042,1
1043,1
1044,1
1045,1
1046,1
1047,0
1048,3
1049,3
1050,3
1051,3
1052,3
1053,3
1054,3
1055,3
1056,3
1057,3
1058,3
1059,3
1060,3
1061,3
1062,3
1063,2
1064,2
1065,2
1066,2
1067,2
1068,2
1069,2
1070,2
1071,2
1072,2
1073,2
1074,2
1075,2
1076,2
1077,2
1078,2
1079,3
1080,0
1081,4
1082,5
1083,5
1084,5
1085,5
1086,5
1087,5
1088,5
1089,5
1090,5
1091,5
1092,5
1093,5
1094,5
1095,5
1096,5
1097,4
1098,7
1099,7
1100,7
1101,7
1102,7
1103,7
1104,7
1105,7
1106,7
1107,7
1108,7
1109,7
1110,7
1111,1
1112,7
1113,7
1114,6
1115,6
1116,6
1117,6
1118,6
1119,6
1120,6
1121,6
1122,6
1123,6
1124,6
1125,6
1126,6
1127,6
1128,6
1129,6
1130,7
1131,4
1132,4
1133,4
1134,4
1135,4
1136,4
1137,4
1138,4
1139,4
1140,4
1141,4
1142,4
1143,4
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,4
1152,5
1153,0
1154,0
1155,0
1156,0
1157,0
