,dataset,scheduling_policy,MTTFT (ms),std div,num samples
0,bookcorpus,deepspeed,5.595840622360508,0.23416425284440728,30
1,bookcorpus,drop,4.643070977181196,0.084027791871419,30
2,bookcorpus,even_split,9.420810795078674,0.0273285167754584,30
3,bookcorpus,exflow,6.127709491799275,0.2070012511895399,30
4,bookcorpus,harmony,4.841371687750022,0.21205570673974505,30
5,random,deepspeed,6.811885768547654,0.3997663045093018,30
6,random,drop,4.614763706922531,0.012606640265326666,30
7,random,even_split,8.900420165931186,0.04042061005765635,30
8,random,exflow,7.076113453755776,0.2986816889513702,30
9,random,harmony,4.963319236412644,0.2982537116086159,30
10,wikitext,deepspeed,5.770494214569529,0.3099494846773763,30
11,wikitext,drop,4.660993147020538,0.09084111272915654,30
12,wikitext,even_split,9.793169299761454,0.013547743054696715,30
13,wikitext,exflow,5.984013124058644,0.28369744557263654,30
14,wikitext,harmony,4.96971399212877,0.3993395046396233,30
15,wmt19,deepspeed,5.338439609234531,0.17396089810913637,30
16,wmt19,drop,4.728212657695015,0.013883078012235615,30
17,wmt19,even_split,9.731172040725747,0.01531586741108406,30
18,wmt19,exflow,5.696318407232563,0.24785863266342273,30
19,wmt19,harmony,4.90398049975435,0.0835087721704439,30
