,system_name,router_skew,throughput (toks/s)
0,deepspeed-inference,0.0,15.618553537490124
1,exflow,0.0,23.61564813432899
2,fastermoe,0.0,46.22224017909242
3,fastmoe,0.0,46.191899812980985
4,harmony,0.0,33.03699800272353
5,deepspeed-inference,0.5,3.7780803102448806
6,exflow,0.5,16.202608155844768
7,fastermoe,0.5,24.87886422944489
8,fastmoe,0.5,24.704308276289193
9,harmony,0.5,31.59054409325458
10,deepspeed-inference,0.9,1.6591678649258184
11,exflow,0.9,12.633251460481661
12,fastermoe,0.9,18.169854367884845
13,fastmoe,0.9,17.96645665062263
14,harmony,0.9,29.838334049872554
