,throughput (toks/s),dataset,scheduling_policy
0,178.70416037298924,bookcorpus,deepspeed
1,215.3746959533018,bookcorpus,drop
2,106.14797619355531,bookcorpus,even_split
3,163.19311503561028,bookcorpus,exflow
4,206.5530317637603,bookcorpus,harmony
5,146.80222686899336,random,deepspeed
6,216.69581879131024,random,drop
7,112.3542463565682,random,even_split
8,141.32051535567618,random,exflow
9,201.47807391949536,random,harmony
10,173.29538213125107,wikitext,deepspeed
11,214.54655015728423,wikitext,drop
12,102.11198942760628,wikitext,even_split
13,167.11193295674997,wikitext,exflow
14,201.21882297126953,wikitext,harmony
15,187.3206541983132,wmt19,deepspeed
16,211.49640940378006,wmt19,drop
17,102.76254451312941,wmt19,even_split
18,175.55198437122286,wmt19,exflow
19,203.91598213942572,wmt19,harmony
