,scheduling_policy,router_skew,throughput (toks/s)
0,deepspeed,0.0,212.7128171539071
1,drop,0.0,170.16064056968443
2,even_split,0.0,94.25836967586268
3,exflow,0.0,207.26647932684168
4,harmony,0.0,211.83492535306527
5,deepspeed,0.5,125.61199319289767
6,drop,0.5,195.0882539286813
7,even_split,0.5,97.93559961681811
8,exflow,0.5,135.21047406093825
9,harmony,0.5,206.4894436888759
10,deepspeed,0.9,103.08781754321025
11,drop,0.9,209.83887460640426
12,even_split,0.9,99.78119450642293
13,exflow,0.9,106.21831511974025
14,harmony,0.9,204.89690989788284
