,dataset,system_name,throughput (toks/s)
0,bookcorpus,deepspeed-inference,28.083600294430628
1,bookcorpus,exflow,163.19311503561028
2,bookcorpus,fastermoe,201.89434463865283
3,bookcorpus,fastmoe,202.273976555775
4,bookcorpus,harmony,206.5530317637603
5,random,deepspeed-inference,27.479190244247345
6,random,exflow,141.32051535567618
7,random,fastermoe,186.55304112630853
8,random,fastmoe,186.81545299086292
9,random,harmony,201.47807391949536
10,wikitext,deepspeed-inference,27.47256101075281
11,wikitext,exflow,167.11193295674997
12,wikitext,fastermoe,187.57917368857218
13,wikitext,fastmoe,187.6092923524541
14,wikitext,harmony,201.21882297126953
15,wmt19,deepspeed-inference,30.471093785918207
16,wmt19,exflow,175.55198437122286
17,wmt19,fastermoe,199.40900644715816
18,wmt19,fastmoe,200.18334864930162
19,wmt19,harmony,203.91598213942572
