,system_name,router_skew,throughput (toks/s)
0,deepspeed-inference,0.0,87.83592771976821
1,exflow,0.0,207.26647932684168
2,fastermoe,0.0,224.9236074011962
3,fastmoe,0.0,227.21566661442978
4,harmony,0.0,211.83492535306527
5,deepspeed-inference,0.5,25.526098330796934
6,exflow,0.5,135.21047406093825
7,fastermoe,0.5,151.15067524922807
8,fastmoe,0.5,149.345165249114
9,harmony,0.5,206.4894436888759
10,deepspeed-inference,0.9,13.47027391540577
11,exflow,0.9,106.21831511974025
12,fastermoe,0.9,122.5586623928259
13,fastmoe,0.9,121.74722875458795
14,harmony,0.9,204.89690989788284
