iteration,throughput (toks/s),scheduling_policy
0,16.395079487309783,deepspeed
1,18.780013689969028,deepspeed
2,17.266176862571154,deepspeed
3,12.90516195986403,deepspeed
4,16.20378302322171,deepspeed
5,12.696124933043565,deepspeed
6,12.297362628260796,deepspeed
7,13.351347114241797,deepspeed
8,18.085977627734998,deepspeed
9,17.82406807841554,deepspeed
10,16.04702040691399,deepspeed
11,14.653136419639509,deepspeed
12,11.223843452914753,deepspeed
13,11.683144824121968,deepspeed
14,14.586302336934288,deepspeed
15,16.840116642345265,deepspeed
16,14.259568053777182,deepspeed
17,11.204008112121892,deepspeed
18,11.393649940266227,deepspeed
19,15.464306673000078,deepspeed
20,15.140912365776583,deepspeed
21,14.680761642027198,deepspeed
22,12.3620151512621,deepspeed
23,11.619281419569758,deepspeed
24,16.261919147338567,deepspeed
25,13.609745156199363,deepspeed
26,19.406035144863836,deepspeed
27,13.529476452210565,deepspeed
28,17.75716278547947,deepspeed
29,13.157720163042685,deepspeed
30,15.27659365879739,deepspeed
31,12.138662738431718,deepspeed
32,15.104188026429213,deepspeed
33,12.416795454116533,deepspeed
34,13.432533154559012,deepspeed
35,15.176763095107969,deepspeed
36,11.971420803902275,deepspeed
37,14.592772769438113,deepspeed
38,17.33894881457044,deepspeed
39,18.49792709085794,deepspeed
40,14.399947815130522,deepspeed
41,16.29767326194066,deepspeed
42,15.742291518426136,deepspeed
43,11.412648986823278,deepspeed
44,12.05296858392314,deepspeed
45,11.106537957441484,deepspeed
46,14.42768235600667,deepspeed
47,11.924766262806324,deepspeed
48,14.372806045004857,deepspeed
49,12.772772882512102,deepspeed
50,13.213248361425771,deepspeed
51,11.911334578385576,deepspeed
52,11.146851920260872,deepspeed
53,16.196915607114246,deepspeed
54,12.729712637347976,deepspeed
55,11.41675342933708,deepspeed
56,13.337395103616482,deepspeed
57,16.571620194062366,deepspeed
58,11.738383712703778,deepspeed
59,12.696067286701135,deepspeed
60,12.848065558981679,deepspeed
61,16.942353115819895,deepspeed
62,17.37936163927628,deepspeed
63,17.894055585300972,deepspeed
64,13.417128684524663,deepspeed
65,11.376948362936051,deepspeed
66,11.905789565377214,deepspeed
67,15.602554295994603,deepspeed
68,15.12081399168758,deepspeed
69,18.662387769324422,deepspeed
70,19.457969668133217,deepspeed
71,11.32876783707636,deepspeed
72,13.243905384827713,deepspeed
73,16.523264441050674,deepspeed
74,16.45341283539934,deepspeed
75,12.658381269126531,deepspeed
76,11.31044330070311,deepspeed
77,12.70725086127118,deepspeed
78,13.593509575035107,deepspeed
79,13.138928459271568,deepspeed
80,11.064376161523612,deepspeed
81,12.215390596957002,deepspeed
82,15.623898846871095,deepspeed
83,18.48248389399561,deepspeed
84,12.885108049728798,deepspeed
85,17.838831628456912,deepspeed
