,layer,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),rank,wait latency (ms),other latency (ms)
0,0,163.9912599836077,3.3941211391772543,30.91738714490618,15.705773762294225,7.336774826049801,75.38988331386021,0,22.55736895969936,8.689950837620671
1,0,166.5416041782924,5.753124560628619,32.0701413835798,15.554141657693046,6.488155228751051,93.65964072091239,1,4.287611552647178,8.72878907408031
2,0,164.41768210274833,2.5497600180762157,32.611380440848215,14.8588045665196,7.164402553013393,97.45584678649902,2,0.4914054870605469,9.28608225073134
3,0,162.4001099722726,0.5870445700628417,31.625663893563406,16.10931662150792,6.7806650911058695,97.94725227355957,3,0.0,9.350167522472987
4,0,165.80322756086076,1.6848457104393415,41.63551303318569,5.890868629728045,7.694765627384186,97.16295051574707,4,0.7843017578125,10.949982286563909
5,0,164.12145451137,2.6033005953899453,31.94121606009347,14.99881362915039,7.432827847344541,96.58809389386859,5,1.3591583796909816,9.198044105832054
6,1,165.24236679077148,3.888274250285966,30.71784223828997,15.412173543657575,6.969307354518346,75.07367760794503,0,24.443574905395508,8.737516890679103
7,1,168.22513471330916,6.685769140720367,32.10323183877127,14.812080042702812,6.301750659942632,94.22114726475307,1,5.296105248587466,8.805050517831546
8,1,164.68106951032365,2.448018320969173,32.32919093540737,14.563439914158412,6.729083367756445,97.77413477216449,2,1.7431177411760501,9.094084458691725
9,1,162.50462940761022,0.289206860853093,31.335021836417063,15.892301627567836,6.330637718949999,99.51725251334054,3,0.0,9.140208850481713
10,1,165.72686658586775,1.580251423375947,41.244214739118306,5.896676506314959,6.513234717505329,97.56663812909808,4,1.9506143842424564,10.975236686212668
11,1,165.90467670985632,3.5663726116929735,32.079474449157715,14.492002350943428,6.903563465390887,96.36946732657296,5,3.147785186767578,9.346011319330785
12,2,165.25429098946708,3.9784594689096724,30.65067413875035,15.597700595855713,7.755108015877859,75.14491162981305,0,23.558885301862446,8.568551838398008
13,2,168.19653647286552,6.504447979586465,31.996987070356095,15.527714252471924,6.745368174144204,94.82772064208984,1,3.8760762895856544,8.718222064631334
14,2,165.04364122663225,2.471277730805533,32.40288734436035,14.60699646813529,7.750911678586691,98.63039779663086,2,0.0733991350446388,9.107771073068847
15,2,162.48890577043807,0.2914011425205639,31.802141462053573,14.83341714314052,7.645058223179409,98.7037969316755,3,0.0,9.213090867868488
16,2,166.07883180890764,2.147108592092991,41.35793358939035,5.767899428095136,7.165211064474923,98.17854172842843,4,0.5252552032470703,10.936882203178726
17,2,166.2491798400879,3.6762331128120422,32.00901917048863,14.817549705505371,7.93518890653338,98.02669552394322,5,0.6771014077322803,9.107392013072968
18,3,164.7452174595424,3.2359131606561795,30.990962300981796,14.97820792879377,7.871691022600437,74.88607774462018,0,23.935577256338945,8.846788045551108
19,3,167.91676439557756,6.073417118617466,32.08463341849191,14.84199319566999,7.2803338255201115,94.32516588483539,1,4.49648911612374,8.81473183631897
20,3,165.25209535871232,2.111780596630914,32.53238650730678,14.52815546308245,8.14407113620213,98.51065417698452,2,0.3110008239746094,9.11404665453091
21,3,162.8574720110212,0.3404068553021976,31.32870183672224,15.112964493887764,8.202749678066798,98.82165500095913,3,0.0,9.050994146083099
22,3,167.330012185233,2.54610284950052,41.32530048915318,5.853748551436833,7.859113046101163,97.98500578744071,4,0.8366492135184131,10.924092248082161
23,3,165.53976603916712,2.5980342935238565,32.2544845853533,15.0000547681536,7.542239683015008,98.43811171395438,5,0.3835432870047413,9.323297708162244
24,4,164.94752938406808,4.441600007670266,30.67408425467355,15.432704244341169,6.636360985892164,75.20185347965786,0,24.019931656973696,8.540994754859383
25,4,167.32730429513114,6.660169167178018,32.03180735451834,15.185021809169225,5.327574866158624,94.42367771693638,1,4.798107419695171,8.9009459614754
