,dataset,iteration,layer_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,bookcorpus,0,0,139,7177,498,258,1689,4596,4876,4682,20,1000,46,10,4034,10402,4496,4860,2912,671,1683,857,7467,695,2175,2476,1070,497,2072,11752,1621,6752,694,1018,262,13177,2271,373,1068,33874,1387,3376,2114,3378,2463,5745,1826,1916,400,2861,13783,830,7720,1634,2426,323,636,0,3276,2892,1152,130,3,10321,225,400,14,3378,2031,4768,14054,4822,538,1998,2214,9809,4131,176,2998,26745,501,29702,3509,8920,14,1295,1988,27627,542,5609,1768,125,789,3446,2906,125,2239,2020,391,2273,22397,1748,4732,2260,5545,1424,293,75,530,15013,2715,1426,2624,1766,74,5414,6246,1855,483,97,41,2787,351,28973,2346,79,6954,5704,4865,6569
1,bookcorpus,1,0,112,7076,551,339,1547,5077,5133,4568,19,923,44,9,3239,10621,5011,4912,3280,694,1310,919,6905,579,2778,2394,1065,397,1930,11155,2218,7285,746,987,274,14094,2155,249,1129,32990,1545,3929,2202,3746,3196,5840,1712,2274,456,2860,12809,815,9404,1261,2357,390,678,0,3233,3322,1956,59,5,9924,71,430,12,3559,2658,3559,13746,4741,528,3399,2655,10048,4239,165,2616,26662,680,27600,3945,7623,7,2016,1918,27564,610,5159,1342,31,547,3664,2654,296,1933,1739,419,2185,22001,1750,4028,2440,5540,1569,270,108,513,14507,1943,2018,3052,1584,91,5805,6778,1788,637,80,68,2655,547,28503,2344,17,6506,5850,4991,6598
2,bookcorpus,2,0,176,7759,666,358,1480,5204,5197,4216,0,977,62,10,3941,9492,4584,5611,3046,595,1377,743,7707,960,2298,2574,790,483,2560,12646,1714,6176,719,882,265,13618,2944,403,1070,33464,1678,2982,2319,3785,3694,5017,2482,1317,474,3486,12942,734,8261,1155,2556,379,699,0,2959,3271,1133,147,3,10895,240,473,9,2980,2199,4168,14381,5304,595,2174,2497,9601,4211,177,4195,25570,595,27505,4384,8968,23,1561,1658,24924,382,5644,1519,132,569,3584,2944,232,1709,2303,406,2280,22473,1775,3934,2405,5221,1366,287,112,574,13125,2094,1652,3068,1543,47,5702,7595,2136,506,96,41,3259,557,27946,2870,28,7721,5527,4281,7116
3,bookcorpus,3,0,332,7157,700,448,1409,4343,5581,4415,0,1415,59,9,3984,10611,4568,4862,3103,625,1549,965,8531,589,2295,2504,935,289,1742,12788,1661,6046,811,874,259,12999,3216,377,1195,32958,1270,3092,2179,3750,3189,6201,1401,1437,477,3124,12629,703,7098,1612,2618,366,871,0,3086,3255,1050,135,4,10821,181,483,14,3666,2182,4389,13779,5223,620,2889,2687,9838,4109,179,3845,26381,671,27610,4195,8697,22,1618,1724,26299,684,5250,2025,102,561,3496,2980,107,2395,2908,424,2399,21710,1809,5131,2139,5106,1284,396,97,526,12869,2073,2037,2626,1620,63,5656,6718,1818,429,141,85,2645,438,28682,2063,162,6957,4940,5887,6977
4,bookcorpus,4,0,340,6438,636,439,2010,4494,4909,5258,0,943,41,4,3897,9920,4239,5513,3088,695,1411,825,7331,675,2144,2804,991,324,2009,11532,1738,6717,817,993,304,14117,3547,317,942,34056,1364,3192,2029,3468,3234,5241,2027,2032,490,2458,13776,675,7676,1446,2210,382,528,0,3136,2877,1019,121,0,9574,62,446,11,3522,1676,4606,13742,6242,512,2673,2210,10065,3819,169,3455,26409,713,28569,4001,8500,11,1334,2184,26224,371,5213,1480,89,610,3774,3382,101,1778,1872,354,2251,22269,1739,5122,2535,5661,1202,391,95,533,13751,2370,1309,2591,1734,92,5137,7464,2050,571,79,98,3083,351,29235,2350,101,7343,6070,4506,6613
5,bookcorpus,5,0,203,7095,596,325,1690,4621,5143,4124,0,1118,40,4,3922,11366,4688,5515,3243,758,1238,687,7631,521,2616,2313,1315,339,1554,11914,2104,6378,743,733,262,13218,2681,330,1191,33372,1533,2821,2355,3668,3103,6178,2162,1914,417,2181,13198,722,8569,1807,2304,394,514,0,2873,3136,1097,92,3,10124,94,428,14,3050,2274,3324,13968,5456,628,2848,2196,9542,4134,139,3406,25765,768,28864,3446,8035,22,1078,2146,26638,288,5471,1472,156,665,2947,2618,135,2231,2277,392,2047,23176,2041,5103,2743,6081,1174,298,82,530,14576,2319,1347,2844,1774,111,6045,6739,2001,503,109,163,2715,456,28437,2534,56,7913,5884,4186,6630
6,bookcorpus,6,0,232,6859,544,295,1400,5213,5338,5125,0,881,38,5,3628,10436,4622,5068,2646,634,1097,739,7650,566,2477,2343,1140,434,1737,12488,2185,7433,676,1062,237,14100,3273,295,1207,34098,1440,3072,2362,3569,2768,5044,2205,1920,456,2980,13134,662,7814,1794,2442,387,495,0,2825,2927,1154,84,3,10424,149,416,20,4123,1909,4750,13596,5062,526,2356,2563,9823,4198,248,3615,26341,696,27156,4231,8683,18,1707,2240,25298,448,5500,1320,57,632,3367,3104,185,1969,2568,426,2192,22074,1916,4638,2543,5160,1324,405,90,503,14000,1957,1857,2471,1584,88,6285,6792,1769,491,122,72,2899,508,28630,2493,73,7711,5176,4337,6666
7,bookcorpus,7,0,260,6447,483,399,1463,5283,5269,3988,0,778,53,6,3790,11523,4352,4731,2926,578,1517,911,7578,419,2528,2413,914,411,2393,11778,2394,7049,653,883,296,14160,2825,332,1154,33999,1217,3006,2355,3384,3032,4518,2520,1896,379,2874,14399,862,9043,1417,2599,382,510,0,2929,3057,1827,113,4,9762,272,406,13,3461,2264,4885,13898,5403,525,2232,2481,10603,4070,173,2793,26942,773,26150,4070,8775,33,2163,2434,24883,576,4694,1419,61,420,3647,2883,112,1924,3001,319,2194,21387,2178,4690,2236,5787,1325,344,102,526,12704,1937,1359,3012,1618,70,5615,7011,1820,502,95,103,2929,522,29589,2209,33,7149,5721,4974,6768
8,bookcorpus,8,0,505,6997,632,461,1753,4886,5246,3836,16,1004,52,5,3323,10025,5450,5301,2680,686,1403,890,8026,656,2800,2712,1039,262,2258,12316,1650,6459,935,1056,293,13225,2307,374,1058,32522,995,2935,2337,4056,3130,5132,1916,1339,416,2898,13565,927,8243,1712,2271,381,596,0,2629,3940,1347,169,3,10872,136,348,20,3792,3021,4200,13672,5526,582,2997,2516,10059,4353,201,3061,25272,805,27509,3731,8254,22,1714,2657,24013,416,5350,1311,262,380,3517,2527,224,1980,2557,402,2307,23433,2073,4597,2927,5068,1346,277,120,540,13002,2277,1517,3026,1464,87,5645,8298,1867,464,110,152,2649,808,27898,1984,83,8498,5210,5104,7162
9,bookcorpus,9,0,304,6510,636,302,1499,4529,5802,3593,0,1046,52,9,4089,10936,4871,4529,3143,564,1532,735,8496,436,2325,2501,1229,314,1849,11872,1990,6534,883,1021,341,12844,3262,369,1224,33361,1730,3030,2137,4083,3321,5081,1826,1774,407,2965,13452,674,9011,1504,2472,369,594,0,2705,3677,1211,135,3,10590,188,355,17,3488,2379,4601,13981,4804,478,2422,2866,10163,4408,192,3075,26521,520,26279,3329,8315,25,1577,1790,24189,454,5648,1659,173,696,3474,3019,215,2227,2401,418,2070,23052,2263,4129,2102,5945,1020,401,67,623,14253,2241,2199,2604,1513,102,5557,6946,1945,447,155,151,2645,402,28538,2528,52,8037,4939,5718,7015
10,bookcorpus,10,0,244,6941,631,343,1887,4598,5059,4489,4,1255,42,9,3730,10491,6046,5423,2841,558,1729,892,6226,346,1821,2388,813,497,1940,12085,1680,6941,722,650,204,13683,2476,318,858,33906,1093,3000,2025,4608,3451,4128,1617,1942,437,3328,14890,756,9415,1227,2439,463,696,0,3286,2820,1384,108,2,10597,226,366,27,2909,2083,3920,13817,5378,532,2249,2450,10208,4032,176,3992,26605,833,28606,3785,7731,36,1526,1986,24586,457,5145,1530,208,385,3353,2287,186,1715,1965,350,2316,22881,2106,4242,2716,6134,1453,329,111,493,14382,2342,1407,2795,1774,112,5031,6721,2117,481,89,124,3169,564,28759,2620,116,7705,5105,4716,7260
11,bookcorpus,11,0,154,6828,617,434,2178,4971,5091,4066,18,1127,44,5,3398,10190,5307,5315,2950,646,1881,541,7136,415,2973,2326,878,428,2785,11919,1783,5994,799,905,242,13563,2374,352,1257,33126,1251,2618,2297,3338,2403,5593,1815,1831,449,3384,13826,955,8019,1420,2449,424,527,0,2602,3487,1105,126,5,11029,207,416,13,3018,1920,4199,14179,5126,592,2589,3026,9896,3702,160,2868,26039,824,28019,4940,9509,21,1320,2581,27076,508,5116,1515,95,498,3134,3283,116,1789,2009,392,2204,22863,2092,4132,2219,5207,1226,326,134,586,14948,1983,1343,3441,1631,94,5259,6214,1982,425,119,97,3107,573,28553,2639,162,7368,4787,4793,7117
12,bookcorpus,12,0,237,6826,477,393,1729,5055,5032,4476,0,1229,51,8,3170,9525,5286,5350,3003,588,1646,860,7688,395,1977,2311,918,403,2198,13184,2173,6238,781,1012,262,14035,2336,349,1210,32968,1066,3230,2187,3825,3502,4612,2117,1748,454,2363,13703,802,10104,2148,2631,391,570,0,3005,3545,1191,129,2,10854,141,380,17,3144,1870,4343,13753,5285,622,2632,2178,9866,4644,169,4090,24918,748,27936,4113,7432,16,1960,2108,24894,678,5088,2215,99,374,3673,2986,139,1791,2419,404,2577,22795,1964,4216,2683,5906,1511,297,110,527,13557,1822,1818,3015,1611,97,5621,6833,1939,520,124,90,2580,654,27700,2100,11,7414,5890,4740,6883
13,bookcorpus,13,0,166,7043,497,367,1831,4339,5323,4376,0,1491,34,6,3080,10045,4413,5180,3235,689,1349,1031,7977,633,2224,2949,975,406,2354,11212,2056,6119,655,922,319,13281,3285,369,1236,32273,1584,3504,2113,3804,3326,5176,2319,1630,454,2828,13065,734,8420,1263,2512,448,665,0,2445,2798,1208,141,5,9990,124,456,20,2856,1972,3916,13861,5072,589,2979,1999,10242,4441,178,3463,25996,704,28322,3944,8960,29,1615,2858,27387,681,5485,1749,89,438,3544,2429,148,2268,2281,388,2277,23377,1848,4208,2716,5833,1406,430,97,548,13920,1809,1699,2631,1758,95,5559,6863,2042,457,93,202,2861,441,28316,2265,42,7862,4740,5604,6634
14,bookcorpus,14,0,328,6810,543,331,1574,4822,4871,4383,1,1380,29,2,3155,9712,5084,4626,2699,735,1664,439,7237,589,2317,2731,1225,597,1890,12596,1952,6313,730,937,278,12424,3004,419,1099,32980,1144,2723,2546,3510,2815,6025,1911,1836,403,2831,13095,809,8147,1267,2555,445,653,0,2838,3010,1417,73,1,10850,185,470,14,3017,2127,4899,13883,5473,614,2450,3159,9467,3665,213,3535,25568,876,29521,4148,8496,22,1594,1938,26188,419,5313,1720,85,364,3918,2403,238,2100,2400,405,2378,22196,1810,4213,2074,6350,1248,361,86,518,15186,1962,1638,2488,1841,132,6349,6731,1977,495,104,55,2809,393,28623,2965,60,7923,5340,4971,6715
