iteration,type,latency (ms)
0,moe,40.00563049316406
1,moe,20.817920684814453
2,moe,15.431679725646973
3,moe,16.280576705932617
4,moe,16.166912078857422
5,moe,15.972352027893066
6,moe,16.149503707885742
7,moe,19.58297538757324
8,moe,15.48799991607666
9,moe,15.91808032989502
10,moe,16.4270076751709
11,moe,16.292863845825195
12,moe,16.118783950805664
0,dense,0.2887679934501648
1,dense,0.2979840040206909
2,dense,0.2682879865169525
3,dense,0.2856959998607635
4,dense,0.2959359884262085
5,dense,0.2867200076580047
6,dense,0.289792001247406
7,dense,0.2908160090446472
8,dense,0.2826240062713623
9,dense,0.2908160090446472
10,dense,0.2775039970874786
11,dense,0.2959359884262085
12,dense,0.3010559976100921
0,dense_param_matched,6.475776195526123
1,dense_param_matched,6.569983959197998
2,dense_param_matched,6.511616230010986
3,dense_param_matched,6.5228800773620605
4,dense_param_matched,6.573056221008301
5,dense_param_matched,6.583295822143555
6,dense_param_matched,6.575104236602783
7,dense_param_matched,6.424575805664063
8,dense_param_matched,6.4235520362854
9,dense_param_matched,6.590464115142822
10,dense_param_matched,6.583295822143555
11,dense_param_matched,6.473728179931641
12,dense_param_matched,6.467584133148193
