iteration,min (ms),idle (ms)
0,3.608576059341431,15.881215810775757
1,3.66592001914978,15.900671243667603
2,3.629055976867676,15.441920280456543
3,3.7068800926208496,15.285248279571533
4,3.576832056045532,16.132095098495483
5,3.527679920196533,15.713279247283936
6,3.5389440059661865,15.817728281021118
7,3.374079942703247,15.7552649974823
8,3.511296033859253,16.02457547187805
9,3.661823987960816,15.735808610916141
10,3.684351921081543,15.539200782775882
11,3.595263957977295,15.810560703277588
12,3.5338239669799805,15.562752723693848
