iteration,policy,imbalance
0,deepspeed_policy,244.49999999999997
1,deepspeed_policy,255.10000000000002
2,deepspeed_policy,252.55
3,deepspeed_policy,246.74999999999997
4,deepspeed_policy,252.95000000000002
5,deepspeed_policy,252.55
6,deepspeed_policy,244.74999999999997
7,deepspeed_policy,253.54999999999998
8,deepspeed_policy,248.85000000000002
9,deepspeed_policy,248.4
10,deepspeed_policy,250.55
11,deepspeed_policy,253.7
12,deepspeed_policy,248.95000000000002
13,deepspeed_policy,246.0
14,deepspeed_policy,253.7
15,deepspeed_policy,248.1
16,deepspeed_policy,244.34999999999997
17,deepspeed_policy,253.95
18,deepspeed_policy,249.54999999999998
19,deepspeed_policy,250.35
20,deepspeed_policy,248.15
21,deepspeed_policy,255.54999999999998
22,deepspeed_policy,252.1
23,deepspeed_policy,254.5
24,deepspeed_policy,249.14999999999998
25,deepspeed_policy,246.4
26,deepspeed_policy,247.29999999999998
27,deepspeed_policy,248.8
28,deepspeed_policy,252.89999999999998
29,deepspeed_policy,255.14999999999998
30,deepspeed_policy,246.20000000000002
31,deepspeed_policy,250.65
32,deepspeed_policy,254.8
33,deepspeed_policy,251.7
34,deepspeed_policy,245.7
35,deepspeed_policy,253.7
36,deepspeed_policy,246.89999999999998
37,deepspeed_policy,252.4
38,deepspeed_policy,255.10000000000002
39,deepspeed_policy,248.45000000000002
40,deepspeed_policy,247.04999999999998
41,deepspeed_policy,250.1
42,deepspeed_policy,249.9
43,deepspeed_policy,249.6
44,deepspeed_policy,247.40000000000003
45,deepspeed_policy,248.5
46,deepspeed_policy,254.55
47,deepspeed_policy,249.25000000000003
48,deepspeed_policy,247.95
49,deepspeed_policy,246.74999999999997
50,deepspeed_policy,247.10000000000002
51,deepspeed_policy,252.4
52,deepspeed_policy,253.2
53,deepspeed_policy,247.54999999999998
54,deepspeed_policy,247.8
55,deepspeed_policy,251.25000000000003
56,deepspeed_policy,250.05
57,deepspeed_policy,249.54999999999998
58,deepspeed_policy,250.05
59,deepspeed_policy,252.4
60,deepspeed_policy,250.85000000000002
61,deepspeed_policy,252.85000000000002
62,deepspeed_policy,250.55
63,deepspeed_policy,252.2
64,deepspeed_policy,244.3
65,deepspeed_policy,253.39999999999998
66,deepspeed_policy,251.29999999999998
67,deepspeed_policy,251.79999999999998
0,harmony,5.504761904761905
1,harmony,6.457142857142857
2,harmony,8.952380952380953
3,harmony,8.228571428571428
4,harmony,6.171428571428572
5,harmony,5.809523809523809
6,harmony,6.476190476190475
7,harmony,7.847619047619048
8,harmony,9.39047619047619
9,harmony,9.447619047619048
10,harmony,4.8
11,harmony,6.342857142857143
12,harmony,5.961904761904762
13,harmony,4.057142857142857
14,harmony,3.733333333333334
15,harmony,10.495238095238095
16,harmony,4.171428571428572
17,harmony,8.59047619047619
18,harmony,10.495238095238095
19,harmony,3.2952380952380955
20,harmony,6.457142857142857
21,harmony,2.571428571428571
22,harmony,5.885714285714286
23,harmony,8.285714285714285
24,harmony,8.60952380952381
25,harmony,6.647619047619048
26,harmony,77.88571428571429
27,harmony,5.2
0,drop,166.66666666666669
1,drop,166.66666666666669
2,drop,166.66666666666669
3,drop,166.66666666666669
4,drop,166.66666666666669
5,drop,166.66666666666669
6,drop,166.66666666666669
7,drop,166.66666666666669
8,drop,166.66666666666669
9,drop,166.66666666666669
10,drop,166.66666666666669
11,drop,166.66666666666669
12,drop,166.66666666666669
13,drop,166.66666666666669
14,drop,166.66666666666669
15,drop,166.66666666666669
16,drop,166.66666666666669
17,drop,166.66666666666669
18,drop,166.66666666666669
19,drop,166.66666666666669
20,drop,166.66666666666669
21,drop,166.66666666666669
22,drop,166.66666666666669
23,drop,166.66666666666669
24,drop,166.66666666666669
25,drop,166.66666666666669
26,drop,166.64973652466512
27,drop,166.66666666666669
0,even_split,0.2857142857142857
1,even_split,0.38095238095238093
2,even_split,0.3047619047619048
3,even_split,0.26666666666666666
4,even_split,0.3619047619047619
5,even_split,0.3238095238095238
6,even_split,0.2857142857142857
7,even_split,0.26666666666666666
8,even_split,0.3238095238095238
9,even_split,0.26666666666666666
10,even_split,0.3047619047619048
11,even_split,0.2857142857142857
12,even_split,0.3238095238095238
13,even_split,0.34285714285714286
14,even_split,0.3238095238095238
15,even_split,0.3047619047619048
16,even_split,0.34285714285714286
17,even_split,0.3047619047619048
18,even_split,0.38095238095238093
19,even_split,0.3047619047619048
20,even_split,0.3047619047619048
21,even_split,0.3047619047619048
22,even_split,0.3047619047619048
23,even_split,0.34285714285714286
24,even_split,0.26666666666666666
25,even_split,0.34285714285714286
26,even_split,0.3238095238095238
27,even_split,0.44999999999999996
