iteration,policy,imbalance
0,deepspeed_policy,26.805
1,deepspeed_policy,27.615833333333335
2,deepspeed_policy,26.666666666666668
3,deepspeed_policy,26.740000000000002
4,deepspeed_policy,27.269166666666667
5,deepspeed_policy,26.104166666666668
6,deepspeed_policy,26.9225
7,deepspeed_policy,26.884999999999998
8,deepspeed_policy,27.2225
9,deepspeed_policy,26.8625
10,deepspeed_policy,26.486666666666665
11,deepspeed_policy,26.81833333333333
12,deepspeed_policy,26.724999999999998
13,deepspeed_policy,27.484166666666667
14,deepspeed_policy,25.750833333333333
15,deepspeed_policy,26.64416666666667
16,deepspeed_policy,25.741666666666667
17,deepspeed_policy,25.645833333333336
18,deepspeed_policy,26.6175
19,deepspeed_policy,27.08
20,deepspeed_policy,25.843333333333334
21,deepspeed_policy,26.853333333333335
22,deepspeed_policy,25.971666666666664
23,deepspeed_policy,26.322499999999998
24,deepspeed_policy,27.075833333333332
25,deepspeed_policy,26.36
26,deepspeed_policy,26.247500000000002
27,deepspeed_policy,27.884166666666665
28,deepspeed_policy,26.47083333333333
29,deepspeed_policy,26.455833333333334
30,deepspeed_policy,26.309166666666666
31,deepspeed_policy,26.968333333333334
32,deepspeed_policy,25.73916666666667
33,deepspeed_policy,26.51
34,deepspeed_policy,27.58833333333333
35,deepspeed_policy,27.389166666666664
36,deepspeed_policy,26.583333333333332
37,deepspeed_policy,26.789166666666663
38,deepspeed_policy,26.424166666666665
39,deepspeed_policy,26.550833333333333
40,deepspeed_policy,26.458333333333332
41,deepspeed_policy,26.784999999999997
42,deepspeed_policy,26.875833333333333
43,deepspeed_policy,26.64166666666667
44,deepspeed_policy,26.564166666666665
45,deepspeed_policy,26.460833333333333
46,deepspeed_policy,27.118333333333332
47,deepspeed_policy,25.95916666666667
48,deepspeed_policy,27.20416666666667
49,deepspeed_policy,27.0225
50,deepspeed_policy,27.1
51,deepspeed_policy,26.9625
52,deepspeed_policy,27.195833333333336
53,deepspeed_policy,27.151666666666667
54,deepspeed_policy,26.203333333333333
55,deepspeed_policy,27.38083333333333
56,deepspeed_policy,26.925833333333333
57,deepspeed_policy,26.486666666666665
58,deepspeed_policy,27.848333333333336
59,deepspeed_policy,26.89666666666667
60,deepspeed_policy,26.48083333333333
61,deepspeed_policy,26.188333333333336
62,deepspeed_policy,26.521666666666665
63,deepspeed_policy,26.73333333333333
64,deepspeed_policy,27.134999999999998
65,deepspeed_policy,26.265833333333333
66,deepspeed_policy,26.2625
67,deepspeed_policy,25.765833333333333
0,harmony,0.0
1,harmony,0.0
2,harmony,0.0
3,harmony,0.0
4,harmony,0.0
5,harmony,0.0
6,harmony,0.0
7,harmony,0.013015873015873015
8,harmony,0.0
9,harmony,0.0
10,harmony,0.032063492063492065
11,harmony,0.0
12,harmony,0.0
13,harmony,0.0
14,harmony,0.0
15,harmony,0.0
16,harmony,0.0
17,harmony,0.0
18,harmony,0.0
19,harmony,0.0
20,harmony,0.0
21,harmony,0.0
22,harmony,0.0
23,harmony,0.0
24,harmony,0.0
25,harmony,0.0
26,harmony,0.0
27,harmony,0.0
0,drop,9.853606990874304
1,drop,9.91762284820987
2,drop,9.914218930805074
3,drop,9.817032621759635
4,drop,9.851212635330592
5,drop,9.813252106388125
6,drop,9.857821310150426
7,drop,9.75499809888664
8,drop,9.756958024932251
9,drop,9.859928591046415
10,drop,9.876214851601707
11,drop,9.837423179183192
12,drop,9.933062979430304
13,drop,9.728808732671448
14,drop,9.793061862726432
15,drop,9.855378881175278
16,drop,9.883736901705944
17,drop,9.88838479772688
18,drop,9.940976528910332
19,drop,9.91436275403521
20,drop,9.802055651341874
21,drop,9.81813332705801
22,drop,9.808514865981321
23,drop,9.951097940249431
24,drop,9.97878544142735
25,drop,9.93642010370669
26,drop,9.845035680021411
27,drop,9.879293018315504
0,even_split,0.13650793650793652
1,even_split,0.13999999999999999
2,even_split,0.1419047619047619
3,even_split,0.13841269841269843
4,even_split,0.1361904761904762
5,even_split,0.13904761904761906
6,even_split,0.1326984126984127
7,even_split,0.1380952380952381
8,even_split,0.1406349206349206
9,even_split,0.13587301587301587
10,even_split,0.13746031746031748
11,even_split,0.13714285714285715
12,even_split,0.13714285714285715
13,even_split,0.13682539682539682
14,even_split,0.1403174603174603
15,even_split,0.13873015873015873
16,even_split,0.13650793650793652
17,even_split,0.13904761904761906
18,even_split,0.13841269841269843
19,even_split,0.13841269841269843
20,even_split,0.1380952380952381
21,even_split,0.13777777777777778
22,even_split,0.13555555555555557
23,even_split,0.1361904761904762
24,even_split,0.13873015873015873
25,even_split,0.13841269841269843
26,even_split,0.13650793650793652
27,even_split,0.18208333333333335
