iteration,policy,imbalance
0,deepspeed_policy,383.9275
1,deepspeed_policy,385.88916666666665
2,deepspeed_policy,383.45666666666665
3,deepspeed_policy,383.385
4,deepspeed_policy,385.4258333333333
5,deepspeed_policy,384.295
6,deepspeed_policy,384.0775
7,deepspeed_policy,387.35
8,deepspeed_policy,385.9925
9,deepspeed_policy,387.32916666666665
10,deepspeed_policy,388.7708333333333
11,deepspeed_policy,387.5358333333333
12,deepspeed_policy,388.52750000000003
13,deepspeed_policy,387.09416666666664
14,deepspeed_policy,388.3066666666667
15,deepspeed_policy,386.97583333333336
16,deepspeed_policy,384.98333333333335
17,deepspeed_policy,388.71000000000004
18,deepspeed_policy,386.09916666666663
19,deepspeed_policy,386.005
20,deepspeed_policy,382.02416666666664
21,deepspeed_policy,384.86833333333334
22,deepspeed_policy,388.56083333333333
23,deepspeed_policy,386.27750000000003
24,deepspeed_policy,386.0391666666667
25,deepspeed_policy,385.31083333333333
26,deepspeed_policy,385.6516666666667
27,deepspeed_policy,387.55833333333334
28,deepspeed_policy,385.00166666666667
29,deepspeed_policy,385.73
30,deepspeed_policy,387.45
31,deepspeed_policy,387.0441666666667
32,deepspeed_policy,383.7583333333333
33,deepspeed_policy,388.0933333333333
34,deepspeed_policy,384.54333333333335
35,deepspeed_policy,385.4033333333333
36,deepspeed_policy,388.1141666666667
37,deepspeed_policy,384.16083333333336
38,deepspeed_policy,384.12666666666667
39,deepspeed_policy,385.73333333333335
40,deepspeed_policy,386.89166666666665
41,deepspeed_policy,387.4266666666667
42,deepspeed_policy,384.1925
43,deepspeed_policy,384.09333333333336
44,deepspeed_policy,386.07416666666666
45,deepspeed_policy,386.29083333333335
46,deepspeed_policy,387.4808333333333
47,deepspeed_policy,384.1191666666667
48,deepspeed_policy,386.4
49,deepspeed_policy,386.80833333333334
50,deepspeed_policy,384.72333333333336
51,deepspeed_policy,385.07416666666666
52,deepspeed_policy,386.80916666666667
53,deepspeed_policy,385.8908333333333
54,deepspeed_policy,385.16833333333335
55,deepspeed_policy,387.47416666666663
56,deepspeed_policy,384.0625
57,deepspeed_policy,386.18333333333334
58,deepspeed_policy,384.93916666666667
59,deepspeed_policy,388.57166666666666
60,deepspeed_policy,385.83
61,deepspeed_policy,383.9558333333333
62,deepspeed_policy,384.36499999999995
63,deepspeed_policy,386.3933333333333
64,deepspeed_policy,386.28
65,deepspeed_policy,382.73
66,deepspeed_policy,386.3375
67,deepspeed_policy,385.2708333333333
0,harmony,0.0
1,harmony,0.0
2,harmony,0.0
3,harmony,0.0
4,harmony,0.0
5,harmony,0.0
6,harmony,0.0
7,harmony,0.0
8,harmony,0.0
9,harmony,0.0
10,harmony,0.0
11,harmony,0.0
12,harmony,0.0
13,harmony,0.0
14,harmony,0.0
15,harmony,0.0
16,harmony,0.0
17,harmony,0.0
18,harmony,0.0
19,harmony,0.0
20,harmony,0.0
21,harmony,0.0
22,harmony,0.0
23,harmony,0.0
24,harmony,0.0
25,harmony,0.0
26,harmony,0.0
27,harmony,0.0
0,drop,92.6185808138135
1,drop,92.38991021804189
2,drop,93.72619262687336
3,drop,92.67675416128269
4,drop,92.46029169953893
5,drop,93.50320662456693
6,drop,93.89015199602987
7,drop,93.29778290511227
8,drop,93.78131163802881
9,drop,92.92663581882046
10,drop,93.40177607297694
11,drop,93.30460356447551
12,drop,93.51539138487908
13,drop,93.37446889164967
14,drop,93.64208487978054
15,drop,93.36423068659649
16,drop,92.53763843418001
17,drop,93.44987920897422
18,drop,92.94273658646016
19,drop,93.5091502183889
20,drop,93.13186307870583
21,drop,92.63139066104672
22,drop,93.5177690780107
23,drop,93.50885303002613
24,drop,93.1487383248486
25,drop,92.3865320266318
26,drop,92.59782364459281
27,drop,92.93438120819127
0,even_split,0.13523809523809524
1,even_split,0.13428571428571429
2,even_split,0.133968253968254
3,even_split,0.1346031746031746
4,even_split,0.13682539682539682
5,even_split,0.13746031746031748
6,even_split,0.14126984126984127
7,even_split,0.14126984126984127
8,even_split,0.1438095238095238
9,even_split,0.1380952380952381
10,even_split,0.13682539682539682
11,even_split,0.13492063492063494
12,even_split,0.1346031746031746
13,even_split,0.13047619047619047
14,even_split,0.13492063492063494
15,even_split,0.13714285714285715
16,even_split,0.1380952380952381
17,even_split,0.1361904761904762
18,even_split,0.13015873015873017
19,even_split,0.13841269841269843
20,even_split,0.13174603174603175
21,even_split,0.13587301587301587
22,even_split,0.13777777777777778
23,even_split,0.1307936507936508
24,even_split,0.13650793650793652
25,even_split,0.1406349206349206
26,even_split,0.13365079365079366
27,even_split,0.18208333333333335
