,policy,dataset,latency (ms)
0,deepspeed_policy,bookcorpus,0.03964691588457893
1,deepspeed_policy,random,0.029702114021076878
2,deepspeed_policy,wikitext,0.03497303331599516
3,deepspeed_policy,wmt19,0.030599604718825398
4,harmony,bookcorpus,0.016934487063868516
5,harmony,random,0.019986090679557957
6,harmony,wikitext,0.01854136600624136
7,harmony,wmt19,0.015396181327145117
8,drop,bookcorpus,0.015811618882782607
9,drop,random,0.013622181639379383
10,drop,wikitext,0.016120232874033403
11,drop,wmt19,0.013771476382300966
12,even_split,bookcorpus,0.048628861407844386
13,even_split,random,0.04278391810825893
14,even_split,wikitext,0.0424384884996479
15,even_split,wmt19,0.04404009459618808
