,policy,dataset,avg_gpu_util,avg_gpu_mem_used,cpu_util,cpu_mem_used
0,deepspeed_policy,bookcorpus,67.39903846153847,19238308732.71795,11.741346153846154,76517041558.97437
1,harmony,bookcorpus,65.64380530973452,32468257474.83186,11.895132743362833,76697432190.86726
2,drop,bookcorpus,66.53858695652174,32346022814.052174,11.773478260869565,76684611993.6
3,even_split,bookcorpus,66.78756009615384,32489098948.923077,11.044951923076923,77256404224.0
4,deepspeed_policy,random,82.13839285714286,21823825978.514286,11.7875,76679332308.11429
5,harmony,random,83.96357142857143,32352197298.46857,12.35542857142857,76571012909.34857
6,drop,random,86.38991477272727,32348544279.272728,12.20852272727273,76470235159.27272
7,even_split,random,73.40888554216868,32527821614.26506,11.427409638554217,76833377921.54218
8,deepspeed_policy,wikitext,62.47392857142857,21306401844.662857,11.482,76709807238.58286
9,harmony,wikitext,59.64365671641791,32351379822.80597,11.688059701492538,76537153490.14925
10,drop,wikitext,58.87019230769231,32349274364.06154,11.596538461538461,76575692784.24615
11,even_split,wikitext,61.891018306636155,32517987358.462242,11.069107551487415,76731936936.71396
12,deepspeed_policy,wmt19,64.51402243589743,18076344530.05128,11.72371794871795,76825023225.4359
13,harmony,wmt19,62.23392116182573,32349766379.81743,11.776763485477177,76796004666.42323
14,drop,wmt19,62.0503112033195,32347440803.585064,11.71286307053942,76612408536.6971
15,even_split,wmt19,63.8923031026253,32507206604.677803,11.048448687350838,77157826315.6086
