,policy,seconds,avg_gpu_util,avg_gpu_mem_used,cpu_util,cpu_mem_used
0,deepspeed_policy,0.0,1.75,18966183936.0,13.5,76491128832
1,deepspeed_policy,1.003953218460083,65.625,18966183936.0,10.4,76489433088
2,deepspeed_policy,2.00771164894104,76.125,18966183936.0,11.2,76490330112
3,deepspeed_policy,3.0162570476531982,75.875,18966183936.0,12.0,76488101888
4,deepspeed_policy,4.102831840515137,86.5,18966183936.0,11.6,76487327744
5,deepspeed_policy,5.10816216468811,30.125,18966183936.0,11.7,76487843840
6,deepspeed_policy,6.111835479736328,88.5,18966183936.0,10.6,76496875520
7,deepspeed_policy,7.145760774612427,77.125,18966183936.0,12.3,76509003776
8,deepspeed_policy,8.18335223197937,78.25,18966183936.0,12.6,76499365888
9,deepspeed_policy,9.19039249420166,62.75,19431227392.0,11.8,76501344256
10,deepspeed_policy,10.197673797607422,0.0,19431227392.0,11.0,76497592320
11,deepspeed_policy,11.202281713485718,93.375,19431227392.0,12.2,76500664320
12,deepspeed_policy,12.224981784820557,88.125,19431227392.0,12.1,76498272256
13,deepspeed_policy,13.228790760040283,100.0,18262589440.0,11.0,76498272256
14,deepspeed_policy,14.232280015945435,63.25,18264424448.0,11.4,76496289792
15,deepspeed_policy,15.243870258331299,0.0,18264424448.0,11.5,76493307904
16,deepspeed_policy,16.24770164489746,88.75,18265210880.0,11.2,76494999552
17,deepspeed_policy,17.330330848693848,93.625,18265473024.0,12.0,76494413824
18,deepspeed_policy,18.380834102630615,91.125,18265735168.0,11.8,76503416832
19,deepspeed_policy,19.44510579109192,63.875,18265735168.0,12.4,76490170368
20,deepspeed_policy,20.451984643936157,1.75,18265735168.0,10.4,76490010624
21,deepspeed_policy,21.456708669662476,71.0,18265735168.0,12.0,76489494528
22,deepspeed_policy,22.469568967819214,74.125,18265997312.0,12.0,76489752576
23,deepspeed_policy,23.473082780838013,95.125,18265997312.0,11.6,76491300864
24,deepspeed_policy,24.47658085823059,59.375,18265997312.0,11.6,76490858496
25,deepspeed_policy,25.48011612892151,51.625,18265997312.0,10.4,76493660160
26,deepspeed_policy,26.495669841766357,89.125,18265997312.0,12.2,76493672448
