,policy,seconds,avg_gpu_util,avg_gpu_mem_used,cpu_util,cpu_mem_used
0,deepspeed_policy,0.0,52.75,18026659840.0,13.6,76584030208
1,deepspeed_policy,1.0038962364196777,0.0,18026659840.0,10.1,76797067264
2,deepspeed_policy,2.00838303565979,75.25,18026659840.0,11.8,76798271488
3,deepspeed_policy,3.0251312255859375,89.375,18026659840.0,12.2,76797464576
4,deepspeed_policy,4.082133054733276,76.5,18026659840.0,11.4,76797190144
5,deepspeed_policy,5.094836235046387,3.0,18026659840.0,11.8,76795490304
6,deepspeed_policy,6.098589658737183,59.375,18026659840.0,10.4,76802715648
7,deepspeed_policy,7.102809429168701,90.75,18026659840.0,12.3,76802973696
8,deepspeed_policy,8.107893943786621,75.0,18026659840.0,12.1,76802199552
9,deepspeed_policy,9.157141208648682,70.0,18026659840.0,11.5,76801425408
10,deepspeed_policy,10.163173913955688,0.0,18026659840.0,11.1,76801429504
11,deepspeed_policy,11.166870355606079,78.125,18026659840.0,11.0,76802977792
12,deepspeed_policy,12.170030355453491,89.375,18026659840.0,12.4,76802629632
13,deepspeed_policy,13.255168914794922,100.0,18026659840.0,11.6,76801339392
14,deepspeed_policy,14.261905670166016,63.875,18026659840.0,12.0,76801015808
15,deepspeed_policy,15.268460273742676,0.0,18026659840.0,11.2,76794998784
16,deepspeed_policy,16.272231101989746,90.0,18026659840.0,11.6,76797333504
17,deepspeed_policy,17.28612184524536,79.25,18026659840.0,12.4,76798115840
18,deepspeed_policy,18.36119794845581,96.25,18026659840.0,11.5,76799909888
19,deepspeed_policy,19.407854080200195,39.125,18026659840.0,11.8,76799352832
20,deepspeed_policy,20.411583185195923,2.75,18026659840.0,10.5,76806283264
21,deepspeed_policy,21.415404796600342,89.125,18026659840.0,12.5,76805156864
22,deepspeed_policy,22.458348989486694,92.125,17228169216.0,12.2,76805582848
23,deepspeed_policy,23.585779190063477,96.25,18030067712.0,10.4,76805230592
24,deepspeed_policy,24.620941400527954,38.625,18031640576.0,12.0,76803952640
25,deepspeed_policy,25.62471079826355,3.25,18031640576.0,10.5,76806787072
26,deepspeed_policy,26.62954020500183,89.125,18031640576.0,12.6,76808372224
27,deepspeed_policy,27.665321350097656,92.5,18032164864.0,12.3,76807028736
28,deepspeed_policy,28.705676794052124,79.0,18032427008.0,11.7,76806656000
29,deepspeed_policy,29.71627926826477,0.0,18032427008.0,11.9,76806914048
30,deepspeed_policy,30.736486673355103,88.75,18032427008.0,10.8,76807147520
31,deepspeed_policy,31.752864122390747,74.75,18032427008.0,12.6,76806787072
32,deepspeed_policy,32.806527614593506,93.25,18032689152.0,12.0,76806782976
33,deepspeed_policy,33.809895038604736,62.125,18032689152.0,11.7,76805353472
34,deepspeed_policy,34.82189202308655,0.0,18032689152.0,11.1,76804280320
35,deepspeed_policy,35.82571029663086,83.625,18032689152.0,11.5,76824670208
36,deepspeed_policy,36.83665347099304,90.125,18032689152.0,12.4,76798582784
37,deepspeed_policy,37.845749855041504,100.0,18037145600.0,11.0,76798259200
38,deepspeed_policy,38.8492066860199,89.125,18039242752.0,11.0,76798218240
39,deepspeed_policy,39.86019158363342,0.0,18039242752.0,11.2,76798210048
40,deepspeed_policy,40.86390519142151,79.625,18039242752.0,10.9,76798468096
41,deepspeed_policy,41.95841360092163,87.75,18039504896.0,12.4,76799471616
42,deepspeed_policy,42.98128962516785,99.75,18040029184.0,11.8,76798652416
43,deepspeed_policy,43.98549127578735,66.625,18040029184.0,11.7,76798136320
44,deepspeed_policy,45.02528476715088,0.0,18086166528.0,10.7,76797534208
45,deepspeed_policy,46.02902793884277,93.625,18086166528.0,11.4,76798038016
46,deepspeed_policy,47.04871463775635,82.875,18086166528.0,12.7,76802969600
47,deepspeed_policy,48.05562400817871,90.0,18086166528.0,11.7,76803694592
48,deepspeed_policy,49.08944368362427,56.0,18086166528.0,12.4,76806660096
49,deepspeed_policy,50.1231427192688,0.0,18086166528.0,10.7,76808404992
50,deepspeed_policy,51.12685799598694,77.0,18086166528.0,12.1,76809039872
51,deepspeed_policy,52.131773710250854,89.875,18086166528.0,12.4,76808265728
52,deepspeed_policy,53.16235017776489,81.75,18086428672.0,11.5,76808212480
53,deepspeed_policy,54.251850605010986,1.375,18086428672.0,11.7,76807610368
54,deepspeed_policy,55.255489110946655,92.875,18086428672.0,10.7,76806483968
55,deepspeed_policy,56.31816744804382,80.125,18086428672.0,12.2,76805500928
56,deepspeed_policy,57.43466401100159,97.0,18086428672.0,12.5,76800839680
57,deepspeed_policy,58.43750619888306,67.75,18086428672.0,11.7,76800557056
58,deepspeed_policy,59.47062635421753,0.0,18086428672.0,10.8,76800548864
59,deepspeed_policy,60.47439622879028,89.25,18086428672.0,11.3,76800290816
60,deepspeed_policy,61.50081133842468,95.5,18086428672.0,12.5,76801028096
61,deepspeed_policy,62.57678461074829,97.125,18086428672.0,11.5,76801003520
62,deepspeed_policy,63.600841999053955,61.375,18086428672.0,12.2,76800692224
63,deepspeed_policy,64.60427618026733,0.0,18086428672.0,10.4,76805779456
64,deepspeed_policy,65.60804891586304,85.25,18086428672.0,11.5,76806000640
65,deepspeed_policy,66.6118278503418,89.875,18086428672.0,12.7,76810883072
66,deepspeed_policy,67.61670160293579,100.0,18086428672.0,12.3,76816994304
67,deepspeed_policy,68.62029004096985,62.0,18086428672.0,12.2,76816588800
68,deepspeed_policy,69.6542739868164,0.0,18086428672.0,10.4,76820426752
69,deepspeed_policy,70.66166973114014,80.75,18086428672.0,11.1,76823097344
70,deepspeed_policy,71.68704199790955,90.75,18086428672.0,12.4,76823326720
71,deepspeed_policy,72.71647810935974,100.0,18086428672.0,11.9,76823138304
72,deepspeed_policy,73.72000503540039,74.625,18086428672.0,11.6,76829847552
73,deepspeed_policy,74.72380185127258,0.0,18086428672.0,11.1,76829118464
74,deepspeed_policy,75.72752451896667,81.125,18086428672.0,10.9,76828594176
75,deepspeed_policy,76.74992370605469,87.0,18086428672.0,12.2,76828852224
76,deepspeed_policy,77.78038477897644,99.5,18086428672.0,12.2,76846649344
77,deepspeed_policy,78.78821301460266,56.25,18086428672.0,12.3,76826427392
78,deepspeed_policy,79.85780692100525,0.0,18086428672.0,10.9,76827140096
79,deepspeed_policy,80.8615095615387,90.875,18086428672.0,12.2,76831813632
80,deepspeed_policy,81.89791893959045,80.375,18086428672.0,12.6,76832317440
81,deepspeed_policy,82.95381879806519,94.125,18086428672.0,11.6,76832055296
82,deepspeed_policy,83.99952220916748,41.875,18086428672.0,12.0,76831281152
83,deepspeed_policy,85.00320434570312,6.125,18086428672.0,10.2,76831281152
84,deepspeed_policy,86.01012635231018,89.375,18086428672.0,12.2,76829728768
85,deepspeed_policy,87.06173491477966,95.625,18086428672.0,12.4,76829728768
86,deepspeed_policy,88.06513619422913,77.0,18086428672.0,11.5,76829470720
87,deepspeed_policy,89.06865859031677,0.0,18086428672.0,12.0,76832477184
88,deepspeed_policy,90.07241797447205,92.875,18086428672.0,10.6,76832477184
89,deepspeed_policy,91.07764530181885,79.5,18086428672.0,12.2,76832477184
90,deepspeed_policy,92.08156895637512,72.75,18086428672.0,12.3,76833243136
91,deepspeed_policy,93.08496689796448,66.5,18086428672.0,11.7,76832985088
92,deepspeed_policy,94.0886971950531,0.0,18086428672.0,11.1,76833214464
93,deepspeed_policy,95.09248423576355,79.75,18086428672.0,11.1,76832956416
94,deepspeed_policy,96.10956907272339,89.75,18086428672.0,12.4,76832956416
95,deepspeed_policy,97.13031935691833,100.0,18086428672.0,11.9,76832882688
96,deepspeed_policy,98.13384103775024,61.875,18086428672.0,11.9,76833136640
97,deepspeed_policy,99.13721966743469,0.0,18086428672.0,11.3,76835876864
98,deepspeed_policy,100.14102411270142,93.5,18086428672.0,11.8,76835717120
99,deepspeed_policy,101.14519500732422,86.75,18086428672.0,12.3,76835708928
100,deepspeed_policy,102.19884705543518,90.625,18086428672.0,12.1,76845330432
101,deepspeed_policy,103.23581719398499,54.75,18086428672.0,12.1,76845330432
102,deepspeed_policy,104.27175879478455,3.5,18086428672.0,10.2,76845064192
103,deepspeed_policy,105.28908276557922,89.125,18086428672.0,12.0,76844806144
104,deepspeed_policy,106.36401534080505,94.25,18086428672.0,12.1,76844548096
105,deepspeed_policy,107.3763496875763,77.375,18086428672.0,11.5,76843515904
106,deepspeed_policy,108.40067481994629,0.0,18086428672.0,11.3,76842999808
107,deepspeed_policy,109.4044246673584,91.125,18086428672.0,11.2,76832182272
108,deepspeed_policy,110.41926670074463,78.625,18086428672.0,12.7,76834619392
109,deepspeed_policy,111.46495127677917,79.0,18086428672.0,12.1,76837527552
110,deepspeed_policy,112.46846151351929,58.375,18086428672.0,11.8,76837756928
111,deepspeed_policy,113.50651717185974,0.0,18086428672.0,11.3,76837425152
112,deepspeed_policy,114.50950169563293,83.375,18086428672.0,11.2,76837494784
113,deepspeed_policy,115.51305913925171,90.375,18086428672.0,12.2,76838010880
114,deepspeed_policy,116.52303194999695,100.0,18086428672.0,11.8,76837494784
115,deepspeed_policy,117.52648305892944,63.0,18086428672.0,11.9,76836245504
116,deepspeed_policy,118.54864525794983,0.0,18086428672.0,10.6,76835987456
117,deepspeed_policy,119.55237007141113,95.25,18086428672.0,11.6,76836761600
118,deepspeed_policy,120.60427665710449,77.125,18086428672.0,12.6,76833251328
119,deepspeed_policy,121.61843299865723,91.0,18086428672.0,11.5,76833509376
120,deepspeed_policy,122.62304949760437,61.0,18086428672.0,12.1,76831174656
121,deepspeed_policy,123.62660908699036,0.0,18086428672.0,10.3,76831158272
122,deepspeed_policy,124.6303346157074,77.875,18086428672.0,12.1,76831932416
123,deepspeed_policy,125.63389229774475,89.75,18086428672.0,12.2,76831416320
124,deepspeed_policy,126.71786379814148,80.0,18086428672.0,11.6,76830900224
125,deepspeed_policy,127.76982021331787,0.0,18086428672.0,11.6,76830375936
126,deepspeed_policy,128.78558540344238,91.375,18086428672.0,10.7,76830109696
127,deepspeed_policy,129.82132601737976,74.5,18086428672.0,12.1,76829851648
128,deepspeed_policy,130.87972235679626,88.75,18086690816.0,12.5,76830986240
129,deepspeed_policy,131.88902711868286,63.5,18086690816.0,12.1,76830871552
130,deepspeed_policy,132.9587550163269,0.0,18086690816.0,11.0,76829802496
131,deepspeed_policy,133.96249175071716,88.875,18086690816.0,11.6,76829868032
132,deepspeed_policy,135.00936460494995,93.625,18086690816.0,12.4,76831121408
133,deepspeed_policy,136.08266425132751,93.5,18086690816.0,12.0,76831113216
134,deepspeed_policy,137.15654516220093,58.375,18086690816.0,12.1,76832579584
135,deepspeed_policy,138.17456793785095,0.0,18086690816.0,10.4,76830945280
136,deepspeed_policy,139.17836022377014,80.25,18086690816.0,12.1,76823461888
137,deepspeed_policy,140.18235754966736,88.625,18086690816.0,12.3,76823826432
138,deepspeed_policy,141.18876481056213,81.875,18086690816.0,12.2,76823257088
139,deepspeed_policy,142.19899606704712,14.75,18086690816.0,12.1,76823257088
140,deepspeed_policy,143.20203709602356,42.625,18086690816.0,10.6,76824494080
141,deepspeed_policy,144.2539927959442,93.75,18086690816.0,12.5,76825890816
142,deepspeed_policy,145.27999877929688,81.25,18086690816.0,12.4,76824453120
143,deepspeed_policy,146.29707050323486,91.125,18086690816.0,11.6,76823678976
144,deepspeed_policy,147.30278038978577,0.0,18086690816.0,11.4,76823420928
145,deepspeed_policy,148.3078408241272,84.25,18086690816.0,10.8,76822626304
146,deepspeed_policy,149.31104350090027,73.5,18086690816.0,12.3,76822360064
147,deepspeed_policy,150.3239369392395,95.0,18086690816.0,12.0,76822618112
148,deepspeed_policy,151.32703161239624,57.875,18086690816.0,12.0,76847636480
149,deepspeed_policy,152.36570692062378,0.0,18086690816.0,11.1,76826275840
150,deepspeed_policy,153.3699562549591,88.5,18086690816.0,11.4,76826206208
151,deepspeed_policy,154.37861514091492,92.25,18086690816.0,12.3,76825948160
152,deepspeed_policy,155.38508248329163,99.75,18086690816.0,11.6,76825690112
153,deepspeed_policy,156.3939368724823,67.875,18086690816.0,12.1,76824973312
154,deepspeed_policy,157.43552041053772,0.0,18086690816.0,10.7,76824014848
155,deepspeed_policy,158.4528570175171,94.0,18086690816.0,10.7,76831145984
156,deepspeed_policy,159.45677781105042,76.25,18086690816.0,12.2,76831145984
157,deepspeed_policy,160.51762557029724,86.5,18086690816.0,12.1,76831145984
158,deepspeed_policy,161.5210418701172,66.25,18086690816.0,11.6,76831404032
159,deepspeed_policy,162.52882480621338,0.0,18086690816.0,11.9,76826603520
160,deepspeed_policy,163.53316450119019,80.125,18086690816.0,11.2,76826472448
161,deepspeed_policy,164.55825638771057,90.25,18086690816.0,12.3,76826472448
162,deepspeed_policy,165.57883310317993,100.0,18086690816.0,11.8,76826730496
163,deepspeed_policy,166.58217906951904,62.375,18086690816.0,12.0,76826472448
164,deepspeed_policy,167.58560371398926,0.0,18086690816.0,10.8,76825858048
165,deepspeed_policy,168.60857510566711,92.875,18086690816.0,11.6,76826116096
166,deepspeed_policy,169.62673568725586,84.375,18086690816.0,12.6,76826791936
167,deepspeed_policy,170.6496284008026,90.375,18086952960.0,11.8,76826021888
168,deepspeed_policy,171.67472887039185,55.5,18086952960.0,12.5,76831330304
169,deepspeed_policy,172.68549799919128,0.0,18086952960.0,11.1,76823318528
170,deepspeed_policy,173.68918108940125,76.125,18086952960.0,12.0,76823773184
171,deepspeed_policy,174.69963002204895,89.75,18086952960.0,12.3,76824530944
172,deepspeed_policy,175.71739888191223,89.375,18086952960.0,11.7,76825452544
173,deepspeed_policy,176.72255301475525,21.125,18086952960.0,12.1,76826468352
174,deepspeed_policy,177.72635889053345,48.25,18086952960.0,10.7,76827164672
175,deepspeed_policy,178.77243423461914,91.375,18086952960.0,12.3,76826624000
176,deepspeed_policy,179.7778069972992,82.875,18086952960.0,12.1,76826624000
177,deepspeed_policy,180.78169465065002,86.25,18086952960.0,11.5,76826624000
178,deepspeed_policy,181.78513026237488,0.0,18086952960.0,11.3,76826624000
179,deepspeed_policy,182.7888765335083,86.5,18086952960.0,11.1,76842106880
180,deepspeed_policy,183.7940514087677,82.25,18086952960.0,12.4,76828409856
181,deepspeed_policy,184.84524941444397,98.0,18086952960.0,12.0,76828409856
