,dataset,iteration,layer_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,bookcorpus,0,0,555,2248,1219,4864,4060,3,1544,914,1443,5872,1739,1960,777,85,243,446,4273,972,2060,1144,2308,188,111,1905,524,8663,1389,424,1438,117,269,2666,1987,292,1690,286,1115,542,2505,5491,1341,1791,317,1292,852,170,3147,1035,2981,1024,5352,1347,918,1133,999,1422,285,410,984,1173
1,bookcorpus,1,0,359,2403,1815,5490,3680,1,926,861,1368,5425,1436,2296,465,214,292,582,3976,1027,2053,1042,2353,577,208,1509,468,9238,1802,647,1534,309,463,2308,1944,251,1999,184,947,437,2088,5413,1375,2004,317,1547,1071,154,2326,1173,3551,934,5058,972,1119,1287,1112,1225,345,519,933,892
2,bookcorpus,2,0,541,2102,988,5436,3909,8,996,971,896,5837,1418,2535,724,43,201,679,4262,789,2201,1106,2416,391,121,1602,390,9574,1069,415,1471,61,394,2119,2690,466,1514,184,983,410,2448,5680,1552,2219,278,1431,823,140,2527,986,3305,972,5684,654,972,1294,1376,1374,220,661,733,1063
3,bookcorpus,3,0,520,2300,1359,5098,3859,5,1192,613,1657,5736,1479,2310,604,85,226,896,4213,828,1851,936,2396,821,106,2000,307,8762,1476,465,1758,89,380,2341,1261,370,2283,235,854,546,2570,5284,1580,1452,298,1445,899,149,2713,791,3388,893,5549,1204,1317,1414,1699,1095,216,354,850,927
4,bookcorpus,4,0,417,2680,1228,5254,4261,2,927,836,978,6106,1596,2144,533,38,708,718,4414,1077,1881,1121,2481,712,41,1422,247,9783,1224,515,1692,79,280,2219,2301,385,1941,99,863,430,2289,5351,1324,1552,243,1487,827,140,2650,958,3369,993,5500,485,1289,1060,1398,1296,126,617,848,869
5,bookcorpus,5,0,459,2026,1213,5408,3654,9,1077,868,1133,6052,1692,2662,474,128,231,737,4437,848,2137,1068,1987,399,54,2106,258,9739,1453,276,1746,58,286,2744,1797,232,1461,137,940,385,2610,5527,1082,1658,280,1489,1113,146,2653,1123,3345,1047,6051,753,1221,1086,1236,1143,174,601,736,859
6,bookcorpus,6,0,633,2345,1287,5951,3214,8,811,426,1298,6061,1936,2248,588,59,243,681,4536,899,1931,1181,2255,634,238,1803,472,9671,1201,472,1918,82,438,2120,2040,405,1902,112,711,395,2078,5125,1480,2021,343,1334,1323,99,2327,913,3353,919,5859,728,989,1090,1313,1321,270,521,853,840
7,bookcorpus,7,0,704,1970,1462,5344,3948,4,1118,685,1266,5611,1564,2916,426,94,262,536,4095,814,2010,1186,2021,410,76,1780,536,8976,2348,499,1770,125,435,2744,2340,288,2352,203,812,432,2043,4906,1562,2091,297,1358,982,167,2624,801,3355,641,5314,519,1275,1128,1002,1247,231,766,872,961
8,bookcorpus,8,0,507,2112,1330,4948,4554,13,1139,813,1504,5755,1433,2516,382,100,383,718,3925,772,2198,921,2165,453,58,1263,433,8472,1900,348,1714,113,467,2076,1895,340,2017,69,1080,521,2765,5716,1486,2112,239,1234,915,116,2857,1201,3366,634,5224,906,1015,1398,1466,1203,221,775,1117,931
9,bookcorpus,9,0,481,2230,1284,5464,3544,4,1150,768,985,5831,1721,2648,553,34,216,716,4220,427,1763,1451,1794,565,180,1887,355,9035,1630,487,1745,137,649,2450,2261,303,1942,117,898,326,2358,5115,1363,1906,277,1431,930,123,2674,788,3511,862,5975,1008,1369,1422,1201,1403,185,522,708,922
10,bookcorpus,10,0,468,2200,1076,4846,3494,2,939,678,1220,5588,1195,2723,447,91,459,710,4192,784,1850,1165,2333,609,117,1852,443,9085,2011,371,2275,135,454,2400,2096,264,2076,257,910,503,2152,5571,1057,2169,266,1193,725,135,2697,1192,3257,797,5498,830,1502,1287,1453,1597,212,495,973,928
11,bookcorpus,11,0,534,2351,1011,5111,3202,3,826,696,1323,5700,1657,3188,371,124,183,646,4162,906,1876,1160,1986,373,225,1697,567,9688,2077,629,1658,281,322,2451,2346,353,1972,225,912,443,1954,5229,1659,2149,294,1253,1093,147,2371,1058,3417,558,5476,781,1204,943,2074,1195,83,614,692,825
12,bookcorpus,12,0,622,2213,1410,5972,4007,2,1173,793,1374,5977,1822,2493,523,47,320,660,4203,759,2082,1195,1956,389,94,1385,243,8568,1522,251,1632,97,158,1989,2010,414,2123,156,837,488,2008,5308,2057,2024,300,1422,956,145,2492,1006,3469,835,5511,437,1394,1611,1540,1497,117,521,834,861
13,bookcorpus,13,0,341,2301,1164,5545,3685,3,927,891,1068,5953,1467,2874,547,68,128,538,4420,1121,1903,1199,2060,612,114,1663,208,9995,1649,580,1794,46,445,1607,1964,386,2159,508,901,467,2145,5101,1299,1900,258,1342,870,100,2316,915,3515,890,5371,939,1155,1373,1255,1578,224,724,844,889
14,bookcorpus,14,0,566,2274,1364,5248,3422,2,1124,869,1162,5909,1800,2509,317,68,272,873,4226,598,1901,1268,1928,843,109,1759,496,9117,1695,321,1754,164,459,2278,2195,509,2184,280,865,471,2416,5151,1592,1949,277,1504,732,123,2513,754,3436,853,5858,865,940,1068,1082,1197,198,600,954,1043
15,bookcorpus,15,0,327,2253,1235,5133,4039,0,1212,907,847,6181,1212,3406,474,216,414,615,4356,985,2070,1158,2084,474,186,1605,596,8641,1143,417,1957,120,165,2663,1879,326,1722,96,1015,344,2206,5027,1201,1994,313,1434,687,147,2991,883,3620,793,5809,835,1180,1486,742,1686,216,439,1233,909
16,bookcorpus,16,0,270,1905,1702,4696,4539,6,1189,1024,1141,5632,1673,2487,263,92,380,667,4164,884,2159,1215,1789,512,225,2031,285,8555,1880,312,2256,110,188,2147,3002,342,2253,125,821,411,2553,5407,1862,1927,236,1314,585,103,2294,1051,3242,649,5048,968,1111,1078,1257,1525,173,506,960,1123
17,bookcorpus,17,0,433,2301,1440,5569,3919,1,1115,752,1746,6103,1787,1904,177,99,644,580,4371,901,1864,1272,1821,244,171,1755,310,9376,1694,426,2070,348,285,2825,1956,182,1524,234,851,488,2165,5553,1494,1487,314,1413,984,136,3058,695,3497,417,5936,593,1287,1255,1130,889,226,736,615,886
18,bookcorpus,18,0,269,2029,1977,5222,4586,3,996,663,1235,5596,1738,2454,467,133,454,617,3686,1214,1717,1096,1812,648,162,1291,474,8596,1603,547,1902,225,249,2742,2571,281,2233,160,1142,445,2000,5586,1232,1830,309,1393,780,140,2866,1001,3365,744,5400,872,1080,1104,1255,1428,244,690,804,946
19,bookcorpus,19,0,350,2324,1324,5542,3452,1,1080,1175,1180,5832,1394,2491,372,19,590,570,4325,739,1876,1165,2419,367,55,1425,580,9301,1681,523,2080,81,346,2664,2369,390,1739,131,1160,456,2569,5310,1375,1795,319,1320,781,153,2601,888,3203,647,5638,1099,857,1264,1090,1092,290,577,1018,850
20,bookcorpus,0,1,1644,1119,112,2602,4171,598,1835,730,1566,1057,1370,1278,216,6912,3443,305,3092,870,4360,1056,303,1318,2141,1552,1122,918,2128,478,986,96,3936,2063,745,2327,770,3200,2186,16,97,499,934,5247,1357,108,2138,1641,478,1161,7304,323,353,1977,1637,3056,346,1633,832,53,1458,1051
21,bookcorpus,1,1,1711,1365,152,3313,4103,760,1733,537,2442,1162,570,2070,194,6654,3290,268,2529,834,4415,1163,469,912,1712,1990,827,899,2230,416,1009,113,3381,2702,877,2355,1323,2969,1826,23,85,602,1252,5093,1375,104,2553,1628,578,1315,5635,479,228,2179,1706,3514,397,1780,312,59,1215,917
22,bookcorpus,2,1,1176,735,113,3236,4738,660,2116,491,2193,1432,1116,1251,166,7251,3732,141,2389,935,4848,1218,330,529,1795,1314,1369,772,1859,322,1033,79,4433,2842,969,1871,844,3061,1852,35,110,394,1098,5005,1509,55,2280,1523,438,900,6093,434,353,2276,1689,3724,405,1910,537,52,1109,1164
23,bookcorpus,3,1,2165,1451,94,3274,4249,676,2017,596,2068,1184,1018,1219,209,6959,3421,158,2583,963,4114,1074,304,1038,1724,2039,1350,529,2570,388,1046,98,4018,2267,780,1974,985,3046,1912,36,74,665,1133,4869,1502,52,2265,1647,736,1024,6269,274,207,2122,1515,3219,397,1632,521,34,1202,1349
24,bookcorpus,4,1,1099,1343,212,3585,4508,617,2003,493,1649,1111,783,1549,205,7089,3495,226,2554,1105,5337,1253,400,426,2071,1719,971,794,2057,387,875,70,3736,2757,1058,2172,845,3370,1587,48,82,426,1114,5295,1783,93,2099,1584,583,1031,5525,398,242,2260,1707,3871,366,1608,470,71,1101,1036
25,bookcorpus,5,1,1557,643,59,3222,4560,767,2116,285,1761,1494,1147,1236,231,7200,3623,367,3061,934,4652,1172,245,730,1932,1610,1153,934,2425,448,854,59,3304,3237,1242,1870,714,3017,1351,13,179,530,1238,5158,1810,108,2320,1338,464,967,6185,506,230,2202,1770,3474,245,1782,617,29,1051,876
26,bookcorpus,6,1,1670,906,98,3563,4790,976,2100,797,2436,1193,946,1349,157,7398,3495,165,2373,1024,4357,1206,402,829,1839,2093,1137,932,2082,331,1521,107,3331,2379,1012,2083,784,3120,1527,39,76,319,1271,5441,1637,110,2297,1366,565,1139,5109,322,372,2399,1070,3489,513,1733,217,37,1167,1108
27,bookcorpus,7,1,1461,662,54,3276,3923,837,1820,676,1615,1243,800,1478,205,6400,3190,209,3138,982,4547,910,332,460,1858,2248,1499,900,2584,417,1034,49,3422,2979,827,2204,1334,2662,2125,2,140,281,1314,4983,1830,72,1722,2203,724,1720,5617,454,359,2202,1431,3871,233,1517,527,54,1404,1284
