,router_skew,iteration,layer_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,0.0,0,0,0,4408,4368,4136,4432,4016,4080,4296,3960,4048,3896,4192,4008,4200,4224,4032,3720,4312,4016,4224,4336,4144,4280,4128,4088,4168,4168,4096,4312,4136,3976,3976,4224,3848,4008,3816,4072,3936,3984,4272,3816,4016,4048,3920,4272,4144,4280,4136,4312,4440,4072,4080,4104,3864,4344,4064,4328,4112,4232,4024,4376,3952,3960,4304,4280,4112,4376,4328,4176,4352,3992,4384,4096,4048,4192,4040,4176,4008,3832,4232,4336,3952,4088,4224,4368,4152,4016,3960,3992,4080,4072,3968,4424,3936,4424,3936,4248,3720,4136,3928,4136,4080,4120,3984,3776,4152,4128,4024,4280,4104,4296,4480,4048,4320,4048,4240,4184,4272,4120,4192,4168,4144,4264,4088,4360,3864,4200,3896
1,0.0,1,0,0,4688,4160,3840,4064,4216,4256,4008,3976,4104,4136,4080,3816,3952,4136,4248,4576,4256,3672,3928,4328,4392,4016,3936,3968,4064,4016,4528,3936,4064,4408,4168,4120,4008,3912,4536,4168,4280,4160,4232,4080,3912,3912,4184,4128,3920,3872,4216,4072,4160,4432,4072,4096,4024,4056,4320,4024,4240,4656,4144,4336,4024,3832,4024,3912,3976,4256,4160,4352,4384,4344,4120,3840,4192,4088,4304,3760,4376,4192,3976,4384,4096,3888,3880,4448,3984,3784,4376,3920,4248,4024,3960,3688,4192,4384,4536,3672,4040,4560,4136,4400,4280,4144,3816,4192,4152,4136,3744,4024,4312,4136,4248,4232,4104,4264,3928,4368,4344,4016,4120,4208,4408,4200,4008,4336,3784,3944,3920
2,0.0,2,0,0,4136,4400,3504,3832,4552,4336,4008,3944,4096,4152,4024,4392,4232,4336,4128,3872,4304,4320,4272,3704,3928,4080,4104,3736,3744,4208,4032,4176,4072,4192,4184,4088,4152,4080,4056,4456,4168,4216,3728,4312,4296,3672,4032,4240,3992,4000,4000,4008,4144,4264,4120,4080,4136,4240,3912,4376,3984,4136,4248,4112,4160,4104,3880,4520,4192,4184,3984,4528,4280,4472,4392,4144,3856,4040,4104,4176,4128,4072,4192,4048,4224,4264,4128,3920,4288,4208,4184,4240,4504,3760,3896,3840,4312,4048,4272,4288,4064,3688,4136,4112,4216,4256,4448,4560,4008,4000,3888,3832,4240,4168,3912,3744,4080,4272,4280,4136,4176,3968,4160,4296,4224,4384,4320,4352,4400,4120,3768
3,0.0,3,0,0,4112,4336,4232,4176,4136,4136,4064,4336,4104,4328,4184,4136,4488,3760,4112,4144,3888,4264,3928,4304,4128,4224,3864,4160,4336,4216,4048,4320,4248,4160,4056,3688,4000,4088,3952,4120,4048,4528,4112,4264,4240,4392,4504,4016,4072,4144,4040,3728,3816,3936,4256,4184,4304,4304,4288,4080,4184,3768,4240,3992,3800,4368,3688,4136,4168,3984,4072,4184,4352,4248,4328,4208,3928,4032,3904,3944,4216,4232,4032,3952,3688,4112,3904,4088,4200,4104,4416,4440,4184,4200,4032,4096,4064,4304,3944,4280,4112,3920,4064,4104,4288,4040,4080,4040,3936,4320,4376,4392,4312,4040,4256,4232,4008,3888,4112,4464,3976,4120,4504,3984,3992,3736,3920,4432,4184,4216,4192
4,0.0,4,0,0,4056,4528,4088,4168,4160,3992,4280,4152,4040,4240,4352,4224,3888,3840,4120,4472,4088,4272,4056,4272,4280,4288,4016,4000,4360,4160,4184,4192,4192,3896,4104,3984,3880,4272,3832,4048,4224,3848,3952,4160,3912,4000,4032,4152,4248,4184,4424,3712,4128,4088,4008,4336,3856,3880,3992,4096,4288,3856,4064,4472,4264,4248,4464,4536,4360,4184,3928,4024,4432,4520,4248,3992,3904,4064,4320,4096,4064,4296,4184,4208,4136,4168,4088,4016,4184,4224,4160,4320,4200,4008,4080,4056,4144,4288,4176,4144,4096,4088,4360,3760,4152,3992,4032,4232,4120,4120,4176,4048,4248,4120,4280,4080,3896,4240,4112,4080,3984,4248,4120,3888,4056,4032,3888,4032,4168,4032,3992
5,0.0,5,0,0,4328,4192,4384,4344,3904,4096,4192,3672,4200,3832,4240,4016,4440,4136,4144,4104,3960,4368,3856,4040,4120,4104,4040,3928,4000,4080,4120,3992,4048,4464,4144,4560,4384,4048,4360,4096,4136,4432,3864,4104,4024,4032,4040,4176,4600,4008,4208,3960,3808,3944,4104,3744,4240,4008,3952,4216,4112,4232,3928,3992,4376,4144,4104,4320,4136,3896,4368,3920,4304,3976,4088,4000,4216,4320,3984,4248,3960,4008,4000,3832,4440,3968,4136,4192,4304,4208,4200,4216,4400,3896,4368,4600,4040,4280,4104,4104,4224,3944,4320,3976,3768,4192,4032,4280,4128,3968,4384,4288,4200,3936,4360,4128,3960,4280,3880,3720,4128,4072,4024,4304,4344,4200,4064,4096,4272,4096,4264
6,0.0,6,0,0,3984,3976,4232,4064,3976,4504,4008,4144,4248,4032,4376,4272,4312,3904,4104,3832,4008,4296,4320,4240,4392,3864,4008,4048,4280,4048,4096,4152,4088,4208,4120,4288,3920,4200,4088,4096,4096,4176,3824,4112,4152,4320,3952,4216,4064,4144,4160,4184,4544,4472,4104,4192,4376,4408,4384,3960,4400,3832,3680,4248,4288,4160,4256,4256,4192,4136,3984,4264,3968,4024,4096,3952,3816,3784,4088,3632,3896,4208,3904,4208,4072,4072,3936,4256,4096,3968,4120,3968,3792,3912,4080,4408,4448,4120,3968,4072,4128,4320,4112,4096,4136,3960,4048,4072,4016,4480,4128,4104,4552,4440,4232,4024,3944,4360,3904,4304,4144,4136,4184,4216,4224,4128,3984,4296,4056,4360,4072
7,0.0,7,0,0,4080,4136,4104,4440,4184,4168,4176,4096,3760,4376,4336,4416,4200,4216,4128,4032,4280,4152,4160,4160,4400,4296,4240,4424,4256,4040,3768,3984,3832,4008,4352,4424,3736,4200,4032,4264,4008,4008,4048,4280,4088,4128,4224,3888,3880,4184,3880,4256,4160,4232,3872,4168,4344,4136,3984,4000,3960,4208,4088,4208,3904,4096,3904,4312,4064,4168,4120,4576,4392,4136,4296,4344,4112,4000,4312,4056,4088,4144,4288,4200,3936,4216,3904,4392,4048,4000,4328,4136,4080,3912,4408,4048,4200,4224,4000,4328,3928,4136,4144,4144,3800,4280,4024,4264,4080,3784,3792,4080,4256,4096,4248,4352,4248,4096,3984,3960,4224,3824,4224,4024,4088,3912,4376,3920,3992,3904,4344
8,0.0,8,0,0,4248,4312,4240,3808,4120,4200,3880,4168,3808,4248,4440,4088,4384,4208,4368,4176,4016,4136,3864,4240,4352,3952,4208,4072,4440,4096,4144,3880,4240,4424,4392,4016,3968,4096,3880,4296,4216,3944,4032,4200,4096,3904,4224,4328,4072,3928,3864,4232,4064,4088,4184,4016,3936,4048,4128,4152,3904,3904,4192,4024,4168,4184,4008,4104,4264,4352,3976,3664,4152,4272,4072,4200,4296,4272,4040,4384,4232,4080,3856,4144,3920,4320,4256,4008,3776,3936,3912,4152,4400,3992,4232,4440,4008,3856,4152,4048,3960,4032,4040,4008,4216,4224,4240,3832,4264,4416,4256,3928,4112,4192,4328,3944,4048,4296,4008,4064,4016,4448,3984,4360,4072,4432,4312,4328,4224,3968,4520
9,0.0,9,0,0,4256,4376,4512,4432,4144,4160,4152,3960,4288,3936,4312,4328,4296,3992,4272,4056,4232,4432,4264,4016,3880,4216,4080,4368,4120,4040,4056,3704,4248,4272,4304,4000,4016,4040,3896,4488,4232,4104,4288,3944,4256,3912,4184,3592,4152,3736,4024,4096,4120,3952,4176,4224,4224,4096,3976,4320,4128,3912,4208,4240,3960,4312,4200,3784,4216,4144,4128,3872,4176,4136,4200,4200,4336,4176,3768,3992,4064,4128,4008,4176,4288,3856,4056,4496,4120,4288,3960,4040,4016,4056,3992,4256,4008,3984,4536,4000,4024,4072,4344,4168,3840,4440,3960,3920,3704,4016,4400,4288,4016,4240,4096,4320,4064,4288,4472,4096,3912,4208,4024,4064,4080,3952,4408,4112,4048,4232,4312
