,dataset,scheduling_policy,iteration,layer_idx,0,1,2,3,4,5
0,bookcorpus,deepspeed,0,0,22722,13699,17067,16843,13950,14023
1,bookcorpus,deepspeed,1,0,22328,13383,18645,16034,14452,13462
2,bookcorpus,deepspeed,2,0,21684,13958,17510,16888,14233,14031
3,bookcorpus,deepspeed,3,0,22339,13428,18180,16124,13608,14625
4,bookcorpus,deepspeed,4,0,22689,14230,18196,16158,13543,13488
5,bookcorpus,deepspeed,5,0,21899,14414,18076,16119,13936,13860
6,bookcorpus,deepspeed,6,0,22034,14302,18746,15326,14112,13784
7,bookcorpus,deepspeed,7,0,22112,13903,18541,16555,13878,13315
8,bookcorpus,deepspeed,8,0,22675,13348,16919,16946,14160,14256
9,bookcorpus,deepspeed,9,0,21741,13749,17815,16419,13865,14715
10,bookcorpus,deepspeed,10,0,20511,13616,19231,16683,13488,14775
11,bookcorpus,deepspeed,11,0,20757,14273,19181,16207,13999,13887
12,bookcorpus,deepspeed,12,0,23543,14104,16137,15491,14706,14323
13,bookcorpus,deepspeed,13,0,21878,14265,18721,15683,13405,14352
14,bookcorpus,deepspeed,14,0,21940,13832,18186,16808,13733,13805
15,bookcorpus,deepspeed,15,0,22134,14906,17223,15443,14063,14535
16,bookcorpus,deepspeed,16,0,22104,13984,17955,17249,13263,13749
17,bookcorpus,deepspeed,17,0,23379,13599,18215,16063,13495,13553
18,bookcorpus,deepspeed,18,0,22576,13576,17260,17409,13660,13823
19,bookcorpus,deepspeed,19,0,22260,13541,18512,17134,13082,13775
20,bookcorpus,deepspeed,0,1,15434,22902,11042,15839,20691,12396
21,bookcorpus,deepspeed,1,1,17278,21987,10577,16143,20012,12307
22,bookcorpus,deepspeed,2,1,16890,23047,9402,16411,19335,13219
23,bookcorpus,deepspeed,3,1,17774,21718,11086,15757,19771,12198
24,bookcorpus,deepspeed,4,1,16620,23596,9770,16081,19505,12732
25,bookcorpus,deepspeed,5,1,16464,23623,10390,15457,20094,12276
26,bookcorpus,deepspeed,6,1,18529,22470,11273,14670,19257,12105
27,bookcorpus,deepspeed,7,1,15567,21859,11381,15976,20639,12882
28,bookcorpus,deepspeed,8,1,16490,22334,10836,15422,21364,11858
29,bookcorpus,deepspeed,9,1,16987,22282,10893,15226,19518,13398
30,bookcorpus,deepspeed,10,1,16801,21987,10883,15751,19909,12973
31,bookcorpus,deepspeed,11,1,17411,21623,11020,14641,20008,13601
32,bookcorpus,deepspeed,12,1,16541,21917,10916,16223,20173,12534
33,bookcorpus,deepspeed,13,1,16290,21879,10783,17525,19132,12695
34,bookcorpus,deepspeed,14,1,16726,23192,10575,15154,19523,13134
35,bookcorpus,deepspeed,15,1,16604,22618,10052,15339,19789,13902
36,bookcorpus,deepspeed,16,1,16471,22438,11761,15896,19576,12162
37,bookcorpus,deepspeed,17,1,18234,22640,9857,16378,20047,11148
38,bookcorpus,deepspeed,18,1,15556,22613,10863,16315,20187,12770
39,bookcorpus,deepspeed,19,1,15856,22460,10376,16827,20100,12685
40,bookcorpus,deepspeed,0,2,17655,9880,21835,9590,19125,20219
41,bookcorpus,deepspeed,1,2,19364,12132,19856,10428,18132,18392
42,bookcorpus,deepspeed,2,2,18206,9020,20804,9898,19337,21039
43,bookcorpus,deepspeed,3,2,18058,9620,21821,10219,19896,18690
44,bookcorpus,deepspeed,4,2,18293,8830,20559,10029,20369,20224
45,bookcorpus,deepspeed,5,2,19183,9061,21472,9265,19409,19914
46,bookcorpus,deepspeed,6,2,18623,10289,20462,9081,20301,19548
47,bookcorpus,deepspeed,7,2,19123,11197,20022,9428,17829,20705
48,bookcorpus,deepspeed,8,2,18310,10175,21134,9350,20106,19229
49,bookcorpus,deepspeed,9,2,18699,10031,20617,9747,18980,20230
50,bookcorpus,deepspeed,10,2,18511,10070,20653,9547,18993,20530
51,bookcorpus,deepspeed,11,2,19536,10214,19781,9737,18264,20772
52,bookcorpus,deepspeed,12,2,17845,10307,21222,9514,19597,19819
