,router_skew,scheduling_policy,iteration,layer_idx,0,1,2,3,4,5
0,0.0,deepspeed,0,0,29856,33288,32880,33096,33804,33684
1,0.0,deepspeed,1,0,29844,33282,33222,33408,33840,33012
2,0.0,deepspeed,2,0,30576,33300,32712,33546,33462,33012
3,0.0,deepspeed,3,0,30780,33066,33102,33210,32520,33930
4,0.0,deepspeed,4,0,30816,33654,32772,32910,32880,33576
5,0.0,deepspeed,5,0,29760,33708,33744,33270,33348,32778
6,0.0,deepspeed,6,0,29712,33714,32958,33150,33414,33660
7,0.0,deepspeed,7,0,29760,32976,33936,33786,32682,33468
8,0.0,deepspeed,8,0,30126,33096,33108,33390,33336,33552
9,0.0,deepspeed,9,0,29922,33798,34068,32904,33162,32754
10,0.0,deepspeed,0,1,30084,32748,33264,33864,32592,34056
11,0.0,deepspeed,1,1,30666,33360,32634,33468,33246,33234
12,0.0,deepspeed,2,1,29970,33798,33420,32622,33216,33582
13,0.0,deepspeed,3,1,29754,33894,32988,33222,33816,32934
14,0.0,deepspeed,4,1,30522,33762,32862,33060,33102,33300
15,0.0,deepspeed,5,1,30270,33348,33906,32832,32952,33300
16,0.0,deepspeed,6,1,29874,33126,33126,33246,33384,33852
17,0.0,deepspeed,7,1,30624,33132,33534,33096,32904,33318
18,0.0,deepspeed,8,1,30270,32838,33060,32994,33912,33534
19,0.0,deepspeed,9,1,29856,33150,33642,33708,32952,33300
20,0.0,deepspeed,0,2,30234,33168,33714,33096,32796,33600
21,0.0,deepspeed,1,2,30276,32850,33360,33684,33030,33408
22,0.0,deepspeed,2,2,30708,33342,33486,33378,32874,32820
23,0.0,deepspeed,3,2,29790,32856,32628,33714,33594,34026
24,0.0,deepspeed,4,2,29742,33162,33636,33120,34008,32940
25,0.0,deepspeed,5,2,29616,33630,34056,33270,33048,32988
26,0.0,deepspeed,6,2,30234,33072,33552,33420,33042,33288
27,0.0,deepspeed,7,2,29808,33690,33360,33366,33390,32994
28,0.0,deepspeed,8,2,30492,32910,33144,33462,33390,33210
