,dataset,scheduling_policy,iteration,layer_idx,0,1,2,3,4,5,6,7
0,bookcorpus,deepspeed,0,0,48783,44412,76491,45751,107879,62922,65212,72838
1,bookcorpus,deepspeed,1,0,49181,44642,78651,46714,106867,61048,63927,73258
2,bookcorpus,deepspeed,2,0,49733,45270,78998,45847,106161,60536,62315,75428
3,bookcorpus,deepspeed,3,0,49893,45307,77124,44912,108082,63063,62246,73661
4,bookcorpus,deepspeed,4,0,49081,44094,78818,43928,108393,60924,63907,75143
5,bookcorpus,deepspeed,5,0,50450,44087,77386,45355,106376,59625,66527,74482
6,bookcorpus,deepspeed,6,0,49684,45307,79026,44710,106982,61327,63140,74112
7,bookcorpus,deepspeed,7,0,48825,45345,77947,47582,106666,61095,61718,75110
8,bookcorpus,deepspeed,8,0,49492,45828,74933,47139,107586,58915,64376,76019
9,bookcorpus,deepspeed,9,0,48707,45424,77755,46940,106194,59191,64900,75177
10,bookcorpus,deepspeed,10,0,51192,42129,77074,48675,107817,56881,65831,74689
11,bookcorpus,deepspeed,11,0,49743,44359,75893,46597,106170,63510,64727,73289
12,bookcorpus,deepspeed,12,0,48844,45375,76264,49596,106215,59985,64813,73196
13,bookcorpus,deepspeed,13,0,48191,44786,77501,44274,106610,63905,64945,74076
14,bookcorpus,deepspeed,14,0,47651,44651,75948,45815,108481,61346,64754,75642
15,bookcorpus,deepspeed,15,0,49140,41330,77844,46538,111950,60469,66078,70939
16,bookcorpus,deepspeed,16,0,50667,44324,76848,48577,104565,60535,64347,74425
17,bookcorpus,deepspeed,17,0,48474,43452,75276,44884,109135,61838,66722,74507
18,bookcorpus,deepspeed,18,0,48697,46250,75123,47622,105958,60494,66003,74141
19,bookcorpus,deepspeed,19,0,48767,43484,78340,45373,106811,60849,66068,74596
20,bookcorpus,deepspeed,20,0,49908,45847,77703,45148,107708,59309,64526,74139
21,bookcorpus,deepspeed,21,0,48407,44450,78606,46033,105928,60652,64695,75517
22,bookcorpus,deepspeed,22,0,48981,43121,75350,47172,107853,60074,65337,76400
23,bookcorpus,deepspeed,23,0,51592,46212,76716,45487,104824,59713,64692,75052
24,bookcorpus,deepspeed,24,0,48414,43500,77592,47214,108561,60446,63976,74585
25,bookcorpus,deepspeed,25,0,48479,43997,77023,46991,107478,58998,65975,75347
26,bookcorpus,deepspeed,26,0,47689,45082,78036,46976,105854,61351,63449,75851
27,bookcorpus,deepspeed,27,0,49364,41512,77476,44294,110852,64364,64991,71435
28,bookcorpus,deepspeed,28,0,49500,44765,76271,48211,106285,59534,63859,75863
29,bookcorpus,deepspeed,29,0,46900,44078,76907,47024,109057,64030,63618,72674
30,bookcorpus,deepspeed,0,1,66715,64928,66796,51864,80480,39676,48275,105554
31,bookcorpus,deepspeed,1,1,64443,63426,71332,53692,78682,39272,50400,103041
32,bookcorpus,deepspeed,2,1,68230,64282,66926,53863,81610,37413,50671,101293
33,bookcorpus,deepspeed,3,1,67497,64033,68876,54120,79515,39150,49205,101892
34,bookcorpus,deepspeed,4,1,66487,64478,68170,52525,81317,39795,47269,104247
35,bookcorpus,deepspeed,5,1,66429,64591,68730,54580,77507,39072,48827,104552
36,bookcorpus,deepspeed,6,1,65420,64908,68995,53601,80033,39842,49035,102454
37,bookcorpus,deepspeed,7,1,65477,63671,68730,53791,82100,40425,48700,101394
38,bookcorpus,deepspeed,8,1,63891,63790,69883,54910,79674,38472,50566,103102
39,bookcorpus,deepspeed,9,1,65803,64259,68720,53179,79566,40096,49165,103500
40,bookcorpus,deepspeed,10,1,63896,65822,68407,53285,80060,39165,50146,103507
41,bookcorpus,deepspeed,11,1,67870,64153,68155,54257,79636,39514,47446,103257
42,bookcorpus,deepspeed,12,1,65349,64856,69395,53166,79962,38925,50683,101952
43,bookcorpus,deepspeed,13,1,68373,63507,69073,52947,78704,38094,50583,103007
44,bookcorpus,deepspeed,14,1,66496,65231,67127,52128,77521,40163,50089,105533
45,bookcorpus,deepspeed,15,1,67581,63779,67752,53967,78956,38011,47747,106495
46,bookcorpus,deepspeed,16,1,66282,65221,70616,52160,81472,37154,49916,101467
47,bookcorpus,deepspeed,17,1,68882,65682,67203,51759,79654,39908,48450,102750
48,bookcorpus,deepspeed,18,1,66297,62254,67951,52082,78548,40323,51292,105541
49,bookcorpus,deepspeed,19,1,66903,64802,68375,52109,79736,39395,49653,103315
50,bookcorpus,deepspeed,20,1,66164,63805,69137,53171,76722,41145,50426,103718
51,bookcorpus,deepspeed,21,1,63847,65170,70428,53300,78632,39439,48458,105014
52,bookcorpus,deepspeed,22,1,65408,65344,70389,51944,80664,38863,48604,103072
53,bookcorpus,deepspeed,23,1,65431,62302,68826,51267,82465,39241,52755,102001
54,bookcorpus,deepspeed,24,1,64290,66229,69688,54053,77337,39131,49736,103824
55,bookcorpus,deepspeed,25,1,63719,65432,70148,52650,79750,38687,49453,104449
56,bookcorpus,deepspeed,26,1,66101,64837,69348,54213,80805,39382,49376,100226
57,bookcorpus,deepspeed,27,1,67973,65858,66830,52065,81399,37639,48733,103791
58,bookcorpus,deepspeed,28,1,66732,68045,67765,50313,78385,40425,51664,100959
59,bookcorpus,deepspeed,29,1,65857,65180,67878,53342,80076,38163,49477,104315
60,bookcorpus,deepspeed,0,2,37099,189108,52864,83146,46840,16129,57100,42002
61,bookcorpus,deepspeed,1,2,36041,187242,51744,84122,51199,17161,56201,40578
62,bookcorpus,deepspeed,2,2,37362,189109,53128,80549,48315,15703,57194,42928
63,bookcorpus,deepspeed,3,2,37481,186857,53323,81100,50260,16698,55098,43471
64,bookcorpus,deepspeed,4,2,37809,187023,53147,82887,49477,15238,57031,41676
65,bookcorpus,deepspeed,5,2,37233,191052,51221,81259,48932,16008,56674,41909
66,bookcorpus,deepspeed,6,2,36167,187432,54615,82593,48435,17066,57125,40855
67,bookcorpus,deepspeed,7,2,36009,186194,54849,82580,49093,15423,59307,40833
68,bookcorpus,deepspeed,8,2,37981,189371,51830,81148,49253,16564,57613,40528
69,bookcorpus,deepspeed,9,2,36815,188296,52468,82807,48494,16764,58291,40353
70,bookcorpus,deepspeed,10,2,35528,188198,51395,84448,46881,16249,59696,41893
71,bookcorpus,deepspeed,11,2,35543,189184,55248,81674,46490,16257,57710,42182
72,bookcorpus,deepspeed,12,2,35188,188649,53202,83619,48922,16783,57311,40614
73,bookcorpus,deepspeed,13,2,37835,186091,52773,79774,52089,15562,57190,42974
74,bookcorpus,deepspeed,14,2,36303,190043,52431,81138,49321,15925,57347,41780
75,bookcorpus,deepspeed,15,2,36347,187633,52822,84299,49286,16736,57154,40011
76,bookcorpus,deepspeed,16,2,35004,189878,53100,80807,48143,17837,58313,41206
77,bookcorpus,deepspeed,17,2,37525,188129,51789,82674,48262,15194,58735,41980
78,bookcorpus,deepspeed,18,2,36777,191441,51821,81223,49369,15759,56354,41544
79,bookcorpus,deepspeed,19,2,36682,190702,51487,82321,45710,15832,57016,44538
80,bookcorpus,deepspeed,20,2,36756,187571,52366,81395,50635,16592,56973,42000
81,bookcorpus,deepspeed,21,2,36207,190369,52947,81427,49725,15778,55919,41916
82,bookcorpus,deepspeed,22,2,37358,189766,51827,82084,46495,16311,58478,41969
83,bookcorpus,deepspeed,23,2,36961,192839,51917,81219,48246,17002,55440,40664
84,bookcorpus,deepspeed,24,2,35390,188713,53237,83713,46866,16179,58752,41438
85,bookcorpus,deepspeed,25,2,37646,190071,53300,82176,45784,16327,57907,41077
86,bookcorpus,deepspeed,26,2,36845,187127,53899,83253,48330,15311,56630,42893
87,bookcorpus,deepspeed,27,2,35474,188650,52200,82737,50266,14942,57652,42367
88,bookcorpus,deepspeed,28,2,37481,190281,50741,82928,49397,15646,55946,41868
89,bookcorpus,deepspeed,29,2,35858,190706,52546,81292,48494,16331,57631,41430
90,bookcorpus,deepspeed,0,3,25396,13601,54599,147370,37326,81579,131958,32459
91,bookcorpus,deepspeed,1,3,26457,14173,59027,146114,36181,80530,130496,31310
92,bookcorpus,deepspeed,2,3,26856,15415,56598,143317,36761,80967,131866,32508
93,bookcorpus,deepspeed,3,3,24903,16114,56115,146079,38099,79040,132369,31569
94,bookcorpus,deepspeed,4,3,26263,14209,56710,145247,35732,82037,132270,31820
95,bookcorpus,deepspeed,5,3,25954,14758,58195,144697,35901,80786,133081,30916
96,bookcorpus,deepspeed,6,3,25970,14959,57850,143731,37458,79401,132646,32273
97,bookcorpus,deepspeed,7,3,25672,14701,56484,146308,38517,79153,131493,31960
98,bookcorpus,deepspeed,8,3,24938,15303,57745,144212,36828,79762,132962,32538
99,bookcorpus,deepspeed,9,3,26291,14669,59495,143903,37058,79598,130886,32388
100,bookcorpus,deepspeed,10,3,26037,13209,56442,143990,37791,81306,133120,32393
101,bookcorpus,deepspeed,11,3,25761,14174,54601,146000,37924,81270,132590,31968
102,bookcorpus,deepspeed,12,3,26343,14806,56219,145895,36604,80697,132865,30859
103,bookcorpus,deepspeed,13,3,25897,15999,57411,144458,36155,82441,130131,31796
104,bookcorpus,deepspeed,14,3,24626,15104,55083,145168,36867,80921,133369,33150
