,router_skew,scheduling_policy,iteration,layer_idx,0,1,2,3,4,5,6,7
0,0.0,deepspeed,0,0,62296,66080,64792,66568,66624,65928,65592,66408
1,0.0,deepspeed,1,0,61680,66256,65640,66512,66232,65792,65992,66184
2,0.0,deepspeed,2,0,62072,64928,65488,65904,67264,66136,65816,66680
3,0.0,deepspeed,3,0,62640,66288,66208,64936,65968,65728,66560,65960
4,0.0,deepspeed,4,0,62128,66832,65152,65752,67152,66456,65968,64848
5,0.0,deepspeed,5,0,62120,65368,67072,64864,65744,67184,66104,65832
6,0.0,deepspeed,6,0,62136,66000,65808,67488,64200,65424,66896,66336
7,0.0,deepspeed,7,0,62816,66384,65272,65520,67408,66032,65384,65472
8,0.0,deepspeed,8,0,62520,66632,65064,65232,66216,65504,66096,67024
9,0.0,deepspeed,9,0,63416,66288,64864,66144,65328,66128,65528,66592
10,0.0,deepspeed,10,0,62136,67360,66296,65168,65992,65848,65736,65752
11,0.0,deepspeed,11,0,62584,66416,65848,64816,66088,65256,66784,66496
12,0.0,deepspeed,12,0,61176,65656,66432,66080,66624,66136,65512,66672
13,0.0,deepspeed,13,0,61048,66200,66840,66352,66912,65504,65768,65664
14,0.0,deepspeed,14,0,62344,66848,65712,65592,66552,66512,66120,64608
15,0.0,deepspeed,15,0,61248,65936,65904,66392,65296,66224,67072,66216
16,0.0,deepspeed,16,0,61632,65088,66848,66736,65664,65568,66432,66320
17,0.0,deepspeed,17,0,62176,66296,65480,67040,66968,64200,66848,65280
18,0.0,deepspeed,18,0,62480,66320,65416,65160,67072,66016,66616,65208
19,0.0,deepspeed,19,0,61936,66360,65848,64296,65784,66752,66288,67024
20,0.0,deepspeed,20,0,61744,65232,65600,65768,65832,66568,67032,66512
21,0.0,deepspeed,21,0,61936,65456,66688,66872,66200,65568,66248,65320
22,0.0,deepspeed,22,0,62280,66416,65960,65008,64672,66040,67312,66600
23,0.0,deepspeed,23,0,61872,66488,65880,65168,66824,66472,65272,66312
24,0.0,deepspeed,24,0,62024,66832,64544,65784,66440,66120,66856,65688
25,0.0,deepspeed,0,1,63568,65848,65728,65912,66536,64840,65664,66192
26,0.0,deepspeed,1,1,62112,66976,65792,66832,64648,65160,66992,65776
27,0.0,deepspeed,2,1,62208,66784,66056,66280,65400,66144,64832,66584
28,0.0,deepspeed,3,1,61632,65440,66112,65488,67424,65240,65880,67072
29,0.0,deepspeed,4,1,61312,65568,65144,66512,67760,66192,66736,65064
30,0.0,deepspeed,5,1,62472,65248,66272,66024,65912,66400,65624,66336
31,0.0,deepspeed,6,1,62144,66632,66536,65784,65880,66000,65688,65624
32,0.0,deepspeed,7,1,61424,66784,66144,65368,65496,65712,66656,66704
33,0.0,deepspeed,8,1,61272,65984,66240,66880,66216,65728,66896,65072
34,0.0,deepspeed,9,1,61312,66832,67176,64920,66024,66256,65736,66032
35,0.0,deepspeed,10,1,61928,65760,67128,65272,66768,66184,65536,65712
36,0.0,deepspeed,11,1,62232,65864,66344,65752,65808,65656,66144,66488
37,0.0,deepspeed,12,1,62392,65352,66864,66384,66072,66312,64872,66040
38,0.0,deepspeed,13,1,62488,66464,65376,67072,64808,64936,66400,66744
39,0.0,deepspeed,14,1,62536,65352,67144,65816,65176,66376,66024,65864
40,0.0,deepspeed,15,1,61912,65496,65848,66008,65224,66136,65960,67704
41,0.0,deepspeed,16,1,61544,66248,65360,66504,65648,65808,66944,66232
42,0.0,deepspeed,17,1,63136,65824,65952,65632,65760,65416,66712,65856
43,0.0,deepspeed,18,1,60544,67344,66056,65648,66136,66280,65848,66432
44,0.0,deepspeed,19,1,62496,65440,64896,65280,65880,67600,66464,66232
45,0.0,deepspeed,20,1,61248,65768,65728,65144,66992,65952,65520,67936
46,0.0,deepspeed,21,1,62168,65488,66456,66568,66600,64808,66072,66128
47,0.0,deepspeed,22,1,61120,65640,65448,67368,66336,66688,65928,65760
48,0.0,deepspeed,23,1,63168,65632,66256,65512,67088,65568,65240,65824
49,0.0,deepspeed,24,1,61392,66368,67360,66456,66320,64936,65592,65864
50,0.0,deepspeed,0,2,62128,65208,65464,67048,65136,65976,66544,66784
51,0.0,deepspeed,1,2,61056,66280,66248,65688,66024,66560,66952,65480
52,0.0,deepspeed,2,2,61968,67232,66064,66088,64744,66232,65504,66456
53,0.0,deepspeed,3,2,61872,65608,66664,67040,64864,66496,66248,65496
54,0.0,deepspeed,4,2,62320,65648,65952,66896,66288,66368,64888,65928
55,0.0,deepspeed,5,2,62248,65744,66056,65704,65800,67120,65576,66040
56,0.0,deepspeed,6,2,62064,66248,65344,65896,66448,66456,66744,65088
57,0.0,deepspeed,7,2,61744,66808,66024,66696,65232,66664,65616,65504
58,0.0,deepspeed,8,2,62536,65600,65440,67424,66696,65992,65344,65256
59,0.0,deepspeed,9,2,61912,65928,64640,64760,66328,67608,66160,66952
60,0.0,deepspeed,10,2,62144,67016,66800,65256,66336,66424,64984,65328
61,0.0,deepspeed,11,2,61536,66704,66016,66240,66224,66344,65672,65552
62,0.0,deepspeed,12,2,62360,66960,66304,65056,65200,65400,65552,67456
63,0.0,deepspeed,13,2,62096,65728,65928,68336,65592,65064,66336,65208
64,0.0,deepspeed,14,2,61960,66976,65504,66376,65800,65848,65336,66488
65,0.0,deepspeed,15,2,62128,66488,65304,66632,66952,64400,67136,65248
66,0.0,deepspeed,16,2,61792,66848,66568,64672,65656,65688,67272,65792
67,0.0,deepspeed,17,2,62120,65576,67008,65304,65368,65920,66488,66504
68,0.0,deepspeed,18,2,61248,66752,65944,66760,66288,66456,66040,64800
