,dataset,system_name,MTTFT (ms),std div,num samples
0,bookcorpus,deepspeed-inference,227.8353190712268,3.515653951219972,356
1,bookcorpus,exflow,46.409839019179344,0.17396393941542018,20
2,bookcorpus,fastermoe,35.42980908233429,0.9939856100606212,107
3,bookcorpus,fastmoe,35.41254421632238,0.995962148925125,107
4,bookcorpus,harmony,27.746547634402912,0.28325468765411976,10
5,random,deepspeed-inference,222.0088721214609,3.373848631869909,356
6,random,exflow,43.259477615356445,0.383118140734531,20
7,random,fastermoe,33.10046092000706,1.2515832613782274,107
8,random,fastmoe,33.10894208533742,1.2606094442715694,107
9,random,harmony,27.869717155893643,0.4133088879483045,10
10,wikitext,deepspeed-inference,232.25511999314793,3.6162261128287554,356
11,wikitext,exflow,47.13255874812603,0.6503946623352567,20
12,wikitext,fastermoe,35.11014305913931,1.0497448388809665,107
13,wikitext,fastmoe,35.13339509102414,1.0576974257904892,107
14,wikitext,harmony,28.40604571004709,0.3014341223352745,10
15,wmt19,deepspeed-inference,224.85462056191523,3.4674047099422967,356
16,wmt19,exflow,44.497403378287956,0.27867835812480307,20
17,wmt19,fastermoe,35.92284782281917,1.0596116641497784,107
18,wmt19,fastmoe,35.82477697702211,1.0711742534901119,107
19,wmt19,harmony,27.617345998684563,0.35635711235386835,10
