,system_name,router_skew,MTTFT (ms),std div,num samples
0,deepspeed-inference,0.0,63.70787622768488,4.259822216801043,134
1,exflow,0.0,42.344804356495544,0.26595025991663757,80
2,fastermoe,0.0,21.526972119191395,0.8150724801887166,67
3,fastmoe,0.0,21.541111745792833,0.8070671293007116,67
4,harmony,0.0,30.26909405986468,0.021513139390564887,10
5,deepspeed-inference,0.5,264.354243037406,3.3087022897397316,534
6,exflow,0.5,61.7184585581223,0.06235781354792702,80
7,fastermoe,0.5,40.14458020825809,0.6366579642719955,267
8,fastmoe,0.5,40.428234192167174,0.6267450308838399,267
9,harmony,0.5,31.65504199763139,0.016511021578995744,10
10,deepspeed-inference,0.9,602.5234810526167,1.3732431504066749,2134
11,exflow,0.9,79.15618581076463,0.3640141794055132,80
12,fastermoe,0.9,54.96750498532356,1.0911771189459003,534
13,fastmoe,0.9,55.589790461810495,1.073091169840458,534
14,harmony,0.9,33.51393540700277,0.00812010634150254,10
