,system_name,dataset,MTTFT (ms),std div,num samples
0,exflow,bookcorpus,6.127709491799275,0.2070012511895399,30
1,fastermoe,bookcorpus,4.855966414598858,0.5518809536746011,34
2,fastmoe,bookcorpus,4.846852637973487,0.550483435153044,34
3,harmony,bookcorpus,4.841371687750022,0.21205570673974505,30
4,exflow,random,7.076113453755776,0.2986816889513702,30
5,fastermoe,random,5.255299784681377,0.5981946047354433,34
6,fastmoe,random,5.247917884559023,0.5979878652291596,34
7,harmony,random,4.963319236412644,0.2982537116086159,30
8,exflow,wikitext,5.984013124058644,0.28369744557263654,30
9,fastermoe,wikitext,5.226551208133792,0.5953625520276944,34
10,fastmoe,wikitext,5.225712141277744,0.5945991715008918,34
11,harmony,wikitext,4.96971399212877,0.3993395046396233,30
12,exflow,wmt19,5.696318407232563,0.24785863266342273,30
13,fastermoe,wmt19,4.91648885037969,0.5585475897983788,34
14,fastmoe,wmt19,4.897471060793773,0.5546123662050869,34
15,harmony,wmt19,4.90398049975435,0.0835087721704439,30
