,system_name,router_skew,MTTFT (ms),std div,num samples
0,exflow,0.0,4.669776726514101,0.00859189900298769,25
1,fastermoe,0.0,4.308528117835522,0.01416794164168297,25
2,fastmoe,0.0,4.303473345935345,0.014162516379402159,25
3,harmony,0.0,4.680313561111689,0.01469116392270428,25
4,exflow,0.5,7.343324478715658,0.25768170085362985,50
5,fastermoe,0.5,6.263938210904598,0.01939574293590174,25
6,fastmoe,0.5,6.253463849425316,0.020422201369316318,25
7,harmony,0.5,4.827842246741056,0.18099533073826457,25
8,exflow,0.9,9.381783849439966,0.5454085397135291,89
9,fastermoe,0.9,8.188317511230707,0.21715787590184643,25
10,fastmoe,0.9,8.179413415491581,0.2172963273284566,25
11,harmony,0.9,5.3614092990756035,0.4822033578630732,25
