,policy,dataset,duration (s),throughput (toks/s)
0,deepspeed,random,104.63056540489197,146.80222686899336
1,deepspeed,bookcorpus,85.9521119594574,178.70416037298924
2,deepspeed,wmt19,81.99843239784241,187.3206541983132
3,deepspeed,wikitext,88.63479113578796,173.29538213125107
4,exflow,random,108.68910264968872,141.32051535567618
5,exflow,bookcorpus,94.12161779403687,163.19311503561028
6,exflow,wmt19,87.49545073509216,175.55198437122286
7,exflow,wikitext,91.91444158554077,167.11193295674997
8,even_split,random,136.710453748703,112.3542463565682
9,even_split,bookcorpus,144.70365381240845,106.14797619355531
10,even_split,wmt19,149.47080254554749,102.76254451312941
11,even_split,wikitext,150.42308044433594,102.11198942760628
12,harmony,random,76.23658347129822,201.47807391949536
13,harmony,bookcorpus,74.36346912384033,206.5530317637603
14,harmony,wmt19,75.3251404762268,203.91598213942572
15,harmony,wikitext,76.3348069190979,201.21882297126953
16,drop,random,70.88277053833008,216.69581879131024
17,drop,bookcorpus,71.31757020950317,215.3746959533018
18,drop,wmt19,72.62534642219543,211.49640940378006
19,drop,wikitext,71.59285473823547,214.54655015728423
