,policy,skew,duration (s)
0,deepspeed,0.0,307.7153539657593
1,deepspeed,0.5,487.8704421520233
2,deepspeed,0.95,581.4267785549164
3,exflow,0.0,308.01372838020325
4,exflow,0.5,486.14404344558716
5,exflow,0.95,576.76518201828
6,even_split,0.0,974.5103118419647
7,even_split,0.5,946.3868012428284
8,even_split,0.95,834.2915208339691
9,harmony,0.0,307.5115740299225
10,harmony,0.5,317.72186064720154
11,harmony,0.95,320.8653931617737
12,drop,0.0,432.86307668685913
13,drop,0.5,394.7505452632904
14,drop,0.95,419.3699080944061
