,policy,dataset,duration (s),throughput (toks/s)
0,deepspeed,0.0,58.51673483848572,218.74084456916077
1,deepspeed,0.5,96.89683389663696,132.09925944179128
2,deepspeed,0.9,125.18440413475037,102.24915865894835
3,exflow,0.0,59.77314209938049,214.1430005255264
4,exflow,0.5,93.99455332756042,136.1781033778994
5,exflow,0.9,120.23694181442261,106.4564667634005
6,even_split,0.0,145.09807538986206,88.21619422316839
7,even_split,0.5,131.77994322776794,97.13162478660755
8,even_split,0.9,138.12654447555542,92.668647062732
9,harmony,0.0,59.908013582229614,213.66089834427154
10,harmony,0.5,61.79638075828552,207.13187152604894
11,harmony,0.9,68.62603902816772,186.5181231681783
12,drop,0.0,61.607898235321045,207.76556848455354
13,drop,0.5,60.017418384552,213.27141927341907
14,drop,0.9,59.70203876495361,214.39803840524584
