iteration,throughput (toks/s),system_name
0,1.6778331199747079,deepspeed-inference
1,1.6758737815684426,deepspeed-inference
2,1.674148409245201,deepspeed-inference
3,1.67306223321797,deepspeed-inference
4,1.6704806233247615,deepspeed-inference
5,1.6697903186252392,deepspeed-inference
6,1.6699133080267745,deepspeed-inference
7,1.6696783143124068,deepspeed-inference
8,1.6689171718294415,deepspeed-inference
9,1.6675099911488698,deepspeed-inference
10,1.6680851831028936,deepspeed-inference
11,1.6683787900012457,deepspeed-inference
12,1.6673406261058235,deepspeed-inference
13,1.6663714993521792,deepspeed-inference
14,1.6677137609017463,deepspeed-inference
15,1.668037640673307,deepspeed-inference
16,1.6666851443113988,deepspeed-inference
17,1.6657788540319796,deepspeed-inference
18,1.664974554808387,deepspeed-inference
19,1.6651059800457162,deepspeed-inference
20,1.6654720530498186,deepspeed-inference
21,1.665605100178581,deepspeed-inference
22,1.6651052088396356,deepspeed-inference
23,1.666192216339815,deepspeed-inference
24,1.6644013956307668,deepspeed-inference
25,1.665867288375917,deepspeed-inference
26,1.6643090443653956,deepspeed-inference
27,1.6642410257922788,deepspeed-inference
28,1.6660070161324971,deepspeed-inference
29,1.6651607375034325,deepspeed-inference
30,1.6646665083967818,deepspeed-inference
31,1.6628862160530236,deepspeed-inference
32,1.6644518133994004,deepspeed-inference
33,1.6644617211802748,deepspeed-inference
34,1.662914785032103,deepspeed-inference
35,1.6623958617243721,deepspeed-inference
36,1.6636189909061558,deepspeed-inference
37,1.6656849166099321,deepspeed-inference
38,1.663660232801678,deepspeed-inference
39,1.6638233507862126,deepspeed-inference
40,1.6638765937881947,deepspeed-inference
41,1.6645397766011403,deepspeed-inference
42,1.6651197517031437,deepspeed-inference
43,1.662258715343635,deepspeed-inference
44,1.6626639609483318,deepspeed-inference
45,1.6633948906993987,deepspeed-inference
46,1.6634144613238562,deepspeed-inference
47,1.6653001263574994,deepspeed-inference
48,1.6639223590915817,deepspeed-inference
49,1.6650685222899821,deepspeed-inference
50,1.6647335706462938,deepspeed-inference
51,1.6644282553718797,deepspeed-inference
52,1.6639636160299411,deepspeed-inference
53,1.662690325229814,deepspeed-inference
54,1.6640513075715457,deepspeed-inference
55,1.6626117841060444,deepspeed-inference
56,1.6652359935674301,deepspeed-inference
57,1.6640142273351854,deepspeed-inference
58,1.6618497165174666,deepspeed-inference
59,1.6613417669826118,deepspeed-inference
60,1.6617681823116264,deepspeed-inference
61,1.6630983091869807,deepspeed-inference
62,1.661858386170093,deepspeed-inference
63,1.6637216045274488,deepspeed-inference
64,1.6632106415559713,deepspeed-inference
65,1.6617244007571643,deepspeed-inference
66,1.6631054531617364,deepspeed-inference
67,1.6620796575376031,deepspeed-inference
68,1.6634341423600505,deepspeed-inference
69,1.6613077684934336,deepspeed-inference
70,1.6628386398934074,deepspeed-inference
71,1.660436127822146,deepspeed-inference
72,1.6630433575868242,deepspeed-inference
73,1.6618962483714246,deepspeed-inference
74,1.6631008370479552,deepspeed-inference
75,1.6618932851803991,deepspeed-inference
76,1.6627556902836533,deepspeed-inference
77,1.6610762867457778,deepspeed-inference
78,1.6607168558264507,deepspeed-inference
79,1.6606658969717414,deepspeed-inference
80,1.6606272141658578,deepspeed-inference
81,1.6622164450010304,deepspeed-inference
82,1.6616437565639877,deepspeed-inference
83,1.6595783153863164,deepspeed-inference
84,1.6623053799067449,deepspeed-inference
85,1.6607422816287796,deepspeed-inference
86,1.6611718981031642,deepspeed-inference
87,1.661643646849329,deepspeed-inference
88,1.6630575347520722,deepspeed-inference
89,1.6615557700611514,deepspeed-inference
90,1.663503964317769,deepspeed-inference
91,1.6616093068731128,deepspeed-inference
92,1.6618556425993516,deepspeed-inference
93,1.660050363876534,deepspeed-inference
94,1.6625816877958148,deepspeed-inference
95,1.6600826682885446,deepspeed-inference
96,1.6603468450946124,deepspeed-inference
97,1.662475041395363,deepspeed-inference
98,1.6615756265499801,deepspeed-inference
99,1.6609176531912893,deepspeed-inference
100,1.6615830865689787,deepspeed-inference
101,1.6606349944154601,deepspeed-inference
102,1.663005333205399,deepspeed-inference
103,1.6617699380110447,deepspeed-inference
104,1.6624312225871325,deepspeed-inference
105,1.661048877262771,deepspeed-inference
106,1.660405891123826,deepspeed-inference
107,1.6596849188218725,deepspeed-inference
108,1.6600279157882516,deepspeed-inference
109,1.6602283275223395,deepspeed-inference
110,1.6584888784382286,deepspeed-inference
111,1.661016206340762,deepspeed-inference
112,1.6607868882578125,deepspeed-inference
113,1.6618644220576106,deepspeed-inference
114,1.6610760674663245,deepspeed-inference
115,1.6615894495792944,deepspeed-inference
116,1.6610273888606761,deepspeed-inference
117,1.660826784177066,deepspeed-inference
118,1.6602310657226123,deepspeed-inference
