,system,dataset,duration (s)
0,deepspeed,random,1296.7387294769287
1,deepspeed,bookcorpus,1291.241717338562
2,deepspeed,wikitext,1297.5737390518188
3,deepspeed,wmt19,1298.7681937217712
4,fastmoe,random,413.2512254714966
5,fastmoe,bookcorpus,366.54569578170776
6,fastmoe,wikitext,405.0834059715271
7,fastmoe,wmt19,366.545001745224
8,fastermoe,random,405.4450726509094
9,fastermoe,bookcorpus,369.5421619415283
10,fastermoe,wikitext,404.37211751937866
11,fastermoe,wmt19,363.93258333206177
12,harmony,random,316.510870218277
13,harmony,bookcorpus,322.4036617279053
14,harmony,wikitext,314.9476008415222
15,harmony,wmt19,321.95369839668274
16,exflow,random,461.1159555912018
17,exflow,bookcorpus,430.99940729141235
18,exflow,wikitext,406.23563027381897
19,exflow,wmt19,401.01259565353394
