,system,dataset,duration (s)
0,deepspeed,bookcorpus,946.6042482852936
1,deepspeed,random,943.3062131404877
2,deepspeed,wikitext,942.4869167804718
3,deepspeed,wmt19,941.1252956390381
4,deepspeed,skew50,2852.4103240966797
5,deepspeed,cocktail,941.9872386455536
6,fastmoe,bookcorpus,363.33872628211975
7,fastmoe,random,406.1957960128784
8,fastmoe,wikitext,402.8808877468109
9,fastmoe,wmt19,363.55039525032043
10,fastmoe,skew50,547.5345003604889
11,fastmoe,cocktail,353.3225848674774
12,fastermoe,bookcorpus,367.1891715526581
13,fastermoe,random,408.3968324661255
14,fastermoe,wikitext,401.17783546447754
15,fastermoe,wmt19,370.893666267395
16,fastermoe,skew50,442.57876801490784
17,fastermoe,cocktail,352.02220463752747
18,harmony,bookcorpus,354.36920380592346
19,harmony,random,339.6604223251343
20,harmony,wikitext,349.49718022346497
21,harmony,wmt19,339.7014138698578
22,harmony,skew50,333.6019458770752
23,harmony,cocktail,337.1030533313751
24,exflow,bookcorpus,458.15332412719727
25,exflow,random,511.49074387550354
26,exflow,wikitext,444.4786982536316
27,exflow,wmt19,460.63646483421326
28,exflow,skew50,588.7145459651947
29,exflow,cocktail,454.24221777915955
