,system,dataset,duration (s)
0,deepspeed,bookcorpus,1.0
1,deepspeed,random,1.0
2,deepspeed,wikitext,1.0
3,deepspeed,wmt19,1.0
4,deepspeed,skew50,1.0
5,deepspeed,cocktail,1.0
6,fastmoe,bookcorpus,2.605294123121598
7,fastmoe,random,2.3222943772430873
8,fastmoe,wikitext,2.3393686457838982
9,fastmoe,wmt19,2.5887065670525042
10,fastmoe,skew50,5.209553593825948
11,fastmoe,cocktail,2.6660827215414766
12,fastermoe,bookcorpus,2.57797430213582
13,fastermoe,random,2.309778475617169
14,fastermoe,wikitext,2.349299571072452
15,fastermoe,wmt19,2.5374531334286408
16,fastermoe,skew50,6.444977776251117
17,fastermoe,cocktail,2.675931308411369
18,harmony,bookcorpus,2.6712373369885665
19,harmony,random,2.7772037927855
20,harmony,wikitext,2.6966939080248236
21,harmony,wmt19,2.770448568105137
22,harmony,skew50,8.550340785924938
23,harmony,cocktail,2.7943598532748153
24,exflow,bookcorpus,2.066129826927737
25,exflow,random,1.844229293365449
26,exflow,wikitext,2.1204321387808402
27,exflow,wmt19,2.043097686540636
28,exflow,skew50,4.84515007085508
29,exflow,cocktail,2.073755370540047
