,system,skew,duration (s)
0,deepspeed,0.0,297.70201230049133
1,deepspeed,0.5,4807.8
2,deepspeed,0.95,8987.7
3,fastmoe,0.0,287.61474418640137
4,fastmoe,0.5,458.0503661632538
5,fastmoe,0.95,533.7509346008301
6,fastermoe,0.0,285.4990701675415
7,fastermoe,0.5,466.56226992607117
8,fastermoe,0.95,550.7829177379608
9,harmony,0.0,304.8001878261566
10,harmony,0.5,313.48756527900696
11,harmony,0.95,318.2688694000244
12,exflow,0.0,299.60824513435364
13,exflow,0.5,489.96657371520996
14,exflow,0.95,615.2380833625793
