,scheduling_policy,router_skew,throughput (toks/s)
0,deepspeed,0.0,217.94575721038154
1,drop,0.0,214.67073814372134
2,even_split,0.0,97.84207570060995
3,exflow,0.0,218.84366419645266
4,harmony,0.0,218.07874386921907
5,deepspeed,0.5,196.6480002964861
6,drop,0.5,218.24470432585986
7,even_split,0.5,103.76759458316488
8,exflow,0.5,197.1446560548207
9,harmony,0.5,214.08552689310727
10,deepspeed,0.9,169.00848399615904
11,drop,0.9,217.8836176756994
12,even_split,0.9,96.9684770875936
13,exflow,0.9,158.5071851902135
14,harmony,0.9,217.14335437567382
