,scheduling_policy,router_skew,throughput (toks/s)
0,deepspeed,0.0,23.33975592274446
1,drop,0.0,32.888568668382895
2,even_split,0.0,21.959968191702544
3,exflow,0.0,23.61564813432899
4,harmony,0.0,33.03699800272353
5,deepspeed,0.5,15.669539180709377
6,drop,0.5,31.95020767927028
7,even_split,0.5,19.851728359449034
8,exflow,0.5,16.202608155844768
9,harmony,0.5,31.59054409325458
10,deepspeed,0.9,12.652587943455757
11,drop,0.9,31.63360310878436
12,even_split,0.9,19.624314681120055
13,exflow,0.9,12.633251460481661
14,harmony,0.9,29.838334049872554
