,router_skew,system_name,throughput (toks/s)
0,0.0,deepspeed-inference,14.172820846244624
1,0.0,exflow,32.13916934900362
2,0.0,fastermoe,45.607928442239235
3,0.0,fastmoe,45.75607625056685
4,0.0,harmony,45.55730171955023
5,0.5,deepspeed-inference,3.761600440108872
6,0.5,exflow,19.33614044266796
7,0.5,fastermoe,25.61594795376501
8,0.5,fastmoe,25.60825317257442
9,0.5,harmony,36.4577022287726
10,0.9,deepspeed-inference,2.6638781549578425
11,0.9,exflow,14.855234523126752
12,0.9,fastermoe,19.264115172251145
13,0.9,fastmoe,19.210135660128817
14,0.9,harmony,32.763057279005224
