,layer,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),rank,wait latency (ms),other latency (ms)
0,0,113.24385375976563,3.2870399713516236,23.287068557739257,3.630505585670471,3.4200223922729514,35.29167709350586,0,28.548569488525388,15.778970670700076
1,0,113.10530471801758,2.135142369568348,22.288432121276855,4.772297596931457,4.5093825340271,56.64448356628418,1,7.195763015747069,15.559803514182562
2,0,115.8932487487793,5.171609544754029,21.58093433380127,5.922723197937012,4.7077560186386105,62.3479866027832,2,1.4922599792480469,14.669979071617135
3,0,115.22621459960938,4.439654469490051,22.302252960205077,5.125484752655029,4.582806348800659,63.84024658203125,3,0.0,14.935769486427304
4,0,113.52340469360351,2.173439997434616,23.78479995727539,2.8175072073936462,4.723462152481083,56.7418815612793,4,7.098365020751949,16.183948796987522
5,0,112.04249572753906,0.3784704074263573,23.381219100952148,3.8050464153289796,4.492381191253665,57.37576065063477,5,6.4644859313964815,16.145132030546662
6,0,115.00277786254883,5.032960033416748,22.027571296691896,4.894528007507324,4.2731040954589865,52.934012985229494,6,10.906233596801755,14.934367847442616
7,0,116.63441848754883,4.958207988739014,21.75286102294922,6.174694395065307,5.038891863822942,63.26002807617188,7,0.5802185058593707,14.869516634941107
0,1,118.08399353027343,3.8311936020851136,23.338300895690917,3.3465279817581175,8.375250101089481,42.897786712646486,0,20.379578781127925,15.915355455875385
1,1,116.7752182006836,2.067251218855381,22.424454498291016,4.715308809280396,8.664667510986332,56.24710807800293,1,7.03025741577148,15.626170669496062
2,1,117.24676971435547,3.0091263592243194,21.761330986022948,5.251404809951782,9.092764711380005,63.27736549377441,2,0.0,14.854777354001996
3,1,117.27902679443359,3.203071987628937,22.420233535766602,4.65746238231659,8.627930188179018,61.719055557250975,3,1.558309936523436,15.092963206768033
4,1,117.3088249206543,2.5273343876004217,23.87444496154785,2.8069055795669557,8.492995691299438,56.55830078125,4,6.719064712524414,16.32977880686522
5,1,116.0153091430664,0.5581824004650116,23.475065422058105,3.87401921749115,8.532528066635134,56.700735092163086,5,6.576630401611325,16.29814854264258
6,1,117.74750595092773,4.184268808364868,22.127999687194823,4.94662721157074,8.12481088638306,53.50666618347168,6,9.770699310302732,15.086433863639826
7,1,117.15563507080078,2.2753279700875284,21.856454277038573,5.852524781227112,8.944420099258428,63.208111953735354,7,0.06925354003905682,14.949542449414722
0,2,111.38836517333985,2.7517952233552934,23.501161575317383,3.0590400218963625,3.049648857116697,35.48333740234375,0,27.51494369506836,16.028438398242002
1,2,124.04439086914063,15.140864704549312,22.501942443847657,4.414979147911072,3.4454721927642815,57.82772445678711,1,5.170556640625001,15.542851282656201
2,2,124.8840705871582,16.63836156129837,21.813942527770998,5.011846375465393,3.58580801486969,62.99828109741211,2,0.0,14.835831010341664
3,2,125.92691192626953,17.228390836715697,22.390553665161132,4.528310418128967,3.756801223754879,61.300371932983396,3,1.6979091644287152,15.024574685096752
4,2,125.30985107421876,16.206951016187666,23.84599323272705,3.143449592590332,2.6881537914276095,57.40469398498535,4,5.593587112426761,16.427022343873986
5,2,123.05407943725587,13.772493278980255,23.489689445495607,3.5058944463729858,2.8939076423645034,56.881884765625,5,6.116396331787108,16.393813526630396
6,2,126.09321060180665,17.566720008850098,22.191311836242676,4.464112067222596,3.7635904312133786,53.89336929321289,6,9.104911804199219,15.109195160865795
7,2,124.87925720214844,16.135372534394264,21.85562229156494,5.264704036712646,3.6854821920394913,62.508752059936526,7,0.4895290374755845,14.939795050024998
0,3,111.99109115600587,2.899865585565567,23.35859489440918,3.1637728214263916,2.6642705917358356,35.25048904418945,0,28.627713012695317,16.026385205984127
1,3,111.15335693359376,1.8139136373996734,22.436211395263673,4.020492815971375,3.4065816402435267,56.061746978759764,1,7.816455078125003,15.597955387830737
2,3,112.57538604736328,3.4762751936912535,21.715360260009767,4.679244875907898,4.068022441864014,63.87820205688477,2,0.0,14.758281219005582
3,3,112.03317947387696,2.9613056063652037,22.58737258911133,4.340348815917968,3.069048357009889,63.126399230957034,3,0.751802825927733,15.196902048587802
4,3,112.76820449829101,2.872832053899765,23.28653736114502,3.331990385055542,3.283718681335449,55.95806465148926,4,7.920137405395508,16.114923959970483
5,3,110.71098937988282,0.5745664060115814,23.440153694152833,3.2832224130630494,3.1879164218902556,55.91850891113281,5,7.959693145751956,16.346928387880325
6,3,111.89186553955078,3.3221632122993467,22.52118091583252,4.059769558906555,3.0517502784728983,54.38541793823242,6,9.492784118652345,15.058799517154696
7,3,112.14673919677735,2.8407808005809785,21.78768653869629,4.837776041030883,3.8619477033615066,61.89803771972656,7,1.9801643371582074,14.940346056222936
0,4,112.08048629760742,2.9524991869926454,23.430057525634766,2.9128032088279725,3.4980297088623082,35.44894142150879,0,27.736066055297847,16.1020891904831
1,4,111.12663040161132,1.9300351738929749,22.436745643615723,3.5464960098266602,4.435231781005859,57.10195770263672,1,6.083049774169922,15.59311431646347
2,4,112.54876098632812,3.1674368023872375,21.76022071838379,4.933385610580444,4.752589201927184,62.75679664611816,2,0.428210830688478,14.750121176242828
3,4,113.41885528564453,3.528704023361206,22.338892936706543,4.366412806510925,5.019420838356018,63.18500747680664,3,0.0,14.980417203903201
4,4,112.59402236938476,2.27717120051384,23.30884780883789,2.966412830352783,4.821712493896488,56.16352005004883,4,7.021487426757808,16.034870558977133
5,4,110.94343719482421,0.22681599557399745,23.513923263549806,2.912764811515808,4.687926721572879,56.21958694458008,5,6.96542053222656,16.416998925805075
