,layer,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),rank,wait latency (ms),other latency (ms)
0,0,685.9646066518931,8.133474352268072,0.7011470748828008,27.096573682931755,29.41117022587703,588.9083087627704,0,0.0,31.713932553162977
1,0,689.693373460036,12.394732201328644,0.5742079936541044,27.121797194847694,27.013316814716063,109.12212958702675,1,479.78617917574365,33.68101049271911
2,0,675.7044302133413,2.9167458495268455,0.6538609220431402,18.170296669006348,27.96119660597583,110.26038389939528,2,478.6479248633751,37.094021404018804
3,0,696.688481257512,25.14274494464581,0.5731003055205712,15.494099653684176,33.230572040264406,108.65904470590445,3,480.24926405686597,33.33965555062662
4,0,683.5637934758113,7.4732307482224245,0.6157267689704895,19.732039304879997,31.949476682222837,111.10555179302509,4,477.8027569697453,34.88501120874514
5,0,680.1070040189303,10.170682930029356,0.5724307711307819,25.40108299255371,20.58597858135522,108.76459092360277,5,480.1437178391676,34.46851998109082
6,0,693.2135854867788,23.351296184154656,0.5367753826654874,23.370237350463867,23.92672553429236,109.0436501136193,6,479.8646586491511,33.12024227243205
7,0,693.2436687762921,17.832251402047966,0.6228799957495469,23.944694005526028,27.13448627178491,110.05681551419772,7,478.85149324857264,34.80104833841335
0,1,711.9442655123197,0.15745969345936406,0.6170239998744085,27.173452230600212,29.484740844139687,623.5325317382812,0,0.0,30.97905700596482
1,1,722.9655080942007,11.318429506742037,0.47747692236533534,27.260891107412483,29.83992180457483,109.58301309438852,1,513.9495186438927,30.53625701482474
2,1,723.2697096604568,16.515544707958515,0.5063926187845377,18.49978072826679,32.81886790348938,109.02962229802058,2,514.5029094402606,31.39659196367643
3,1,724.6399841308594,18.721634571368877,0.4836799983794873,15.125526171464186,36.84787838275622,109.4079944904034,3,514.1245372478778,29.92873326860945
4,1,718.4102008526141,8.673201359235323,0.48272984532209545,19.719325725848858,35.77175375131458,110.27251434326172,4,513.2600173950195,30.230658432612017
5,1,725.1790020282452,20.747263981745792,0.4834313805286701,25.54294886955848,23.412665147047733,108.20746025672325,5,515.325071481558,31.460160911083335
6,1,722.2466618464543,17.945600289564865,0.49151015740174514,23.200782775878906,27.021719419039187,109.37371268639198,6,514.1588190518893,30.054517466288416
7,1,722.6119032639724,13.148238732264591,0.4845784627474271,24.041961963360126,31.66858790471008,110.39444850041316,7,513.138083237868,29.736004462609003
0,2,678.1866971529447,0.16305230557918546,0.6220455398926368,27.211453511164738,29.454808675325832,589.763913668119,0,0.0,30.97142345286329
1,2,689.5129934457632,11.7045563184298,0.4957464635372162,27.290810878460224,29.802009875957765,111.0030150780311,1,478.7608985900879,30.455956241259173
2,2,689.4481717623197,16.231817979079025,0.5390326151481042,18.38462286729079,32.88900756835932,109.51470477764423,2,480.2492088904748,31.639777064323425
3,2,690.9172175480769,18.789061032808743,0.49248000062428987,15.10981666124784,36.80283267681409,109.91526647714468,3,479.84864719097436,29.959113508462906
4,2,683.9009258563702,8.052105830265926,0.4901267679838034,19.610889654893143,35.87023485623877,111.88650072537936,4,477.8774129427396,30.113655078869556
5,2,691.920889047476,21.231852164635292,0.4987766215434441,25.478057787968563,23.43440099862903,108.51125365037184,5,481.2526600177472,31.513887806580556
6,2,688.982173039363,18.225940044109638,0.5285538389132574,23.1383088185237,26.891238579383185,109.94844495333157,6,479.81546871478747,30.434218090314175
7,2,689.5623849722056,13.784221502450796,0.494392617390706,23.995423757112942,31.64720241840064,110.1367301940918,7,479.6271834740272,29.877231008731428
0,3,676.9771892841046,0.16320984524029952,0.623492928651663,27.07974411891057,29.39541640648475,588.7352576622596,0,0.0,30.980068322557713
1,3,687.4154592660757,10.772243719834547,0.47445908418068516,27.188563640301044,29.76426403339093,110.41009697547325,1,478.3251606867864,30.48067112610886
2,3,688.8124272273137,16.997848730820877,0.5211249177272503,18.45374034001277,32.65582011296192,108.97060423630934,2,479.7646534259503,31.448635463531218
3,3,689.6097247783954,18.846798529991737,0.45599754040057844,15.089582736675556,36.78442382812494,109.68007366473859,3,479.05518399752106,29.69766448094299
4,3,682.8164391150841,8.030365503751314,0.48171815734643203,19.6181881244366,35.741063631497866,111.80631138728215,4,476.9289462749775,30.20984603579234
5,3,690.1418034480168,20.693701083843525,0.5013735386041495,25.580817222595215,23.197091909555297,109.3184086726262,5,479.4168489896334,31.433562031159
6,3,687.7955228365385,18.38844057229849,0.4796652289537283,23.135200353769157,26.943987039419312,110.33445123525766,6,478.40080642700195,30.112971979838107
7,3,687.776841383714,13.183684935936562,0.48776861337515026,23.96003693800706,31.515599764310366,109.53541975754958,7,479.1998379047101,29.894493469825193
0,4,677.9866239107572,0.15572676979578454,0.6093440055847168,27.167478194603554,29.42416741297795,589.7466594989484,0,0.0,30.88324802884688
1,4,688.5018404447115,10.91135021356436,0.46627446092092073,27.198744480426495,29.811906080979554,110.77140221228966,1,478.9752572866587,30.366905709871844
2,4,689.2250131460337,16.32303259922908,0.4950079940832578,18.493978940523586,32.753863701453554,109.42776225163387,2,480.3188972473145,31.412470411795766
3,4,690.683589054988,18.723209674541767,0.48304492235183716,15.036366829505333,36.94904239361102,109.40241153423602,3,480.34424796471234,29.74526573602975
4,4,684.0805264986478,8.410426983466515,0.46386707287568313,19.674067497253418,35.813239170954716,111.62651619544395,4,478.1201433035044,29.97226627514908
5,4,690.8684668907753,20.378545394310585,0.5091963066504552,25.549641609191895,23.324787726769046,109.02146647526668,5,480.7251930236817,31.359636354904865
