,layer,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),rank,wait latency (ms),other latency (ms)
0,0,495.6438928222656,26.066616287231444,0.5668799996376037,18.231142349243164,18.027274169921874,403.7823583984375,0,0.0,28.96962161779402
1,0,498.4464599609375,29.15454963684082,0.5448243188858032,18.200197219848633,18.26834899902343,95.10303283691407,1,308.67932556152346,28.49618138790123
2,0,502.68274780273435,37.5577806854248,0.4778316795825958,9.74282627105713,23.857657165527314,36.43674774169922,2,367.3456106567383,27.26429360270498
3,0,494.42713623046876,28.44930046081543,0.5039193594455719,8.575509796142578,24.333325500488286,28.52200958251953,3,375.26034881591795,28.782722715139414
4,0,471.92305419921877,0.21794815957546232,0.6740223932266235,12.800398139953613,20.874179611206046,24.567326583862304,4,379.2150318145752,33.574147496819535
5,0,499.94068115234376,34.664243621826174,0.5627827215194702,16.102584266662596,17.242931480407663,13.33869441986084,5,390.4436639785767,27.58578066349031
6,0,498.50921020507815,33.19386100769043,0.5350003218650818,15.880418586730958,17.337107315063463,14.048335342407226,6,389.7340230560303,27.780464575290694
7,0,499.79478149414064,31.5684455871582,0.5502566385269165,16.609969940185547,19.860981369018532,28.52962272644043,7,375.2527356719971,27.422769560813947
0,1,460.7908642578125,0.8600371408462525,0.5336806380748749,10.371339569091797,26.3185624694824,39.188865203857425,0,355.67423171997075,27.844147516488988
1,1,466.8519226074219,9.331015682220459,0.47890176057815553,18.448624725341798,15.172354545593237,14.802499809265136,1,380.060597114563,28.557928969860143
2,1,470.63977783203126,13.814825019836427,0.4592960011959076,19.223089904785155,14.79340431213376,9.79736183166504,2,385.0657350921631,27.48606567025189
3,1,473.3353173828125,12.718858184814453,0.46452863931655886,11.342387237548827,24.93543842315671,13.830992622375488,3,381.03210430145265,29.011007974147788
4,1,466.83823852539064,3.73932033598423,0.522488317489624,17.396614227294922,17.03268325805664,394.86309692382815,4,0.0,33.28403546273705
5,1,474.2433178710937,14.462361640930176,0.46047359943389893,18.218869705200195,18.710371551513617,63.32659591674805,5,331.5365010070801,27.52814445018771
6,1,469.6972912597656,13.283123245239258,0.45511295914649963,18.08023307800293,15.294993591308582,102.61693328857422,6,292.24616363525394,27.720731462240224
7,1,465.8813317871094,9.801318359375,0.45692928194999693,8.62035457611084,24.751622314453073,66.75697875976563,7,328.10611816406254,27.38801033139231
0,2,285.7376599121094,11.04433156967163,0.4899084782600403,8.672702751159669,17.319501724243167,17.6206681060791,0,202.1529842376709,28.437563045024888
1,2,287.69746826171877,15.616368713378906,0.494501119852066,10.744195823669434,12.127791290283199,54.388094635009764,1,165.38555770874024,28.940958970785175
2,2,288.4092321777344,16.89067543029785,0.48281599998474123,13.658132514953614,9.776728057861334,43.17738357543945,2,176.59626876831055,27.82722783088684
3,2,287.46235595703126,13.260595169067383,0.47193088293075564,9.010836410522462,15.710219573974626,35.9428092956543,3,183.8308430480957,29.235121576786014
4,2,275.5380432128906,0.18722816050052643,0.6455897665023804,8.922801895141601,11.609579162597669,86.44377258300781,4,133.3298797607422,34.39919188439842
5,2,286.39875,14.144839706420898,0.48843135952949523,10.78296184539795,13.269103698730476,38.88457244873047,5,180.88907989501953,27.939761046171213
