,layer,rank,latency (ms),metadata latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),wait latency (ms),other latency (ms)
0,0,0,35441.8583984375,22372.277221679688,661.4343700408936,450.1964817047119,9702.17465209961,0.0,2255.7756729125977
1,0,1,38729.1728515625,25667.291015625,459.65721321105957,783.9047393798828,2274.193405151367,7427.981246948242,2116.1452312469482
2,0,2,13203.16421508789,9.47404795885086,240.04505920410156,574.0769386291504,862.7036170959473,8839.471035003662,2677.3935171961784
3,0,3,83398.30737304688,70408.21899414062,465.3465633392334,775.711820602417,672.9656352996826,9029.209016799927,2046.8553428649902
4,0,4,43199.16943359375,30113.147827148438,420.91519927978516,849.8002185821533,564.5056018829346,9137.669050216675,2113.1315364837646
5,0,5,39752.09777832031,26765.781982421875,457.32863998413086,785.3804769515991,303.95289516448975,9398.22175693512,2041.4320268630981
6,0,6,43315.16748046875,30315.823120117188,426.33625411987305,785.7233781814575,321.17760181427,9380.99705028534,2085.1100759506226
7,0,7,83956.33618164062,70883.33618164062,441.5764455795288,854.1388759613037,667.1953945159912,9034.979257583618,2075.110026359558
0,1,0,12914.864135742188,19.50412817299366,445.5966739654541,831.7449836730957,928.0215034484863,8586.305583953857,2103.6912625283003
1,1,1,13029.099517822266,211.3597435951233,430.0892219543457,788.4983606338501,347.60498905181885,9166.722098350525,2084.825104236603
2,1,2,13105.553344726562,68.6428162753582,293.8685417175293,559.426531791687,224.85811138153076,9289.468976020813,2669.2883675396442
3,1,3,13189.995483398438,282.5482225418091,428.45388984680176,896.1484880447388,313.40953540802,9200.917551994324,2068.517795562744
4,1,4,13036.470306396484,115.23993554711342,674.2138862609863,425.7566738128662,9514.327087402344,0.0,2306.9327233731747
5,1,5,13197.739044189453,301.8598403930664,492.91571617126465,791.4342041015625,1515.1421508789062,7999.1849365234375,2097.202196121216
6,1,6,13092.044860839844,271.0927357673645,476.9607677459717,674.0572662353516,2454.9222564697266,7059.404830932617,2155.6070036888123
7,1,7,12992.453643798828,175.0261766910553,480.7055377960205,698.4734001159668,1584.8243217468262,7929.502765655518,2123.9214417934418
0,2,0,8581.565460205078,206.04211282730103,425.0777587890625,585.5150518417358,413.40006160736084,4879.051766395569,2072.478708744049
1,2,1,8653.873168945312,349.05906772613525,443.6828136444092,457.00201416015625,1299.3587188720703,3993.0931091308594,2111.677445411682
2,2,2,8649.667510986328,125.02220831811428,210.8661766052246,347.8425407409668,1028.2813529968262,4264.1704750061035,2673.4847573190928
3,2,3,8649.213897705078,273.82374477386475,448.8847370147705,551.9953880310059,844.4712944030762,4447.9805335998535,2082.0581998825073
