,layer,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),rank,wait latency (ms),other latency (ms)
0,0,350.82289306640627,5.26188539147377,0.6111833596229553,14.345873870849609,15.30961929321289,288.69451904296875,0,0.0,26.599812108278286
1,0,353.99127075195315,8.525291516780854,0.5591859209537506,14.175139808654786,15.483294525146476,57.49047775268555,1,231.20404129028321,26.553839937448515
2,0,348.5741882324219,5.873049608469009,0.5917759990692139,9.457163543701173,17.141371459960936,57.943469848632816,2,230.75104919433593,26.8163085782528
3,0,360.16173095703124,18.232975196838378,0.4901414406299591,7.850333499908447,19.200221710205085,57.35974746704102,3,231.33477157592773,25.693540066480637
4,0,349.1906750488281,3.6026777762174604,0.6799552011489868,10.65432830810547,17.368043365478513,58.51219985961914,4,230.18231918334962,28.191151354908925
5,0,347.87860717773435,5.883617265224457,0.569105920791626,13.034455070495605,12.739779205322264,57.46580581665039,5,231.22871322631835,26.95713067293167
6,0,348.6676171875,6.437027924656868,0.6196697568893432,12.144899826049805,13.679581451416027,57.75602432250977,6,230.93849472045898,27.09191918551926
7,0,353.6159130859375,8.729845754504204,0.5999027252197265,12.58158847808838,15.93376403808594,57.870537109375,7,230.82398193359376,27.076293047070465
0,1,363.65217651367186,0.1604812794923782,0.5737126421928406,14.345249290466308,15.357050857543946,306.68010864257815,0,0.0,26.535573801398243
1,1,369.4074279785156,5.88025857925415,0.49438591837882995,14.313178825378419,15.530702972412115,57.83301498413086,1,248.84709365844728,26.50879304051398
2,1,369.65228515625,8.84609022140503,0.5068428790569306,9.533011207580566,17.273162841796818,57.78327209472656,2,248.8968365478516,26.813069363832483
3,1,370.22630004882814,10.187407341003418,0.4742784059047699,7.836940822601318,19.299943542480435,57.50150543212891,3,249.17860321044924,25.747621294260057
4,1,366.78643798828125,3.308830692768097,0.5317900824546814,10.561841926574708,17.73102478027343,58.53854736328125,4,248.1415612792969,27.972841863632198
5,1,370.3445935058594,10.261422023773193,0.5109478402137756,13.293118705749512,12.625500030517571,57.36202651977539,5,249.31808212280276,26.973496263027187
6,1,369.3906311035156,9.112698917388917,0.5095193576812744,12.07832691192627,13.906537933349568,57.90299911499024,6,248.77710952758792,27.10343934059142
7,1,369.19902099609374,6.46795259475708,0.5060454380512237,12.582869796752929,16.16766113281244,57.95224060058594,7,248.72786804199222,26.794383391141878
