,layer,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),rank,wait latency (ms),other latency (ms)
0,0,413.3990417480469,69.30882568359375,13.740713596343994,33.42694435119629,28.674865150451645,183.66893920898437,0,2.386126708984392,82.19262704849245
1,0,380.23362731933594,38.09136619567871,14.848688125610352,26.532147026062013,28.301516723632815,180.8563201904297,1,5.1987457275390625,86.4048433303833
2,0,411.98131408691404,59.64615745544434,14.677734375,39.927808380126955,26.212761306762694,179.06360321044923,2,6.991462707519531,85.4617866516113
3,0,399.0489135742188,59.21740837097168,13.775862407684325,31.59336986541748,26.2865888595581,180.29926147460938,3,5.755804443359381,82.12061815261848
4,0,357.9116577148437,0.25241600126028063,18.14553909301758,33.02461471557617,25.335091209411623,186.05506591796876,4,0.0,95.09893077760927
5,0,416.9739288330078,69.0384895324707,13.617910480499267,33.58996524810791,27.441561508178694,180.6003204345703,5,5.4547454833984546,87.23093614578238
6,0,411.5829711914063,70.95429153442383,12.831763172149659,29.34917106628418,27.553586006164533,183.44263610839843,6,2.6124298095703296,84.83909349441535
7,0,402.43251037597656,52.04858913421631,13.987183952331543,24.181760025024413,27.120334815978985,182.65835723876953,7,3.396708679199236,99.03957653045654
0,1,373.9243560791016,16.581017684936523,12.801001739501952,35.73207054138184,22.27988624572755,201.3264907836914,0,1.4935028076171761,83.71038627624517
1,1,401.1243530273438,24.75038719177246,13.9703200340271,37.637529373168945,34.797875595092776,198.9407745361328,1,3.8792190551757812,87.14824724197388
2,1,378.1366790771484,14.732697486877441,13.654160022735596,38.075494384765626,22.724813652038584,198.4400390625,2,4.379954528808582,86.12951993942261
3,1,403.00482788085935,28.777676582336426,12.841763305664063,39.92975387573242,35.00329055786132,198.79465026855468,3,4.025343322753912,83.63234996795654
4,1,371.7508026123047,0.20244479924440384,17.028438377380372,28.6561279296875,23.104819297790527,202.8199935913086,4,0.0,99.93897861689334
5,1,390.2899169921875,21.95435495376587,12.857321548461915,29.652889442443847,35.215871047973636,195.27208862304687,5,7.547904968261719,87.7894864082337
6,1,384.95017395019534,26.345881938934326,12.071123313903808,32.01126346588135,26.820096397399897,199.54339904785155,6,3.276594543457037,84.8818152427674
7,1,372.33766174316406,15.89473295211792,13.287961673736572,16.193228912353515,31.67744140625002,197.2942855834961,7,5.525708007812483,92.4643032073975
0,2,375.00006713867185,15.202303886413574,18.543267250061035,22.036275100708007,23.75925769805908,210.91297302246093,0,0.0,84.54599018096928
1,2,372.4233764648437,3.6251648545265196,20.071612739562987,27.35933475494385,21.543628501892083,207.9051773071289,1,3.007795715332037,88.91066259145737
2,2,377.2585968017578,15.245516872406006,19.687753677368164,24.98662395477295,19.925502014160156,204.95533905029296,2,5.957633972167969,86.50022726058961
3,2,368.2081756591797,5.887795186042785,18.49147186279297,25.257881736755373,22.46788959503175,202.7568115234375,3,8.156161499023426,85.1901642560959
4,2,376.35267028808596,0.22220800071954727,24.806921577453615,19.35472650527954,21.533902359008806,209.91590576171876,4,0.9970672607421704,99.52193882316351
5,2,374.6597869873047,13.350911903381348,18.437487983703612,23.477248001098634,20.584139633178705,206.28193206787108,5,4.631040954589849,87.89702644348148
