,layer,rank,latency (ms),metadata latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),wait latency (ms),other latency (ms)
0,0,0,12011.634643554688,8090.182678222656,496.64000701904297,306.0060234069824,1818.392593383789,4.22808837890625,1296.1852531433105
1,0,1,7827.577941894531,3900.821502685547,546.9091835021973,285.5864448547363,1777.5739135742188,45.04676818847656,1271.6401290893555
2,0,2,13032.391723632812,9118.115844726562,597.810173034668,256.1535453796387,1762.2916717529297,60.329010009765625,1237.691478729248
3,0,3,45863.4560546875,42012.600341796875,424.35686588287354,307.2706241607666,1776.4341583251953,46.1865234375,1296.6075410842896
4,0,4,10756.343994140625,6827.1268310546875,548.3182067871094,276.0478744506836,1822.6206817626953,0.0,1282.2304000854492
5,0,5,3911.7936096191406,3.6351999938488007,300.99046516418457,299.7319641113281,1780.1257019042969,42.49497985839844,1484.8152985870838
6,0,6,43430.89453125,39497.325927734375,569.7167358398438,293.1189594268799,1789.8219451904297,32.798736572265625,1248.112226486206
7,0,7,9569.363952636719,5704.475677490234,421.7180233001709,316.1947650909424,1802.0228729248047,20.597808837890625,1304.3548049926758
0,1,0,3940.8834533691406,51.191806718707085,382.47014236450195,203.52512168884277,1987.609619140625,14.796798706054688,1301.2899647504091
1,1,1,4151.988220214844,112.88883113861084,385.4295082092285,372.8445472717285,1958.2996673583984,44.10675048828125,1278.4189157485962
2,1,2,4008.8197021484375,130.70438480377197,427.8845405578613,209.0680274963379,1951.4183807373047,50.988037109375,1238.7563314437866
3,1,3,4251.3408203125,212.6315507888794,377.5733833312988,374.66723251342773,1950.9749603271484,51.43145751953125,1284.0622358322144
4,1,4,3901.7901916503906,8.354816228151321,314.9875183105469,250.98649978637695,2002.4064178466797,0.0,1325.0549394786358
5,1,5,4122.001403808594,166.93145370483398,305.52371406555176,378.3157615661621,1928.8401947021484,73.56622314453125,1268.8240566253662
6,1,6,3930.3126831054688,93.0672646611929,367.1377868652344,212.90596199035645,1960.0250854492188,42.38133239746094,1254.7952517420053
7,1,7,3955.962860107422,161.7489938735962,197.44562911987305,285.61916732788086,1949.3078918457031,53.09852600097656,1308.742651939392
0,2,0,3964.1282958984375,70.1624321937561,227.14982414245605,251.21484756469727,2084.0867919921875,0.0,1331.5144000053406
1,2,1,3900.8204650878906,8.074240267276764,265.2999668121338,234.47344970703125,2046.3431549072266,37.74363708496094,1308.8860163092613
2,2,2,3951.4173278808594,143.8935031890869,273.6025581359863,167.1126708984375,2026.1539611816406,57.932830810546875,1282.7218036651611
3,2,3,3832.8422241210938,11.795456022024155,232.91187000274658,161.57901573181152,2007.3083038330078,76.77848815917969,1342.469090372324
4,2,4,3858.5098266601562,61.281280517578125,190.1905918121338,190.06463813781738,2066.5364532470703,17.550338745117188,1332.8865242004395
5,2,5,3877.718994140625,94.78860902786255,236.2920970916748,178.97269248962402,2025.7095947265625,58.377197265625,1283.5788035392761
6,2,6,3941.271514892578,197.7753610610962,223.10911750793457,152.22780990600586,2021.0462493896484,63.04054260253906,1284.072434425354
7,2,7,3983.740966796875,215.34617233276367,181.36166191101074,149.2336483001709,2041.5713195800781,42.515472412109375,1353.7126922607422
0,3,0,3789.5997314453125,3.022847980260849,176.71372890472412,197.0954246520996,2069.4466247558594,0.0,1343.3211051523685
