,layer,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),rank,wait latency (ms),other latency (ms)
0,0,325.035009765625,14.675251251459121,7.94551682472229,24.83488349914551,24.82406864166258,217.5870620727539,0,1.0324432373047046,34.13578423857689
1,0,339.74876098632814,29.555507043004035,8.18085446357727,22.627158451080323,25.23688087463379,214.8532241821289,1,3.7662811279296875,35.5288548439741
2,0,332.8878540039062,21.02548457086086,8.143120098114014,26.86182098388672,22.75410289764403,214.10489807128906,2,4.514607238769543,35.48382014334197
3,0,340.1195526123047,27.838156247138976,7.788313531875611,27.75817584991455,22.670421028137202,214.46409606933594,3,4.155409240722662,35.44498064517984
4,0,341.63005981445315,25.46954293549061,8.231699228286743,27.630736351013184,25.76752624511719,218.6195053100586,4,0.0,35.911049744486775
5,0,343.7756378173828,34.467327976226805,8.058304023742675,25.401593971252442,22.667399787902838,214.3077819824219,5,4.311723327636713,34.561506748199406
6,0,343.4356719970703,34.129408872127534,8.066112041473389,25.028182411193846,21.763757896423346,214.59771423339845,6,4.021791076660151,35.828705465793576
7,0,345.73814086914064,34.92055025100708,7.766723251342773,24.689366340637207,25.638380622863775,214.3706024169922,7,4.248902893066401,34.10361509323121
0,1,319.7971466064453,9.285632061958314,8.111590433120728,25.642153549194337,23.370408439636254,217.32810668945314,0,2.1559661865234148,33.9032892465591
1,1,331.0415893554688,16.661606311798096,8.34587836265564,23.207036781311036,28.546095466613785,215.70279541015626,1,3.7812774658202954,34.79689955711365
2,1,325.3486602783203,14.355865669250488,8.310867309570312,21.918313694000243,25.954066848754888,215.1440216064453,2,4.340051269531244,35.32547388076779
3,1,328.353076171875,16.368435287475585,7.961020851135254,24.251654434204102,25.64834365844728,215.06757202148438,3,4.4165008544921704,34.63954906463624
4,1,319.2855529785156,2.9352960243821142,8.609360027313233,26.42975025177002,26.116300773620605,219.48407287597655,4,0.0,35.71077302545308
5,1,332.1119750976562,21.267455863952637,8.166079998016357,22.900515270233154,25.697653579711933,215.04305114746094,5,4.441021728515608,34.5961975097656
6,1,330.1658630371094,15.935897779464721,8.487513494491576,24.627791786193846,26.228638648986827,215.75948333740234,6,3.7245895385742074,35.40194845199585
7,1,328.3065887451172,15.750860786437988,7.8801344871521,26.557206535339354,24.342987632751466,215.46031494140624,7,4.0237579345703125,34.29132642745975
0,2,318.97057189941404,9.951539294421673,7.997478437423706,25.639554977416992,22.63088855743406,217.4690200805664,0,2.026826477050804,33.2552640751004
1,2,322.93150939941404,12.924723315238953,8.35837426185608,24.188358306884766,22.81962146759031,215.9168502807617,1,3.5789962768554915,35.144585490226746
2,2,323.46788330078124,14.96125432252884,8.194214391708375,21.236256217956544,24.245587539672847,215.8667205810547,2,3.6291259765625057,35.33472427129749
3,2,329.7786895751953,16.85012493133545,7.868492841720581,27.374512100219725,23.143081665039045,215.1614242553711,3,4.334422302246111,35.046631479263226
4,2,317.4131713867188,2.6270720273256303,8.427375984191894,25.861615943908692,25.2182523727417,219.4958465576172,4,0.0,35.78300850093365
5,2,327.716357421875,19.32953586578369,8.114697647094726,22.11538553237915,24.207109451293924,215.35894317626952,5,4.136903381347679,34.45378236770631
6,2,319.8822418212891,11.61779194921255,8.222982406616211,22.845798397064208,22.245666313171387,215.99589996337892,6,3.4999465942382812,35.45415619760752
7,2,324.82457580566404,13.843148565292358,7.799740934371949,25.795494651794435,23.71208229064941,216.07919921875,7,3.416647338867193,34.17826280593874
0,3,317.6590301513672,7.207731258869171,7.742032051086426,25.0253662109375,23.81040477752685,218.07373657226563,0,2.0095504760742244,33.7902088046074
1,3,326.2319580078125,12.73866229057312,8.04422082901001,23.906045055389406,25.708557701110824,215.39727172851562,1,4.686015319824236,35.75118508338937
2,3,324.8675842285156,13.434982442855835,8.008419227600097,23.527382564544677,23.78437919616699,215.3766067504883,2,4.7066802978515625,36.02913374900817
3,3,329.17974853515625,12.647935914993287,7.630495929718018,27.6029372215271,26.20696277618406,215.05108184814452,3,5.032205200195335,35.00812964439393
4,3,317.4286315917969,0.34570239633321764,8.336783933639527,26.589907264709474,25.675775718688964,220.08328704833986,4,0.0,36.39717523008585
5,3,331.1383514404297,18.703667211532593,7.841782331466675,25.852953338623045,24.231833267211908,215.66636505126954,5,4.416921997070318,34.42482824325555
6,3,329.87913818359374,14.052044889330864,8.039199924468994,27.500054359436035,24.66261405944822,216.18121643066405,6,3.902070617675804,35.541937902569714
7,3,325.0910247802734,11.92960021495819,7.57075834274292,26.540867424011232,25.373506546020497,216.1570816040039,7,3.926205444335949,33.59300520420072
0,4,320.58583374023436,8.135475170612334,7.43373122215271,24.616115188598634,26.418693923950194,218.3962387084961,0,1.5501251220703125,34.03545440435414
1,4,321.7753051757812,11.91669740229845,7.795961570739746,24.41363182067871,21.98834075927733,215.90298614501953,1,4.043377685546886,35.714309792220604
2,4,326.39190979003905,12.516351898014545,7.667939281463623,25.083663940429688,25.460817337036133,215.4829315185547,2,4.463432312011719,35.71677350252867
3,4,323.093603515625,11.695615863800048,7.337081575393677,24.430588722229004,24.98387718200683,215.60462188720703,3,4.341741943359381,34.70007634162903
4,4,314.764697265625,1.3140992268919944,7.871209526062012,25.700032329559328,24.026521492004395,219.9463638305664,4,0.0,35.90647086054088
5,4,327.85899353027344,16.98232297897339,7.56124792098999,23.63325138092041,25.08765258789062,215.57169342041016,5,4.374670410156256,34.64815483093264
6,4,322.0587524414062,9.314816033840179,7.642230415344239,24.652892875671387,25.093299674987794,215.88607635498047,6,4.0602874755859375,35.409149610996224
