,layer,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),rank,wait latency (ms),other latency (ms)
0,0,299.78859558105466,4.639027237892151,0.4077760010957718,12.244054412841797,12.34333438873291,254.9879592895508,0,0.0,15.166444250941254
1,0,299.6895751953125,4.152627182006836,0.39622720181941984,11.930521583557129,12.640872907638567,5.275871992111206,1,249.71208729743958,15.581367030739784
2,0,298.63075561523436,5.329510450363159,0.3916575998067856,6.195718383789062,16.331397151947016,5.2051520347595215,2,249.78280725479127,15.394512739777554
3,0,298.3314453125,4.776243209838867,0.39377919435501096,4.191030359268188,18.31826729774471,5.196265649795532,3,249.79169363975527,15.66416596174247
4,0,300.1177062988281,4.3264000415802,0.39505280554294586,6.146115159988403,18.289777278900175,5.244051265716553,4,249.74390802383422,15.972401723265648
5,0,296.479638671875,3.452006423473358,0.38253760039806367,11.621593570709228,10.990642976760853,5.343536043167115,5,249.64442324638367,15.044898810982716
6,0,295.4160125732422,0.17735680043697355,0.5176992028951645,8.103072118759155,12.654781246185308,5.164639949798584,6,249.8233193397522,18.975143915414833
7,0,299.9137268066406,4.470681643486023,0.4015744000673294,8.291254234313964,16.177832651138317,5.196719980239868,7,249.79123930931092,15.584424588084175
0,1,287.3645050048828,0.382259202003479,0.4291743963956833,12.241510200500489,12.306441593170167,246.95689086914064,0,0.0,15.048228743672325
1,1,288.7234588623047,1.3290496498346331,0.4258848041296005,11.986086368560791,12.563801813125622,5.22902398109436,1,241.72786688804626,15.46174535751345
2,1,289.6163848876953,4.352409529685974,0.4679104000329971,6.201113605499268,16.33162627220156,5.1678719997406,2,241.78901886940002,15.306434211134842
3,1,289.4633026123047,4.114636826515198,0.3558144003152847,4.15437126159668,18.338340759277344,5.331523132324219,3,241.62536773681643,15.543248495459522
4,1,289.68396911621096,1.8884608447551727,0.38107200562953947,6.159231948852539,18.279407501220703,5.240924835205078,4,241.71596603393556,16.018905946612392
5,1,287.4382354736328,2.6102783560752867,0.36491200029850007,11.793218994140625,10.957579135894775,5.325430393218994,5,241.63146047592164,14.755356118083
6,1,289.5740966796875,2.4196095734834673,0.3770336002111435,8.193177747726441,12.720600605010986,5.164684772491455,6,241.79220609664918,18.90678428411485
7,1,289.45029296875,2.074009558558464,0.35280960500240327,8.304780769348145,16.2469322681427,5.161974382400513,7,241.79491648674014,15.514869898557606
0,2,286.1248443603516,0.4203519940376282,0.41365759670734403,12.199743938446044,12.298966312408448,245.6569061279297,0,0.0,15.135218390822445
1,2,286.48888244628904,0.5014528147876263,0.3937631994485855,11.858307266235352,12.573249530792225,5.256185626983642,1,240.40072050094605,15.50520350709553
2,2,287.2359893798828,3.502899169921875,0.35548160076141355,6.202531242370606,16.487749147415144,5.432025575637818,2,240.22488055229186,15.030422091484127
3,2,287.4358825683594,3.4606079339981077,0.3594400018453598,4.174572849273682,18.12985153198244,5.051103973388672,3,240.605802154541,15.654504123330128
4,2,287.4062835693359,1.0501120120286942,0.3486336052417755,6.202374505996704,18.064331531524658,5.278732776641846,4,240.37817335128784,16.08392578661443
5,2,285.5564270019531,2.1578752040863036,0.3526111990213394,11.58396806716919,11.094146013259888,5.334732866287231,5,240.32217326164246,14.710920390486706
6,2,287.4231811523438,1.413324812054634,0.38022719919681547,8.217904186248779,12.537086725234985,5.17105278968811,6,240.48585333824158,19.21773210167885
7,2,287.2019012451172,1.301913598179817,0.3558912009000778,8.347817707061768,16.177199649810802,5.142508792877197,7,240.51439733505248,15.362172961235046
0,3,294.05347900390626,0.8430592060089112,0.3643328011035919,12.27991361618042,12.318515205383301,253.29901428222655,0,0.0,14.94864389300352
1,3,294.06904296875,0.4051968060433865,0.41908799707889555,11.909296035766602,12.495206356048612,5.203372859954834,1,248.0956414222717,15.541241491585993
2,3,294.8409393310547,3.4624512434005736,0.347817599773407,6.185420799255371,16.36303753852843,5.184166383743286,2,248.11484789848328,15.183197867870376
3,3,295.1607269287109,3.5288064241409303,0.35010879933834077,4.119814348220825,18.30506854057313,5.148803281784057,3,248.15021100044248,15.557914534211136
4,3,294.7789794921875,0.7445503965020179,0.37921920120716096,6.188396787643432,17.99428505897521,5.188953638076782,4,248.11006064414977,16.173513765633118
5,3,293.07862548828126,1.9454976201057435,0.35170239508152007,11.501094532012939,11.1688974380493,5.1817728042602536,5,248.1172414779663,14.812419220805225
6,3,294.83356018066405,1.318809586763382,0.3765439987182617,8.280329608917237,12.52518544197082,5.328575944900512,6,247.97043833732604,19.033677262067783
7,3,294.73146667480466,1.079091203212738,0.36062079966068267,8.325100898742676,16.07812108993531,5.136310482025147,7,248.1627038002014,15.589518401026737
0,4,296.0935943603516,1.018675185739994,0.38099520206451415,12.215475273132324,12.328086376190186,255.1471374511719,0,0.0,15.00322487205267
1,4,297.0220520019531,1.3645823746919632,0.38872959911823274,11.871190452575684,12.55789499282838,5.284124851226807,1,249.86301259994508,15.692517131566944
2,4,297.94171142578125,4.778803157806396,0.347763204574585,6.1972479820251465,16.25338363647458,5.155484771728515,2,249.99165267944338,15.217375993728638
3,4,297.9455993652344,4.44026882648468,0.35474880039691925,4.114339232444763,18.34062781333921,5.171337652206421,3,249.97579979896545,15.548477241396938
4,4,297.75298767089845,1.747456043958664,0.37899839878082275,6.186207962036133,18.104027700424183,5.1263360500335695,4,250.02080140113833,16.18916011452677
5,4,296.1086456298828,3.135692799091339,0.3384799987077713,11.505865478515625,11.120574188232439,5.256998443603516,5,249.89013900756837,14.860895714163746
6,4,298.0262908935547,2.672537624835968,0.36174399554729464,8.264467144012452,12.59736685752867,5.130777502059937,6,250.01635994911194,18.983037820458435
7,4,297.80736083984374,2.20446714758873,0.3956127971410751,8.400761604309082,15.986706686019886,5.240121603012085,7,249.9070158481598,15.672675153613056
0,5,294.0165069580078,0.5138432018458843,0.3964191973209381,12.27404489517212,12.31732473373413,253.51075744628906,0,0.0,15.0041174836457
1,5,307.7835723876953,13.7559038490057,0.40662079453468325,11.853164958953858,12.557070684433,5.336259222030639,1,248.17449822425843,15.700054654479004
2,5,308.51829833984374,17.021849870681763,0.39457600116729735,6.189193630218506,16.517476701736427,5.421129655838013,2,248.08962779045106,14.884444689750637
3,5,308.53724060058596,16.50288591384888,0.3910336047410965,4.14902400970459,18.25181417465211,5.124998378753662,3,248.3857590675354,15.731725451350258
4,5,308.56202087402346,14.218853724002837,0.38318720161914827,6.174271965026856,18.168953895568848,5.306377601623535,4,248.20437984466554,16.105996641516697
5,5,306.6927062988281,15.251763081550598,0.3573855996131897,11.538895988464356,11.167891645431524,5.201132917404175,5,248.30962452888488,14.866012537479378
6,5,308.72658081054686,15.001701813936233,0.37748159766197203,8.2340256690979,12.681999015808117,5.1405439376831055,6,248.37021350860596,18.92061526775359
7,5,308.4142578125,14.356070962548255,0.3650687992572784,8.317878341674804,16.16007938385013,5.200483131408691,7,248.31027431488036,15.7044028788805
0,6,12.415487957000732,0.6863872095942497,0.36960639953613283,0.4761216014623642,0.1299712002277374,2.0174367904663084,0,0.0,8.735964755713939
1,6,12.384768009185791,0.5699583992362023,0.3915104031562805,0.27885120585560796,0.05328000262379673,0.27279679849743843,1,1.74463999196887,9.073731207847596
2,6,14.908518600463868,3.431936001777649,0.3541087985038757,0.32233920693397516,0.09570559263229383,0.23479359745979306,2,1.7826431930065154,8.686992210149766
3,6,14.497587203979492,2.6379264116287233,0.41307840049266814,0.1946271993219852,0.07064321041107191,0.3619904011487961,3,1.6554463893175124,9.163875191658736
4,6,12.521983909606934,0.5055487960577011,0.37714239954948425,0.3309407964348793,0.002041606605053259,0.3614271983504295,4,1.6560095921158788,9.288873520493508
5,6,14.371942234039306,3.0923775911331175,0.35127040147781374,0.3804415948688984,0.11104958951473254,0.33047039806842804,5,1.6869663923978804,8.419366266578436
6,6,14.164070320129394,0.507187195122242,0.4217216044664383,0.15240320116281506,-0.6674655608832833,0.19243840053677555,6,1.8249983899295328,11.732787089794874
7,6,12.392345523834228,0.6770688042044639,0.37549119591712954,0.3327328003942966,0.10021122246980685,0.3808704033493996,7,1.636566387116909,8.889404710382223
0,7,13.596364784240723,1.9775487899780273,0.33709760308265685,0.4494912028312683,0.53975680321455,1.8329696297645568,0,0.0,8.459500755369664
1,7,14.013542461395264,2.1823488116264342,0.35537920594215394,0.2225152000784874,0.3862527519464496,0.21702400147914883,1,1.6159456282854079,9.034076862037182
2,7,14.04231662750244,2.592972826957703,0.32291520237922666,0.3686336040496826,0.5091551728546619,0.3142239935696125,2,1.5187456361949443,8.41567019149661
3,7,13.945241451263428,2.139033579826355,0.3292928010225296,0.22530880048871035,0.4146367691457271,0.15641920194029807,3,1.6765504278242587,9.003999871015548
4,7,13.977190303802491,1.977139163017273,0.3333696037530899,0.1782687976956367,0.39614077284932137,0.1347999997437,4,1.6981696300208569,9.259302336722612
5,7,13.998387050628661,2.678783988952637,0.34699839949607847,0.25080320015549656,0.4626208014786244,0.527545615285635,5,1.3054240144789218,8.426211030781268
6,7,13.65719051361084,0.14008320122957224,0.4393120050430298,0.14670079946517944,-0.162697624415159,0.29498240277171134,6,1.5379872269928454,11.26082250252366
7,7,14.026444721221925,2.3539711952209474,0.32427200078964236,0.2155552022159099,0.4497759886085988,0.5615136116743088,7,1.271456018090248,8.84990070462227
0,8,13.141094398498534,2.0088832139968873,0.47962560057640075,0.43742079883813856,0.11995519995689388,1.478611207008362,0,0.0,8.616598378121852
1,8,13.317529678344727,2.1155840158462524,0.3954176038503647,0.3348384015262127,0.024662365019321397,0.2026623979210853,1,1.2759488090872766,8.968416085094212
2,8,13.352448081970214,2.3970815658569338,0.39546879529953005,0.3322623997926712,0.06865599602460848,0.2138656005263328,2,1.264745606482029,8.68036811798811
