,layer,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),rank,wait latency (ms),other latency (ms)
0,0,299.84470825195314,7.046860790252685,0.3590719968080521,12.318150424957276,12.244697570800781,253.3103515625,0,0.0,14.565575906634365
1,0,296.6191070556641,3.446067225933075,0.38366399705410004,12.015648078918456,12.505256175994873,5.247584056854248,1,248.06276750564575,14.958120015263546
2,0,296.169677734375,5.214003229141236,0.3661664009094238,6.181356763839721,16.361909770965582,5.095494365692138,2,248.21485719680786,14.735890007019066
3,0,293.6333312988281,0.20715520083904262,0.49225600361824035,4.01744647026062,16.422684955596935,5.183228778839111,3,248.12712278366087,19.183437106013287
4,0,297.61802368164064,4.740300822257995,0.3843872010707855,6.131225633621216,18.449770593643194,5.193731164932251,4,248.11662039756774,14.60198786854744
5,0,293.3913635253906,2.487091213464737,0.38877759873867035,11.656857681274413,10.779457473754888,5.331596755981446,5,247.97875480651854,14.768827995657887
6,0,295.5510772705078,4.148326444625854,0.3868160039186478,8.797884845733643,13.492398071289074,5.075856018066406,6,248.23449554443357,15.415300342440617
7,0,297.3156341552734,3.7320703983306887,0.3755520015954971,8.79766092300415,15.515067195892357,5.142275142669678,7,248.1680764198303,15.584932073950768
0,1,286.0228637695312,0.47206400483846667,0.3547103971242905,12.303856086730956,12.260841464996338,246.13580169677735,0,0.0,14.49559011906382
1,1,287.4661865234375,1.5288319677114486,0.398406395316124,11.99066228866577,12.506093168258673,5.226851224899292,1,240.90895047187806,14.906391006708134
2,1,288.1391571044922,4.569600057601929,0.3578687995672226,6.190742444992066,16.345203828811634,5.135203218460083,2,241.00059847831727,14.539940276742016
3,1,288.36484985351564,2.120908808708191,0.37043199837207796,4.044067215919495,16.527961063384993,5.081145572662353,3,241.05465612411498,19.16567907035352
4,1,288.19056396484376,2.4679424107074737,0.35305280089378355,6.139638423919678,18.419856214523293,5.219168043136596,4,240.91663365364076,14.674272418022156
5,1,286.3303680419922,2.532761570811272,0.38395199477672576,11.580051231384278,10.828502178192139,5.271449565887451,5,240.8643521308899,14.869299370050442
6,1,288.2251800537109,4.126515197753906,0.35081279575824736,8.826988887786865,13.515684223175043,5.116560077667236,6,241.01924161911012,15.269377252459492
