,layer,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),rank,wait latency (ms),other latency (ms)
0,0,112.42926025390625,6.691225695610046,23.798620796203615,3.3711136102676393,5.834639930725096,14.236364936828613,0,42.19288005828857,16.304415225982666
1,0,112.73799743652344,6.055219222605229,22.273538970947264,5.385299253463745,7.2294558525085435,50.20989456176758,1,6.219350433349611,15.365239141881489
2,0,113.5531005859375,6.374092762172222,22.754438400268555,5.575811195373535,7.086870241165158,49.78253440856933,2,6.646710586547854,15.332642991840842
3,0,109.43273010253907,3.2184320390224457,22.990355682373046,4.614246392250061,6.1332797050476096,49.40054054260254,3,7.028704452514646,16.04717128872872
4,0,112.9789421081543,6.74570245295763,22.68804473876953,4.462649583816528,7.430592155456543,55.12818908691406,4,1.301055908203125,15.222708182036882
5,0,108.37268600463867,2.017587159574032,22.474982261657715,4.981955194473267,6.58020153045654,49.61480979919433,5,6.814435195922854,15.888714863359922
6,0,110.38320617675781,4.738559973239899,22.751251029968262,4.242976021766663,6.243103551864623,48.572380447387694,6,7.856864547729494,15.978070604801175
7,0,114.78722457885742,5.583462429046631,23.38684501647949,5.146559953689575,7.904972851276398,56.42924499511719,7,0.0,16.33613933324814
0,1,106.8387321472168,3.831193685531616,23.298307037353517,5.039587211608887,2.3202081680297866,7.721238517761231,0,48.52078380584717,16.107413721084598
1,1,119.46731491088867,15.36143377572298,22.636217498779295,5.773641657829285,3.8693316221237204,49.74222755432129,1,6.4997947692871065,15.584668032824993
2,1,119.57780380249024,15.69003547281027,23.680655860900877,4.768867230415344,3.4179327487945557,49.44811515808105,2,6.793907165527344,15.778290165960797
3,1,121.19040069580078,16.72202209830284,24.021715354919433,4.517315149307251,3.255373048782353,49.04092178344727,3,7.2011005401611285,16.431952720880503
4,1,121.15066757202149,17.238425195217133,22.72541751861572,5.438086318969726,4.152953147888188,54.82584915161133,4,1.416173171997066,15.353763067722326
5,1,120.07946243286133,15.210393705964089,22.406896018981932,6.13840639591217,4.197737789154054,49.570000076293944,5,6.672022247314452,15.884006199240702
6,1,121.44210052490234,17.712741804122924,22.75546226501465,5.464400029182434,3.2701158046722405,48.9816291809082,6,7.260393142700195,15.997358298301705
7,1,119.36286697387695,14.057267220318318,23.397641563415526,5.841488027572632,3.6753408432006838,56.242022323608396,7,0.0,16.149106995761386
0,2,107.70370483398438,3.3014783799648284,24.77120304107666,3.553881597518921,2.7804672241210966,8.087260818481445,0,48.20539207458496,17.00402169823647
1,2,106.1979133605957,1.6376832097768783,22.60201301574707,6.636252689361572,3.3903583526611385,49.87657279968262,1,6.416080093383783,15.638953199982652
2,2,107.83232116699219,3.4751488089561464,22.77281265258789,6.045580792427063,3.882719993591314,49.29762573242188,2,6.995027160644526,15.363406026363378
3,2,108.34298934936524,2.956697577238083,23.1486177444458,6.179318380355835,3.7025670528411876,48.76480712890625,3,7.527845764160155,16.063135701417934
4,2,108.1027587890625,3.1489023923873902,22.690879821777344,6.349951958656311,4.265472054481506,56.2926528930664,4,0.0,15.354899668693548
5,2,105.63788757324218,0.3058687999844551,23.249232482910156,5.217126441001892,4.33748474121094,49.90496635437012,5,6.387686538696286,16.23552221506833
6,2,108.22707138061523,3.1759360074996947,22.908358573913574,5.412067294120789,4.284096097946172,49.40593299865723,6,6.886719894409175,16.153960514068586
7,2,107.26441040039063,1.9632128074765205,23.326611328125,5.940326356887818,3.465289402008059,55.21701431274414,7,1.0756385803222628,16.27631761282683
0,3,117.83280563354492,2.516275145113468,25.4911169052124,2.9284640073776247,14.136124372482303,30.886003065109254,0,24.300406694412228,17.574415443837637
1,3,116.96660614013672,2.033049628138542,22.37854747772217,7.086844897270202,14.603695869445808,49.41742057800293,1,5.768989181518549,15.678058508038504
2,3,116.99599151611328,3.0062592148780825,22.711312103271485,6.535539221763611,14.27324738502503,50.42175636291504,2,4.764653396606441,15.283223831653586
3,3,117.3277687072754,2.426265597343445,23.025171089172364,5.953907132148743,14.610259485244757,50.47092170715332,3,4.715488052368158,16.125755643844613
4,3,117.5359489440918,2.9065215826034545,22.879478454589844,6.780726385116577,14.374665355682378,54.729766082763675,4,0.4566436767578068,15.408147406578053
5,3,115.17009887695312,0.3301375985145569,22.550624084472656,6.527145576477051,14.480165576934816,48.468034744262695,5,6.718375015258786,16.095616281032548
6,3,116.8192512512207,2.8387328386306763,22.813090896606447,5.785791993141174,14.284102392196655,49.51254730224609,6,5.673862457275391,15.911123371124262
7,3,117.17058563232422,1.9508223980665207,23.385734176635744,5.975737571716309,14.343373084068299,55.18640975952148,7,0.0,16.328508642315853
0,4,106.42841567993165,1.9254271745681764,23.965270614624025,6.016614365577698,2.0610626220703097,8.515875244140625,0,47.5241439819336,16.420021677017218
1,4,154.54535675048828,49.03833673000336,22.457359886169435,7.447916722297668,3.934703922271723,50.382403182983396,1,5.657616043090826,15.62702026367188
2,4,156.59847564697264,50.49384894520044,24.15475196838379,5.4912543296813965,3.611529159545892,49.41564445495605,2,6.62437477111817,16.807072018086927
3,4,156.06886138916016,49.87033633887768,23.907030296325683,5.968540787696838,3.6775972604751566,49.85711097717285,3,6.18290824890137,16.605337479710585
4,4,156.73692169189454,50.6065911769867,22.873699188232422,7.7433504343032835,4.032566606998439,55.32962265014648,4,0.7103965759277386,15.440695059299458
5,4,153.55975646972655,48.41471943855286,22.486704063415527,7.946627187728882,2.628725957870479,49.136841201782225,5,6.9031780242919965,16.042960596084583
6,4,155.91505966186523,50.83484157621861,23.483625602722167,6.5241952419281,2.504531049728394,48.83549423217774,6,7.204524993896484,16.52784696519373
7,4,156.64813919067382,49.74428129196167,23.235785675048827,7.187513518333435,4.396441578865051,56.04001922607422,7,0.0,16.044097900390625
0,5,104.79513626098633,2.9409279942512514,24.039097595214844,3.146355223655701,2.545236206054689,7.211571121215821,0,48.305087661743165,16.606860458850846
1,5,104.25415573120117,1.538355204463005,22.553478240966797,5.144079971313476,3.7328030586242704,50.81037063598633,1,4.706288146972653,15.768780472874639
2,5,104.20510711669922,2.0318207919597624,22.89034252166748,5.433523154258728,2.981616497039793,48.99965133666992,2,6.517007446289064,15.351145368814485
3,5,104.95959167480468,2.0393984079360963,23.155007934570314,4.6859839916229244,3.492048788070681,48.95016021728516,3,6.566498565673825,16.070493769645694
4,5,104.60549087524414,2.0426752150058745,23.0947904586792,4.309436726570129,4.206147313117978,55.48887329101562,4,0.027785491943362217,15.43578237891198
5,5,103.50981063842774,1.0572799757122993,22.591391944885252,5.062272047996521,3.2796322345733664,48.63350067138672,5,6.883158111572264,16.002575652301303
6,5,105.07284469604492,3.065548801422119,22.905939292907714,4.399183964729309,2.9561674118041967,48.59757499694824,6,6.919083786010745,16.229346442222592
7,5,104.54476776123047,0.7571455910801888,23.59950065612793,4.580844831466675,3.895603156089783,55.516658782958984,7,0.0,16.195014743506917
0,6,18.71964168548584,3.4490368127822877,0.8031327962875366,0.37607360184192656,0.15183040052652358,4.412959933280945,0,0.0,9.52660814076662
1,6,17.08595199584961,2.5716736137866976,0.7974272012710572,0.29822720363736144,0.04499530792236328,2.237321615219116,1,2.1756383180618286,8.960668735951185
2,6,17.477222633361816,1.989324814081192,0.8624256014823913,0.20859840065240856,-0.2507167294621466,2.3224128007888796,2,2.0905471324920653,10.254630613327027
3,6,17.057177543640137,2.204057605564594,0.8370368003845214,0.31213120371103287,-0.03776953220367418,2.3779232025146486,3,2.035036730766296,9.328761532902718
4,6,17.161011123657225,2.7362304121255874,0.7871039986610413,0.31995520144701006,0.08832330703735325,2.336876833438873,4,2.0760830998420716,8.816438271105289
5,6,17.423769378662108,2.7968511804938316,0.805481594800949,0.2719039969146252,0.087260901927948,2.3791648387908935,5,2.0337950944900514,9.04931177124381
6,6,17.872793674468994,2.4585215717554094,0.8642752051353455,0.18964800089597697,-0.2487295627593995,2.1848031878471375,6,2.2281567454338074,10.196118526160717
7,6,16.274739360809328,1.56631041765213,0.8153024077415466,0.3060352005064487,0.07934405803680411,2.3766016006469726,7,2.0363583326339723,9.094787343591454
0,7,16.985600185394286,0.8980480238795281,0.8700064063072205,0.3665055990219116,0.13972479701042173,3.839785599708557,0,0.0,10.871529759466647
1,7,17.15845136642456,3.0882815957069396,0.7698816001415253,0.3249984011054039,0.20743997097015376,2.117791974544525,1,1.721993625164032,8.928064198791981
2,7,17.09629430770874,2.2341632321476936,0.7655551970005036,0.2248864009976387,0.3670559823513031,2.3596191883087156,2,1.4801664113998414,9.664847895503042
3,7,17.24354543685913,2.8871679663658143,0.711190402507782,0.17860480099916454,0.40368322134017953,2.123859226703644,3,1.7159263730049132,9.223113445937631
4,7,17.29986572265625,3.296051174402237,0.6975040078163147,0.23983359709382057,0.34596478939056396,2.0452736020088196,4,1.7945119976997375,8.880726554244756
5,7,17.098546981811523,2.427596753835678,0.7482368052005768,0.33336000367999075,0.19474237561225904,2.1746559739112854,5,1.6651296257972716,9.554825443774462
6,7,17.107456111907958,1.5489023864269256,0.8100064039230347,0.1896448008716106,0.13194240331649776,2.2700512051582336,6,1.5697343945503235,10.587174517661332
7,7,17.25736951828003,2.8675072252750398,0.741535997390747,0.3169695973396301,0.25379519462585476,2.111417603492737,7,1.72836799621582,9.237775903940202
0,8,16.834662246704102,1.486028777807951,0.8112896144390106,0.36014080196619036,0.1452032014727592,3.6548256158828734,0,0.0,10.377174235135318
1,8,16.8759295463562,3.0433280557394027,0.6818943858146668,0.215686397254467,0.3328767895698548,2.0706016063690185,1,1.584224009513855,8.947318302094937
2,8,16.81141757965088,1.8989056199789047,0.7443039953708649,0.19999680146574975,0.2058911800384522,2.1461951971054076,2,1.5086304187774657,10.107494366914034
3,8,16.916685009002684,2.6238976269960403,0.7186271965503692,0.3352543979883194,0.14404158592224148,2.252281606197357,3,1.4025440096855162,9.44003858566284
4,8,17.0089469909668,3.3228799998760223,0.663235205411911,0.3691968061029911,0.26954240202903756,2.1253472208976745,4,1.5294783949851989,8.729266961663962
