,layer,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),rank,wait latency (ms),other latency (ms)
0,0,110.24824371337891,2.5228288024663925,22.355737495422364,4.908063983917236,2.264715743064876,3.458073592185974,0,59.73384687900543,15.004977217316636
1,0,111.83667373657227,2.4474624365568163,22.28305587768555,4.512515187263489,4.017308044433589,54.468479537963866,1,8.723440933227543,15.384411719441403
2,0,111.80298233032227,1.4744575947523118,23.251753997802734,4.410329556465149,3.5483203411102284,60.74713668823242,2,2.444783782958986,15.92620036900044
3,0,112.87408752441407,2.8893183946609495,23.40187168121338,3.902623987197876,3.5097598075866703,51.12097282409668,3,12.070947647094727,15.978593182563785
4,0,112.04290466308593,3.062783969938755,21.664073371887206,4.986790323257447,4.214534139633176,60.22479057312012,4,2.967129898071292,14.922802387177938
5,0,110.71262817382812,0.49356798455119133,22.507414245605467,4.70667519569397,4.5333503723144535,63.19192047119141,5,0.0,15.279699904471627
6,0,112.02990112304687,3.920691192150116,21.737743949890138,5.089318442344665,3.1157053947448716,50.2572322845459,6,12.93468818664551,14.974521672725672
7,0,112.66171035766601,2.185625597834587,22.59313907623291,5.413791966438294,3.896368026733393,61.8954532623291,7,1.2964672088623104,15.380865219235403
0,1,115.94915771484375,4.468940794467926,22.441484642028808,4.611401629447937,6.224692177772518,12.011014580726624,0,50.79536244869232,15.396261441707622
1,1,114.6576904296875,1.9127296432852745,22.557225608825682,3.9024320363998415,7.814246940612794,53.686099243164065,1,9.120277786254881,15.664679171144968
2,1,114.95690383911133,1.9115008115768433,23.294815826416016,3.687062382698059,7.284845542907714,61.616672134399415,2,1.1897048950195312,15.972302246093761
3,1,115.0906364440918,2.4879104137420653,23.42967987060547,3.4979424238204957,6.945242404937744,50.58457298278809,3,12.221804046630858,15.923484301567086
4,1,115.84071655273438,3.642367935180664,21.790726470947266,4.981932806968689,7.667459940910341,59.76634902954102,4,3.0400279998779283,14.951852369308469
5,1,113.3805549621582,0.5408767908811569,22.61232986450195,4.390537619590759,7.55608332157135,62.80637702941895,5,0.0,15.474350336194036
6,1,116.42675247192383,4.3423743605613705,21.854361534118652,4.733628749847412,7.485424613952638,51.09290237426758,6,11.713474655151366,15.204586184024805
7,1,114.92034530639648,1.8245632246136665,22.707017707824708,4.717859172821045,7.387651896476745,62.1524959564209,7,0.6538810729980469,15.47687627524138
0,2,110.48509292602539,3.306086429953575,22.447452735900878,4.574374437332153,2.409545254707332,3.5761056184768676,0,59.07826564311981,15.093262806534767
1,2,123.1032325744629,14.705971571803094,22.389724731445312,4.359247946739197,3.4572161674499498,54.04923858642578,1,8.6051326751709,15.536700895428666
2,2,123.88997268676758,15.068262726068497,23.371411514282226,3.580636811256409,3.121152186393739,60.90747222900391,2,1.746899032592772,16.094138187170017
3,2,124.81863784790039,15.595110213756561,23.506860733032227,3.3762879848480223,3.782457542419431,50.656512069702146,3,11.997859191894534,15.903550112247473
4,2,124.1931770324707,16.03020796775818,21.801571083068847,4.900291132926941,3.9276450872421282,60.945949172973634,4,1.7084220886230455,14.879090499877933
5,2,122.61304244995117,13.656576430797577,22.57087993621826,4.25066876411438,4.069072020053864,62.65437126159668,5,0.0,15.411474037170407
6,2,124.52904968261718,16.264396476745606,21.8390625,4.8729184627532955,3.814262104034425,51.46989402770996,6,11.184477233886717,15.084038877487174
7,2,123.59454879760742,15.15120616555214,22.658467292785645,4.680934429168701,3.085705399513242,60.478329467773435,7,2.176041793823245,15.363864248991007
0,3,110.85701141357421,3.5567615747451784,22.534470558166504,4.43943681716919,2.9974847793579116,4.683263969421387,0,57.46891193389892,15.17668178081513
1,3,110.35566101074218,1.7159167915582656,22.50887985229492,4.1715167760849,4.316806030273437,53.334831619262694,1,8.817344284057619,15.490365657210333
2,3,111.25340270996094,1.9614719718694686,23.41031665802002,3.46353280544281,4.098889589309692,62.15217590332031,2,0.0,16.16701578199863
3,3,110.51888732910156,1.7699839875102044,23.446335983276366,3.4688703536987306,3.6782462120056145,51.500226974487305,3,10.651948928833008,16.003274889290324
4,3,111.13799514770508,2.8743680000305174,21.73725128173828,5.019135999679565,4.40974721908569,59.35915832519531,4,2.793017578125003,14.945316743850725
5,3,108.77706298828124,0.3243008017539978,22.592105674743653,4.313699173927307,4.006166744232179,60.858649826049806,5,1.2935260772705064,15.388614690303797
6,3,110.44485092163086,3.0228480219841005,21.81486396789551,4.908214473724366,3.4669246673584,51.45694694519043,6,10.695228958129881,15.07982388734817
7,3,111.1293960571289,2.3972863510251043,22.65089282989502,4.311932826042176,4.282896542549132,60.892605209350585,7,1.259570693969728,15.334211604297167
0,4,110.3884292602539,3.5091456294059755,22.430182647705077,4.421072053909302,2.7886457920074434,3.402063989639282,0,58.75097632408142,15.086342823505404
1,4,109.28506851196289,1.4191615909337998,22.42495651245117,4.028233623504638,3.8089821815490765,54.13949127197266,1,8.013549041748043,15.450694289803522
2,4,110.69839324951172,1.4286847829818725,23.352867317199706,3.3971007823944093,4.202822184562687,60.668921661376956,2,1.4841186523437457,16.16387786865235
3,4,110.95900115966796,2.184294414520264,23.46199016571045,3.5914560079574587,3.654383468627932,51.091241455078126,3,11.061798858642575,15.913836789131153
4,4,110.7406852722168,2.679500770568848,21.778614044189453,4.874476790428162,4.339734435081485,59.753369903564455,4,2.399670410156247,14.915318918228152
5,4,109.16044692993164,0.4242432028055191,22.59773120880127,4.096022367477417,4.417699193954469,61.477760314941406,5,0.6752799987792955,15.471710643172273
