,layer,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),rank,wait latency (ms),other latency (ms)
0,0,505.0541076660156,3.6000767946243286,0.39427199959754944,12.11687355041504,131.32692108154296,340.45826721191406,0,0.0,17.1576970279217
1,0,499.8033386230469,2.324377627670765,0.4116512030363083,11.720537471771241,129.6610304355621,6.506681680679321,1,333.95158553123474,15.227474673092388
2,0,499.52215270996095,2.3100416153669356,0.4353376001119614,6.241103982925415,133.7176118373871,6.612256002426148,2,333.8460112094879,16.35979046225549
3,0,500.76282958984376,3.4067455887794496,0.4038208037614822,4.297369575500488,136.77757177352908,6.412825679779052,3,334.045441532135,15.419054636359249
4,0,500.55824279785156,3.083776032924652,0.43172159790992737,6.169360065460205,135.45424408912663,6.483577585220337,4,333.9746896266937,14.960873800516083
5,0,499.44268798828125,0.84408318400383,0.45288639664649966,11.674073696136475,130.86392631530765,6.371104049682617,5,334.08716316223143,15.14945118427272
6,0,501.97166442871094,2.9888512074947355,0.4163775980472565,8.941238403320312,133.79111618995665,6.335964822769165,6,334.1223023891449,15.375813817977928
7,0,500.11187133789065,3.6089855551719667,0.3986816018819809,8.97970552444458,131.37661719322205,6.350390386581421,7,334.10787682533265,15.289614251256012
0,1,502.81430969238284,0.28743679374456405,0.44360960423946383,12.015420818328858,136.41163482666016,337.84844665527345,0,0.0,15.807760994136402
1,1,505.8782196044922,4.388454407453537,0.37647999823093414,11.81221113204956,136.3095802783966,6.444284868240357,1,331.4041617870331,15.14304713308809
2,1,506.27112731933596,5.808025655150414,0.42780800461769103,6.251705598831177,139.8368098258972,6.60255994796753,2,331.24588670730594,16.09833157956598
3,1,506.0931640625,5.595340776443481,0.41413119733333587,4.3938240051269535,142.64744729995726,6.4346848487854,3,331.413761806488,15.19397412836554
4,1,505.3861877441406,5.704294407367707,0.3714112013578415,6.253951930999756,140.38171696662903,6.428921556472778,4,331.41952509880065,14.82636658251289
5,1,502.69061279296875,2.7365376271307467,0.3889408022165298,11.951625537872314,134.993151807785,6.432739210128784,5,331.4157074451447,14.771910362690676
6,1,505.1642822265625,3.9519231885671617,0.43316480815410613,8.980697631835938,138.492166185379,6.458960008621216,6,331.38948664665224,15.457883757352818
7,1,507.3456085205078,6.3464448809623715,0.40117120146751406,8.987491130828857,138.4326024055481,6.474252796173095,7,331.37419385910033,15.329452246427593
0,2,488.4412414550781,0.4667392075061798,0.43561599850654603,12.066617584228515,116.18105697631836,339.8305969238281,0,0.0,19.460614764690376
1,2,483.2709594726563,1.163059191405773,0.40061120092868807,11.718601512908936,114.5661937713623,6.3988384246826175,1,333.43175849914553,15.591896872222435
2,2,485.7998382568359,3.481702357530594,0.431756803393364,6.237459182739258,119.85360369682309,6.448080015182495,2,333.38251690864564,15.964719292521465
3,2,485.7946075439453,3.3963008403778074,0.37885440289974215,4.402940845489502,122.76076593399046,6.313753604888916,3,333.5168433189392,15.025148597359646
4,2,485.8272735595703,4.172287929058075,0.37239679992198943,6.175996780395508,120.30918269157405,6.5866271495819095,4,333.24396977424624,14.96681243479253
5,2,484.8790588378906,1.875148782134056,0.39550080299377444,11.809846496582031,116.14081611633304,6.5804096221923825,5,333.2501873016357,14.827149716019619
6,2,486.3212554931641,2.7391999900341033,0.4216767966747284,8.923295974731445,119.07260818481444,6.419318389892578,6,333.41127853393556,15.333877623081207
7,2,484.58189392089844,2.4270847618579863,0.42808320224285124,8.901129722595215,117.55111889839174,6.523625612258911,7,333.3069713115692,15.44388041198249
0,3,495.7797393798828,0.5445631965994835,0.4650879979133606,12.035587310791016,123.01507186889648,342.6036346435547,0,0.0,17.115794362127758
1,3,499.8507568359375,6.389657613635063,0.39271039962768556,11.697177505493164,123.09904541969297,6.260092782974243,1,336.34354186058044,15.668531253933907
2,3,498.9505584716797,7.245209580659866,0.38344960212707513,6.264902400970459,126.54953389167781,6.291651201248169,2,336.31198344230654,15.9038283526898
3,3,499.3135620117188,6.672486448287964,0.39041279852390287,4.406438398361206,129.56346478462223,6.2663486957550045,3,336.33728594779967,15.67712493836882
4,3,500.12794799804686,7.886336016654968,0.3983583986759186,6.276176023483276,128.05134773254395,6.2909503936767575,4,336.3126842498779,14.912095183134113
5,3,496.2203643798828,4.701491251587868,0.38479679822921753,11.81563196182251,121.74949283599852,6.2138879776000975,5,336.3897466659546,14.965316888689983
6,3,497.95665283203124,5.906739234924316,0.4031711995601654,9.040745544433594,124.517174243927,6.257222461700439,6,336.34641218185425,15.485187965631496
7,3,499.5618865966797,7.227084666490555,0.42326079607009887,9.079299259185792,125.02393193244933,6.207641649246216,7,336.3959929943085,15.204675298929203
0,4,498.03151245117186,0.18411519974470134,0.4601855963468552,12.070828723907471,119.62843246459961,341.08607482910156,0,0.0,24.601875637471665
1,4,489.6009216308594,2.0556799791753293,0.4191264033317566,11.780448055267334,118.58537607192994,6.122399997711182,1,334.9636748313904,15.674216292053416
2,4,492.6181365966797,4.574412822723389,0.3760703980922699,6.250211191177368,124.34942269325256,6.137603235244751,2,334.9484715938568,15.981944662332523
3,4,490.6903503417969,3.759616044163704,0.3708160012960434,4.461318445205689,125.55804843902592,6.043696022033691,3,335.04237880706785,15.45447658300401
4,4,491.12872924804685,4.193484771251678,0.3788512021303177,6.295894432067871,124.24310021400453,6.249084711074829,4,334.83699011802673,14.931323799490883
5,4,489.47691345214844,2.9568000450730323,0.3715104013681412,11.91907196044922,118.37511601448057,5.938143968582153,5,335.1479308605194,14.768340201675926
6,4,492.8029724121094,4.334489560127258,0.40537600219249725,9.042089557647705,122.59563779830933,6.073622417449951,6,335.0124524116516,15.339304664731003
7,4,489.6067596435547,3.459071972966194,0.4120159983634949,9.058297634124756,120.20087952613835,6.14711365699768,7,334.93896117210386,15.390419682860397
0,5,509.7810943603516,0.6032383814454079,0.4455808013677597,12.036428833007813,139.2595993041992,341.3684906005859,0,0.0,16.067756439745438
1,5,518.9716918945312,11.247308638691901,0.40016000270843505,11.585407924652099,138.8915021896363,6.151478385925293,1,335.2170122146606,15.478822538256566
2,5,519.6904418945312,11.483852744102478,0.3788096010684967,6.268758392333984,144.2206951618195,6.266560029983521,2,335.1019305706024,15.969835394620816
3,5,519.3630767822266,13.03654420375824,0.37159680128097533,4.496399974822998,144.96743745803838,5.975686359405517,3,335.3928042411804,15.122607743740105
4,5,519.7208587646485,12.441497594118118,0.3684543967247009,6.265379238128662,144.17062001228334,6.1329246997833256,4,335.2355659008026,15.106416922807739
5,5,518.8285430908203,11.012608103454113,0.40007359683513644,11.735974407196045,139.11007666587835,6.0672544002532955,5,335.3012362003326,15.201319716870785
6,5,517.9772918701171,10.93355546593666,0.4316031992435455,8.97082872390747,140.71707396507264,6.053872060775757,6,335.31461853981017,15.555739915370907
7,5,521.2323822021484,13.174988794326783,0.412115204334259,9.03262710571289,141.75143837928772,6.264118432998657,7,335.10437216758726,15.492722117900826
0,6,15.435264110565186,1.4923775911331176,0.3843392014503479,0.35816000401973724,0.13549439832568164,3.9049119472503664,0,0.0,9.159980968385934
1,6,15.75086088180542,2.037964779138565,0.4127807945013046,0.21244480237364766,-0.21928638815879853,2.2335327744483946,1,1.6713791728019718,9.402044946700334
2,6,15.677542304992675,1.8503679856657982,0.409196799993515,0.18866880014538762,-0.0789119482040408,2.2527071833610535,2,1.652204763889313,9.403308720141649
3,6,17.51777286529541,3.9425024330615996,0.38967359662055967,0.20771520212292666,-0.0026783466339113104,2.279366397857666,3,1.6255455493927005,9.075648032873868
4,6,16.23449602127075,3.0796800196170806,0.3726464033126831,0.25842879787087436,0.05014083385467516,2.3549023866653442,4,1.5500095605850222,8.568688019365071
5,6,15.753830337524414,2.4875007823109625,0.3855039983987808,0.22316480129957195,0.04949445724487278,2.3137952089309692,5,1.5911167383193972,8.703254351019861
6,6,16.58664960861206,3.1955968618392943,0.3954335987567902,0.16636799871921534,-0.06498876810073884,2.1469695806503295,6,1.7579423666000369,8.989327970147132
7,6,15.61466875076294,2.3204864010214807,0.4007551968097687,0.22635839730501175,0.05755209922790505,2.3639296293258667,7,1.5409823179244997,8.704604709148406
0,7,15.58763542175293,1.0290175922214986,0.4041856020689011,0.32910399958491326,0.1364959992468357,3.948732829093933,0,0.0,9.740099399536849
1,7,15.851622295379638,2.2121472209692,0.35564160346984863,0.2479455962777138,0.07809598445892307,2.1118176221847533,1,1.8369152069091799,9.009059061110019
2,7,15.760895824432373,1.264844797551632,0.4288256049156189,0.21328959837555886,0.08063356876373273,2.1916608095169066,2,1.7570720195770266,9.824569425731896
3,7,15.824793720245362,2.354790377616882,0.34741759598255156,0.17155200019478795,0.17884476184844944,2.1204991817474363,3,1.8282336473464968,8.823456155508756
4,7,15.87435531616211,2.593382388353348,0.34434880018234254,0.21459199786186217,0.10667518377304042,2.054246413707733,4,1.8944864153862002,8.666624116897584
5,7,15.730585479736328,1.7851392045617103,0.3665919989347458,0.2968767985701561,-0.04017926454544085,2.15694078207016,5,1.7917920470237734,9.373423913121224
6,7,15.867801666259766,2.427494430541992,0.34416320025920866,0.25681599974632263,0.1799008131027222,2.1650880336761475,6,1.7836447954177856,8.710694393515588
7,7,15.81209592819214,1.7922048032283784,0.3638175994157791,0.2468447983264923,-0.01607040166854845,2.145097625255585,7,1.8036352038383483,9.476566299796104
0,8,15.437107276916503,0.6673407986760139,0.403929603099823,0.2852448016405106,0.13196480125188823,3.635251188278198,0,0.0,10.31337608397007
1,8,15.64846076965332,2.3219200029969214,0.35502400398254397,0.20509440079331398,0.0766048565506936,2.0805248379707337,1,1.5547263503074644,9.054566317051648
